DATAFLOW,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,ACTIVITY,ADJUSTMENT,TRANSFORMATION,TIME_HORIZ,METHODOLOGY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,DECIMALS,BASE_PER
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2019-12,4.98035,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2020-10,3.25342,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2020-11,3.055575,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2020-12,3.0983,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2021-01,3.21354,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2021-05,3.37055,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2021-06,3.438275,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2021-07,3.42586,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2021-08,3.348625,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2021-09,3.3057,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2021-10,3.46616,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2021-11,3.56,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2021-12,3.58154,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2022-01,3.630025,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2022-02,3.786225,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2022-03,3.77975,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2022-04,3.9255,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2022-05,4.6956,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2022-06,5.02425,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2022-07,5.31202,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2022-08,5.578275,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2022-09,5.80714,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2022-10,6.287125,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2018-08,6.76234,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2018-09,7.019675,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2020-02,5.0875,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2019-01,6.63585,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2019-05,6.37288,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2018-10,6.988525,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2018-11,6.8702,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2018-12,6.666975,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2020-03,4.984025,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2020-04,4.1341,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2020-05,3.42324,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2019-04,6.304575,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2019-02,6.48055,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2019-03,6.3563,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2020-06,3.311025,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2020-07,3.2174,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2020-08,3.23405,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2018-01,6.3356,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2018-02,6.377925,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2020-09,3.27515,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2017-12,6.16602,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2018-03,6.2322,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2018-04,6.128775,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2018-05,6.304575,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2018-06,6.48878,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2021-02,3.264625,A,0,2,
