contract_month,lme_3m_avg_usd_t,uv_m_plus_1_usd_t,mix_ratio_lag1,uv_m_plus_2_usd_t,mix_ratio_lag2,uv_m_plus_3_usd_t,mix_ratio_lag3,mix_ratio_pit
2023-04,2367.9722,2000.8625,0.845,2025.7516,0.8555,2051.2401,0.8662,0.7988
2023-05,2269.675,2025.7516,0.8925,2051.2401,0.9038,2003.4453,0.8827,0.8317
2023-06,2220.7273,2051.2401,0.9237,2003.4453,0.9022,1972.4886,0.8882,0.8563
2023-07,2197.9286,2003.4453,0.9115,1972.4886,0.8974,1974.7777,0.8985,0.8555
2023-08,2181.8636,1972.4886,0.904,1974.7777,0.9051,1900.1153,0.8709,0.9038
2023-09,2220.3095,1974.7777,0.8894,1900.1153,0.8558,1933.036,0.8706,0.9022
2023-10,2218.5227,1900.1153,0.8565,1933.036,0.8713,1938.7945,0.8739,0.8974
2023-11,2231.1818,1933.036,0.8664,1938.7945,0.869,1926.6942,0.8635,0.9051
2023-12,2220.3684,1938.7945,0.8732,1926.6942,0.8677,1961.6637,0.8835,0.8558
2024-01,2238.0227,1926.6942,0.8609,1961.6637,0.8765,1987.2557,0.888,0.8713
2024-02,2218.2381,1961.6637,0.8843,1987.2557,0.8959,2032.6363,0.9163,0.869
2024-03,2269.35,1987.2557,0.8757,2032.6363,0.8957,2122.3658,0.9352,0.8677
2024-04,2526.4048,2032.6363,0.8046,2122.3658,0.8401,2166.7787,0.8577,0.8765
2024-05,2610.9524,2122.3658,0.8129,2166.7787,0.8299,2242.4604,0.8589,0.8959
2024-06,2547.5,2166.7787,0.8506,2242.4604,0.8803,2239.3442,0.879,0.8957
2024-07,2417.0217,2242.4604,0.9278,2239.3442,0.9265,2238.389,0.9261,0.8401
2024-08,2376.881,2239.3442,0.9421,2238.389,0.9417,2211.8652,0.9306,0.8299
2024-09,2468.5714,2238.389,0.9068,2211.8652,0.896,2200.0393,0.8912,0.8803
2024-10,2620.6522,2211.8652,0.844,2200.0393,0.8395,2148.2843,0.8198,0.9265
2024-11,2612.2381,2200.0393,0.8422,2148.2843,0.8224,2177.3509,0.8335,0.9417
2024-12,2573.05,2148.2843,0.8349,2177.3509,0.8462,2216.5392,0.8614,0.896
2025-01,2590.1591,2177.3509,0.8406,2216.5392,0.8558,2191.8598,0.8462,0.8395
2025-02,2640.55,2216.5392,0.8394,2191.8598,0.8301,2133.154,0.8078,0.8224
2025-03,2649.0714,2191.8598,0.8274,2133.154,0.8052,2203.6197,0.8318,0.8462
2025-04,2415.825,2133.154,0.883,2203.6197,0.9122,2215.7366,0.9172,0.8558
2025-05,2451.6,2203.6197,0.8988,2215.7366,0.9038,2188.5254,0.8927,0.8301
2025-06,2516.9286,2215.7366,0.8803,2188.5254,0.8695,2155.5049,0.8564,0.8052
2025-07,2605.0652,2188.5254,0.8401,2155.5049,0.8274,2225.9147,0.8545,0.9122
2025-08,2594.175,2155.5049,0.8309,2225.9147,0.858,2257.7609,0.8703,0.9038
2025-09,2650.4091,2225.9147,0.8398,2257.7609,0.8519,2298.8671,0.8674,0.8695
2025-10,2783.9783,2257.7609,0.811,2298.8671,0.8257,,,0.8274
2025-11,2845.75,2298.8671,0.8078,,,,,0.858
2025-12,2909.9048,,,,,,,0.8519
