article_date,grade,origin,kind,price_usd_t,basis,attach_frac,attach_source,lme_ref_date,lme_3m_ref_usd_t,quote_ratio,clean_ratio,contract_month,mix_ratio_lag2,diff_clean,diff_raw,diff_clean_same_day_lme,use,exclude_reason,url,snippet
2024-03-13,tense,Europe,DEAL,1980,CIF west coast India,0.02,STATED,2024-03-12,2263.0,0.8749,0.8928,2024-03,0.8957,-0.0029,-0.0207,-0.0056,True,,https://www.alcircle.com/news/india-s-imported-aluminium-scrap-prices-continue-to-rise-109184,"Europe origin tense (2 per cent) was traded at $1,980/t"
2024-03-20,tense,UAE,ASSESSMENT,1835,CFR Mundra,0.085,SERIES,2024-03-19,2255.0,0.8137,0.8893,2024-03,0.8957,-0.0063,-0.0819,-0.0173,True,,https://www.alcircle.com/news/india-s-imported-aluminium-scrap-prices-maintain-resilience-despite-a-slight-dip-in-lme-prices-110258,"Tense scrap from the UAE saw a rise of $10 per tonne, reaching $1,835 per tonne"
2024-03-20,zorba,UK,ASSESSMENT,2040,CFR Mundra,0.0,NONE,2024-03-19,2255.0,0.9047,0.9047,2024-03,0.8957,0.009,0.009,-0.0021,True,,https://www.alcircle.com/news/india-s-imported-aluminium-scrap-prices-maintain-resilience-despite-a-slight-dip-in-lme-prices-110258,"Zorba 95/5 from the UK remained steady at $2,040 per tonne CFR Mundra"
2024-07-11,tense,UAE,ASSESSMENT,1830,CFR India,0.085,SERIES,2024-07-10,2489.5,0.7351,0.8034,2024-07,0.9265,-0.1231,-0.1914,-0.1234,True,,https://www.alcircle.com/news/indias-imported-aluminium-scrap-prices-grow-w-o-w-buoyed-by-increased-buying-activity-in-europe-111398,"tension scrap originating from the Middle East, notably the UAE, saw a price hike of $50 per tonne, settling at $1,830 per tonne"
2024-07-11,zorba,UK,ASSESSMENT,2060,CFR west coast India,0.0,NONE,2024-07-10,2489.5,0.8275,0.8275,2024-07,0.9265,-0.099,-0.099,-0.0993,True,,https://www.alcircle.com/news/indias-imported-aluminium-scrap-prices-grow-w-o-w-buoyed-by-increased-buying-activity-in-europe-111398,"Zorba 95/5 sourced from the UK rose by $5 per tonne to settle at $2,060 per tonne CFR for the west coast"
2024-07-11,taint_tabor,USA,ASSESSMENT,2000,CFR Mundra,0.025,STATED,2024-07-10,2489.5,0.8034,0.824,2024-07,0.9265,-0.1025,-0.1231,-0.1028,True,,https://www.alcircle.com/news/indias-imported-aluminium-scrap-prices-grow-w-o-w-buoyed-by-increased-buying-activity-in-europe-111398,"the price for US taint tabor HRB (2-3 per cent) is $2,000 per tonne CFR Mundra"
2024-07-11,tense,USA,ASSESSMENT,1850,CFR Mundra,0.065,STATED,2024-07-10,2489.5,0.7431,0.7948,2024-07,0.9265,-0.1317,-0.1834,-0.132,True,,https://www.alcircle.com/news/indias-imported-aluminium-scrap-prices-grow-w-o-w-buoyed-by-increased-buying-activity-in-europe-111398,"The price for US tense (6-7 per cent) was recorded at $1,850 per tonne CFR Mundra"
2024-07-31,tense,UAE,ASSESSMENT,1730,CFR west coast India,0.085,SERIES,2024-07-30,2225.0,0.7775,0.8498,2024-07,0.9265,-0.0767,-0.149,-0.1034,True,,https://www.alcircle.com/news/indias-imported-aluminium-scrap-price-declines-by-4-w-o-w-on-lme-downtrend-111580,"decreased by $60 per tonne, settling at $1,730 per tonne"
2024-07-31,zorba,UK,ASSESSMENT,1975,CFR west coast India,0.0,NONE,2024-07-30,2225.0,0.8876,0.8876,2024-07,0.9265,-0.0388,-0.0388,-0.0667,True,,https://www.alcircle.com/news/indias-imported-aluminium-scrap-price-declines-by-4-w-o-w-on-lme-downtrend-111580,"Zorba 95/5 from the UK also decreased by $25/t to $1,975 per tonne CFR West Coast, India"
2024-08-08,tense,UAE,ASSESSMENT,1700,CFR west coast India,0.085,SERIES,2024-08-07,2263.0,0.7512,0.821,2024-08,0.9417,-0.1207,-0.1905,-0.1196,True,,https://www.alcircle.com/news/indias-imported-aluminium-scrap-prices-fall-by-upto-1-6-amidst-stable-lme-prices-111656,"Tense scrap from the UAE has decreased by $30 per tonne to settle at $1,700 per tonne"
2024-08-08,zorba,UK,ASSESSMENT,1960,CFR west coast India,0.0,NONE,2024-08-07,2263.0,0.8661,0.8661,2024-08,0.9417,-0.0756,-0.0756,-0.0745,True,,https://www.alcircle.com/news/indias-imported-aluminium-scrap-prices-fall-by-upto-1-6-amidst-stable-lme-prices-111656,"bringing the price to $1,960 per tonne CFR West Coast, India"
2024-11-28,tense,UAE,ASSESSMENT,1800,CFR west coast India,0.085,SERIES,2024-11-27,2606.5,0.6906,0.7547,2024-11,0.8224,-0.0677,-0.1318,-0.0605,True,,https://www.alcircle.com/press-release/india-imported-aluminium-scrap-prices-remain-largely-stable-w-o-w-amid-declining-lme-levels-112671,"tense scrap originating from the UAE stood at $1,800/tonne (t), firm w-o-w, while zorba 95/5 from the UK stood at $2,110/t"
2024-11-28,zorba,UK,ASSESSMENT,2110,CFR west coast India,0.0,NONE,2024-11-27,2606.5,0.8095,0.8095,2024-11,0.8224,-0.0129,-0.0129,-0.0052,True,,https://www.alcircle.com/press-release/india-imported-aluminium-scrap-prices-remain-largely-stable-w-o-w-amid-declining-lme-levels-112671,"zorba 95/5 from the UK stood at $2,110/t, stable w-o-w, both prices CFR west coast, India"
2024-12-04,tense,UAE,ASSESSMENT,1800,CFR west coast India,0.085,SERIES,2024-12-03,2601.5,0.6919,0.7562,2024-12,0.8462,-0.09,-0.1543,-0.0939,True,,https://www.alcircle.com/news/press-release/india-imported-aluminium-scrap-prices-remain-range-bound-w-o-w-amid-slow-trading-112720,"Tense scrap originating from the UAE stood at $1,800/tonne (t), firm w-o-w, while Zorba 95/5 from the UK stood at $2,100/t, largely stable"
2024-12-04,zorba,UK,ASSESSMENT,2100,CFR west coast India,0.0,NONE,2024-12-03,2601.5,0.8072,0.8072,2024-12,0.8462,-0.039,-0.039,-0.0432,True,,https://www.alcircle.com/news/press-release/india-imported-aluminium-scrap-prices-remain-range-bound-w-o-w-amid-slow-trading-112720,"Zorba 95/5 from the UK stood at $2,100/t, largely stable w-o-w, both prices CFR west coast, India"
2024-12-11,tense,UAE,ASSESSMENT,1800,CFR west coast India,0.085,SERIES,2024-12-10,2587.0,0.6958,0.7604,2024-12,0.8462,-0.0858,-0.1504,-0.0881,True,,https://www.alcircle.com/press-release/india-imported-aluminium-scrap-prices-remain-range-bound-w-o-w-amid-year-end-uncertainty-112773,"Tense scrap originating from the UAE stood at $1,800/tonne (t), firm w-o-w, while Zorba 95/5 from the UK was at $2,110/t, largely stable w-o-w, both CFR west coast"
2024-12-11,zorba,UK,ASSESSMENT,2110,CFR west coast India,0.0,NONE,2024-12-10,2587.0,0.8156,0.8156,2024-12,0.8462,-0.0306,-0.0306,-0.0331,True,,https://www.alcircle.com/press-release/india-imported-aluminium-scrap-prices-remain-range-bound-w-o-w-amid-year-end-uncertainty-112773,"Zorba 95/5 from the UK was at $2,110/t, largely stable w-o-w, both CFR west coast, India"
2024-12-11,taint_tabor,UAE,DEAL,2170,CFR India,0.0,NONE,2024-12-10,2587.0,0.8388,0.8388,2024-12,0.8462,-0.0074,-0.0074,-0.01,True,,https://www.alcircle.com/press-release/india-imported-aluminium-scrap-prices-remain-range-bound-w-o-w-amid-year-end-uncertainty-112773,"UAE-origin Taint Tabor also increased, with recent transactions recorded at $2,160-2,180/tonne"
2024-12-18,tense,UAE,ASSESSMENT,1800,CFR west coast India,0.085,SERIES,2024-12-17,2533.5,0.7105,0.7765,2024-12,0.8462,-0.0697,-0.1357,-0.0677,True,,https://www.alcircle.com/press-release/india-imported-aluminium-scrap-prices-remain-range-bound-w-o-w-certain-grades-see-tight-supply-112828,"Tense scrap originating from the UAE stood at $1,800/tonne (t), firm w-o-w, while Zorba 95/5 from the UK was at $2,110/tonne, stable w-o-w"
2024-12-18,zorba,UK,ASSESSMENT,2110,CFR west coast India,0.0,NONE,2024-12-17,2533.5,0.8328,0.8328,2024-12,0.8462,-0.0134,-0.0134,-0.0112,True,,https://www.alcircle.com/press-release/india-imported-aluminium-scrap-prices-remain-range-bound-w-o-w-certain-grades-see-tight-supply-112828,"Zorba 95/5 from the UK was at $2,110/tonne, stable w-o-w, both CFR west coast, India"
2025-01-18,tense,USA,ASSESSMENT,1830,CFR west coast India,0.065,SERIES,2025-01-17,2666.0,0.6864,0.7341,2025-01,0.8558,-0.1216,-0.1693,,True,,https://www.alcircle.com/press-release/india-imported-aluminium-scrap-prices-rise-w-o-w-even-as-some-grades-witness-tight-supply-113071,"Tense scrap originating from the US stood at $1,830/tonne (t)"
2025-02-06,tense,USA,ASSESSMENT,1850,CFR west coast India,0.065,SERIES,2025-02-05,2607.0,0.7096,0.759,2025-02,0.8301,-0.0711,-0.1204,-0.0778,True,,https://www.alcircle.com/press-release/india-imported-aluminium-scrap-prices-rise-w-o-w-following-hike-in-lme-tags-113228,"Tense scrap originating from the US was at $1,850/tonne (t)"
2025-02-06,tense,UK,DEAL,1860,CIF west coast India,0.06,STATED,2025-02-05,2607.0,0.7135,0.759,2025-02,0.8301,-0.0711,-0.1166,-0.0777,True,,https://www.alcircle.com/press-release/india-imported-aluminium-scrap-prices-rise-w-o-w-following-hike-in-lme-tags-113228,"UK tense 6 per cent at $1,860/t CIF West coast"
2025-03-19,tense,USA,ASSESSMENT,1960,CFR west coast India,0.065,SERIES,2025-03-18,2670.0,0.7341,0.7851,2025-03,0.8052,-0.0201,-0.0712,-0.0222,True,,https://www.alcircle.com/press-release/india-imported-aluminium-scrap-prices-see-divergent-trends-w-o-w-supply-shortage-persists-113566,"Tense scrap originating in the US was at $1,960/tonne"
2025-03-26,tense,USA,ASSESSMENT,1945,CFR west coast India,0.065,SERIES,2025-03-25,2614.5,0.7439,0.7956,2025-03,0.8052,-0.0096,-0.0613,-0.0104,True,,https://www.alcircle.com/press-release/india-imported-aluminium-scrap-prices-decline-w-o-w-tracking-lme-movements-113639,"Tense scrap originating in the US was at USD 1,945/tonne (t)"
2025-08-20,tense,USA,ASSESSMENT,2000,CFR India,0.065,SERIES,2025-08-19,2574.0,0.777,0.831,2025-08,0.858,-0.027,-0.081,-0.0251,True,,https://www.alcircle.com/press-release/india-imported-aluminium-scrap-prices-soften-w-o-w-amid-weak-lme-festive-lull-115159,"BigMint assessed Tense scrap from the US at USD 2,000 per tonne, down by USD 40 per tonne"
2025-08-20,taint_tabor,USA,ASSESSMENT,2175,CFR India,0.025,STATED,2025-08-19,2574.0,0.845,0.8667,2025-08,0.858,0.0086,-0.0131,0.0106,True,,https://www.alcircle.com/press-release/india-imported-aluminium-scrap-prices-soften-w-o-w-amid-weak-lme-festive-lull-115159,"US taint tabor HRB (2-3 per cent) saw a drop of USD 10 per tonne, settling at USD 2,175 per tonne"
2025-08-27,tense,USA,ASSESSMENT,1960,CFR India,0.065,SERIES,2025-08-26,2609.0,0.7512,0.8035,2025-08,0.858,-0.0546,-0.1068,-0.0569,True,,https://www.alcircle.com/press-release/india-imported-aluminium-scrap-prices-decline-w-o-w-despite-gains-in-lme-tags-115243,"BigMint assessed Tense scrap from the US at USD 1,960 per tonne"
2025-08-27,taint_tabor,USA,ASSESSMENT,2145,CFR India,0.025,STATED,2025-08-26,2609.0,0.8222,0.8432,2025-08,0.858,-0.0148,-0.0359,-0.0172,True,,https://www.alcircle.com/press-release/india-imported-aluminium-scrap-prices-decline-w-o-w-despite-gains-in-lme-tags-115243,"US taint tabor HRB (2-3 per cent) saw a drop of USD 30 per tonne, settling at USD 2,145 per tonne"
2025-10-31,tense,UAE,ASSESSMENT,1945,CFR India,0.085,SERIES,2025-10-30,2846.0,0.6834,0.7469,2025-10,0.8257,-0.0788,-0.1423,-0.0882,True,,https://www.alcircle.com/press-release/india-imported-aluminium-scrap-prices-inch-up-w-o-w-market-expected-to-improve-in-early-nov-25-116029,"BigMint assessed UAE-origin Tense scrap at USD 1,945 per tonne"
2025-10-31,taint_tabor,UK,ASSESSMENT,2250,CFR India,0.095,STATED,2025-10-30,2846.0,0.7906,0.8736,2025-10,0.8257,0.0478,-0.0352,0.0369,False,"'C/S (9-10 per cent)' sub-grade is not defined in the article; the same series prints $2,010 'firm w-o-w' five weeks later, so the level is not reliable",https://www.alcircle.com/press-release/india-imported-aluminium-scrap-prices-inch-up-w-o-w-market-expected-to-improve-in-early-nov-25-116029,"UK-origin Taint Tabor C/S (9-10 per cent) stood at USD 2,250 per tonne"
2025-10-31,zorba,UK,ASSESSMENT,2180,CFR India,0.0,NONE,2025-10-30,2846.0,0.766,0.766,2025-10,0.8257,-0.0598,-0.0598,-0.0693,True,,https://www.alcircle.com/press-release/india-imported-aluminium-scrap-prices-inch-up-w-o-w-market-expected-to-improve-in-early-nov-25-116029,"UK-origin Zorba 95/5 remained stable at USD 2,180 per tonne"
2025-12-04,tense,UAE,ASSESSMENT,1925,CFR India,0.085,SERIES,2025-12-03,2883.0,0.6677,0.7297,2025-12,,,,,True,,https://www.alcircle.com/press-release/india-imported-domestic-aluminium-scrap-prices-witness-weekly-gains-tracking-lme-uptrend-116440,"BigMint assessed UAE-origin Tense scrap at USD1,925 per tonne"
2025-12-04,taint_tabor,UK,ASSESSMENT,2010,CFR India,0.095,STATED,2025-12-03,2883.0,0.6972,0.7704,2025-12,,,,,False,"undefined 'C/S (9-10 per cent)' sub-grade; inconsistent with the $2,250 print of 31-Oct-2025",https://www.alcircle.com/press-release/india-imported-domestic-aluminium-scrap-prices-witness-weekly-gains-tracking-lme-uptrend-116440,"UK-origin Taint Tabor C/S (9-10 per cent) stood at USD2,010 per tonne"
2025-12-04,zorba,UK,ASSESSMENT,2260,CFR India,0.0,NONE,2025-12-03,2883.0,0.7839,0.7839,2025-12,,,,,True,,https://www.alcircle.com/press-release/india-imported-domestic-aluminium-scrap-prices-witness-weekly-gains-tracking-lme-uptrend-116440,"UK-origin Zorba 95 per 5 stood at USD2,260 per tonne"
2025-12-10,tense,UAE,ASSESSMENT,1930,CFR India,0.085,STATED,2025-12-09,2868.0,0.6729,0.7355,2025-12,,,,,True,,https://www.alcircle.com/press-release/india-imported-and-domestic-aluminium-scrap-prices-rise-w-o-w-amid-tightening-lme-supply-116525,"BigMint assessed UAE-origin Tense (8-9 per cent) at USD 1,930 per tonne"
2025-12-10,tense,USA,ASSESSMENT,2000,CFR India,0.065,STATED,2025-12-09,2868.0,0.6974,0.7458,2025-12,,,,,True,,https://www.alcircle.com/press-release/india-imported-and-domestic-aluminium-scrap-prices-rise-w-o-w-amid-tightening-lme-supply-116525,"US-origin Tense (6-7 per cent) remained unchanged at USD 2,000 per tonne"
2025-12-10,zorba,UK,ASSESSMENT,2275,CFR India,0.0,NONE,2025-12-09,2868.0,0.7932,0.7932,2025-12,,,,,True,,https://www.alcircle.com/press-release/india-imported-and-domestic-aluminium-scrap-prices-rise-w-o-w-amid-tightening-lme-supply-116525,"UK-origin Zorba 95 per 5 was assessed at USD 2,275 per tonne"
2025-12-10,taint_tabor,USA,ASSESSMENT,2215,CFR India,0.03,STATED,2025-12-09,2868.0,0.7723,0.7962,2025-12,,,,,True,,https://www.alcircle.com/press-release/india-imported-and-domestic-aluminium-scrap-prices-rise-w-o-w-amid-tightening-lme-supply-116525,"US-origin Taint Tabor HRB (3 per cent) increased by USD 5 per tonne to USD 2,215 per tonne"
2025-12-18,tense,Middle East,ASSESSMENT,1930,CFR India,0.085,STATED,2025-12-17,2894.5,0.6668,0.7287,2025-12,,,,,True,,https://www.alcircle.com/press-release/india-aluminium-scrap-prices-remain-rangebound-as-year-end-seasonality-slows-buying-116627,"BigMint assessed Middle East-origin Tense (8-9 per cent) at USD 1,930 per tonne"
2025-12-18,tense,USA,ASSESSMENT,2000,CFR India,0.065,STATED,2025-12-17,2894.5,0.691,0.739,2025-12,,,,,True,,https://www.alcircle.com/press-release/india-aluminium-scrap-prices-remain-rangebound-as-year-end-seasonality-slows-buying-116627,"US-origin Tense (6-7 per cent) also remained stable at USD 2,000 per tonne"
2025-12-18,zorba,UK,ASSESSMENT,2285,CFR India,0.0,NONE,2025-12-17,2894.5,0.7894,0.7894,2025-12,,,,,True,,https://www.alcircle.com/press-release/india-aluminium-scrap-prices-remain-rangebound-as-year-end-seasonality-slows-buying-116627,"UK-origin Zorba 95/5 edged up by USD 10 per tonne to USD 2,285 per tonne"
2025-12-18,taint_tabor,USA,ASSESSMENT,2205,CFR India,0.03,STATED,2025-12-17,2894.5,0.7618,0.7854,2025-12,,,,,True,,https://www.alcircle.com/press-release/india-aluminium-scrap-prices-remain-rangebound-as-year-end-seasonality-slows-buying-116627,"US-origin Taint Tabor HRB (3 per cent) slipped USD 10 per tonne to USD 2,205 per tonne"
