article_date,series,adc12_inr_t,adc12_non_oem_basis_inr_t,lme_ref_date,lme_cash_usd_t,usdinr_ecb,duty_paid_cash_parity_inr_t,premium_vs_cash_parity_inr_t,premium_vs_trailing120_parity_inr_t,oem_gap_inr_t,use,exclude_reason,url,snippet
2024-08-01,SPOT,209000,209000.0,2024-07-31,2252.0,83.7,204030.96,4969.04,-7240.99,8000.0,True,,https://www.alcircle.com/news/indias-adc12-aluminium-ingot-price-declines-w-o-w-owing-to-weakening-raw-material-prices-111591,"ADC12 spot prices were assessed at INR 209,000 per tonne ex-Delhi"
2024-08-10,SPOT,209000,209000.0,2024-08-09,2263.0,83.96,205667.33,3332.67,-7459.6,8000.0,False,monthly review restating the 01-Aug-2024 weekly assessment,https://www.alcircle.com/news/indiaadc12-aluminium-ingot-price-declines-m-o-m-amid-weakening-scrap-market-111670,"ADC12 spot prices were assessed at INR 209,000 per tonne ex-Delhi"
2024-11-21,NON_OEM,201000,201000.0,2024-11-20,2654.5,84.36,242412.14,-41412.14,-22446.27,8000.0,True,,https://www.alcircle.com/press-release/india-aluminium-adc12-alloy-ingot-prices-inch-up-w-o-w-on-rising-raw-material-costs-112621,"ADC12 (non-OEM) grade stood at INR 201,000/tonne (t) in Delhi"
2024-12-05,NON_OEM,201000,201000.0,2024-12-04,2583.0,84.76,237000.71,-36000.71,-23286.99,8000.0,True,,http://www.alcircle.com/news/press-release/india-adc12-aluminium-alloyed-ingot-prices-remain-rangebound-112726,"ADC12 (non-OEM) grade stood at INR 201,000/t in Delhi"
2024-12-05,OEM,209000,201000.0,2024-12-04,2583.0,84.76,237000.71,-36000.71,-23286.99,8000.0,False,used only to measure the OEM − non-OEM gap (same article has the non-OEM print),http://www.alcircle.com/news/press-release/india-adc12-aluminium-alloyed-ingot-prices-remain-rangebound-112726,"OEM-approved ADC12 were at INR 209,000/t ex Delhi"
2024-12-11,NON_OEM,201000,201000.0,2024-12-10,2553.0,84.88,234574.5,-33574.5,-23758.69,8000.0,False,monthly assessment restating the 05-Dec-2024 weekly non-OEM print,https://www.alcircle.com/press-release/india-adc12-aluminium-alloyed-ingot-oem-grade-prices-drop-to-10-month-low-in-south-india-112774,"non-OEM grade of ADC12 stood at INR 201,000/t in Delhi"
2024-12-11,OEM,209000,201000.0,2024-12-10,2553.0,84.88,234574.5,-33574.5,-23758.69,8000.0,False,used only to measure the OEM − non-OEM gap,https://www.alcircle.com/press-release/india-adc12-aluminium-alloyed-ingot-oem-grade-prices-drop-to-10-month-low-in-south-india-112774,"the OEM-approved grade at INR 209,000/t in Delhi"
2025-02-07,OEM,208000,200000.0,2025-02-06,2638.0,87.61,250171.27,-50171.27,-33499.17,8000.0,True,,https://www.alcircle.com/press-release/what-happened-in-india-s-secondary-aluminium-industry-in-jan-25-bigmint-analysis-113241,"OEM-approved ADC12 in both Delhi and Chennai was priced at INR 208,000/tonne (t)"
2025-03-12,OEM,217000,209000.0,2025-03-11,2725.0,87.19,257204.35,-48204.35,-30413.81,8000.0,True,,https://www.alcircle.com/press-release/india-adc12-aluminium-oem-grade-alloy-ingot-prices-rise-m-o-m-in-mar-25-amid-higher-scrap-tags-113509,"the OEM grade of ADC12 stood at INR 217,000 per tonne in Delhi"
2025-12-11,OEM,232000,224000.0,2025-12-10,2836.5,89.91,276068.36,-52068.36,-32882.17,8000.0,True,,https://www.alcircle.com/press-release/india-adc12-prices-stable-for-dec-25-amid-year-end-slowdown-despite-steady-auto-demand-116544,"Delhi: INR 232,000 per tonne (USD 2,569.11 per tonne), stable M-o-M"
