week_end,published_utc,source,title,link,query,relevance_match,exclusion_rule,cites_later_date,status,query_rank,feed_pos
2022-02-25,2022-02-23T08:00:00Z,The Guardian,Prospect of sanctions hits Russian part-owner of Queensland alumina refinery,https://news.google.com/rss/articles/CBMiywFBVV95cUxPQzV5TmtsbXV1MHUwcF83bkxfTlNLY2dhZVMwdE10NFFTVnFxLUVMNkdnSjNGZzhuUlBlYlZTQUp3RGJUYVZzZkpOaFA2ckRReUJfa1lzZEx6bFVEcmZhdDI3dlV3RUZMUFJVYTJ4al9SNTV6bkFyMlpJWTQ3eUpTYXV5VFRRelk5cEdHTFMxeFpCZmh3aDgyLTZiNVNXdkllWFhBazFoMl9VaFlhNUtTVnM5NVR2QmtJTkNZYmVIWk1iS25rOVE0MXhkbw?oc=5,en-IN:aluminium price,alumina,,False,kept,1,8
2022-02-25,2022-02-24T08:00:00Z,The Edge Malaysia,"CPO price exceeds RM7,000 following Russian invasion of Ukraine",https://news.google.com/rss/articles/CBMiqwFBVV95cUxOV1JMRDFSQjRUX3RyNmdNajNCUk1sbldzanNKakcwWWY0ZzlLV2FMUTN6RHNDTXJFVlE3U180U0dQbE5NSnA5YjV2SDFQNk4tMXdXWjd2ZlZEWFFjWjMyZWtybUdjaVZJRWdoRDFPNTNyb2NhV25CbXlWWDBIUTNhejY1RjBpbFZtVVhqZUMzRWR3dndaTDBZUl83Q2haSnBPQnl1QVh2QXVMOFE?oc=5,en-IN:aluminium price,,,False,irrelevant,1,9
2022-02-25,2022-02-25T08:00:00Z,Nine.com.au,The economic impacts of Russia invading Ukraine on Australia,https://news.google.com/rss/articles/CBMiywFBVV95cUxNbDkzSllXQk1mUVQyMVNFOHNUcWdUWjdhVXZvS0RhVm1FQjRITE1aZ0FfWVphT1lmSGRMMGIxM3loZm14bkZ3YUFibWItell5SzBBM19mRmFGQmxzWGozUkZ2bEo1bDhsMUtIVTZzZUFncmhfZmcxSmEwcW1oOVlveHVhbVZUSG5TNUdpMWVuRDQtWFRVeEpia3c5UHVzQXY2Nzhfd0QxeS1xbVZ5Y3dIRjl6cUhZNE45M0J6S190TEs3MnVQRWJPLVFPRQ?oc=5,en-IN:aluminium price,,,False,irrelevant,1,10
2022-02-25,2022-02-21T08:00:00Z,Gulf Business,Bahrain begins construction on United States Trade Zone,https://news.google.com/rss/articles/CBMimgFBVV95cUxPdzhHOEtyZDRMei1icG5ldThXMkxVQUpSMkFGN0ZyUWhqWlVfbWE3QkVfTEhpWnE2TS1xUlNHU3YwUkpTaFB5cUxzTHRhZzItWkVnNG5SZzdLSHpXQlVOV1Z6U1pOY1NpMC12cV9aTVFXR0FpT0JyMG11U25sUXVXWkNmZmJ0UVl6R3I4TXVsSXktcGZoODFLZml3?oc=5,en-IN:aluminium price,,,False,irrelevant,1,11
2022-02-25,2022-02-20T08:00:00Z,Star Tribune,Beer prices are going up in Minnesota and beyond. Here's why.,https://news.google.com/rss/articles/CBMinAFBVV95cUxOYlp5VVlZRC1Nblc5NkkxT0d5Q3RFSFpPVHlUd01wVHVoZ2x5N214dkJRSHR4R25EOVM1Y195VlFWOWhQMUl5a0M3TExRWVZuMXlmbU16bGg3SnVTeVdkMWhVdTBvc1ljT2NwdU5vNi1HYjRjSEJUSThybzQyNXExaFhVVmpRWWRSaVRobW12N2pURmVqdHIxVHV5dmI?oc=5,en-IN:aluminium price,,,False,irrelevant,1,12
2022-02-25,2022-02-22T08:00:00Z,African Manager,Tunisia: TPR increases its sales prices on all aluminum profiles by 15%.,https://news.google.com/rss/articles/CBMiogFBVV95cUxNU0pnMG1NTzY4czV1U0FWVWE2V3k4c1FERWxfNFRIYUdCR2QwUV9uaDBmbkphbUkyR1MzQUQ1VDB2V3ItbUcyUTlIS2lfSUY1MTdab3NZT2FHc2gtdE1OUlY5V3hYZVVIZG1TWF90V2FTd09oc1BEOEhVZXozTWFBY3pFUG9UV1FqLWlUZEVmMU5kYmM3RnN1WTdISVpIVVVLanc?oc=5,en-IN:aluminium price,aluminum,,False,kept,1,13
2022-02-25,2022-02-22T08:00:00Z,mbr.co.uk,Kona Honzo (2022) review,https://news.google.com/rss/articles/CBMibkFVX3lxTE55T29jblk1V3QxWEZtdmhhX29WLVdSbWVsUHZyQzRCX2VCLVI4V2k0bGxhZEVTUXJ5ZWNKc3BIQmJ0bGhkMFhieUtOd2tmdVhuUm1lblpsZ0NsRWllVmxlT09Od3Jsc3ROcjB5YXhB?oc=5,en-IN:aluminium price,,,False,irrelevant,1,14
2022-02-25,2022-02-25T08:00:00Z,Aluminium International Today,"Aluminium price surges to new record high, driven by Ukrainian-Russian conflict",https://news.google.com/rss/articles/CBMirwFBVV95cUxPelFtY0pUS01yend5alhCTlRRci1rZWpTVUJabk9NRjBLcThhMV9uNVRNZ0hwMjNKU1piWGNpU01OZzVvY2FWcC1qMUw1SjE2ai1BbWg2OTdQbUQ5T2JNMlhCRXdYUEpCQTdGMGJyV0hkamlQZm5zMjkxUmxzdTJhNndwVGRNWDlPZUxoN1ZuSGtmNHZJdlVOd0RWVFBGM3d3ek1sYUdFYmMxWVN5dDVV?oc=5,en-IN:aluminum prices,aluminium,,False,duplicate,2,0
2022-02-25,2022-02-25T08:00:00Z,CSIS | Center for Strategic and International Studies,Decarbonizing Aluminum: Rolling Out a More Sustainable Sector,https://news.google.com/rss/articles/CBMikgFBVV95cUxPTGh5S3lmWjBXMHIxbkJxTHFxWFAtLUJpTUxWY3QyOTRBNFhxb1ZDZHNtdkRFMUg0UUNrZ253VTZncEF1N29OWmtHRERRYW1SMjlDeE9iUUs0SUdVa0lRaEJNWXQ4c0NidnprUzFPT0daQkUxZzhHV1M3WmRSR2ZyV18xazVhdm4wLWpoNUw4Y2lzdw?oc=5,en-IN:aluminum prices,aluminum,,False,duplicate,2,1
2022-02-25,2022-02-19T08:00:00Z,Recycling Today,A preference for local scrap,https://news.google.com/rss/articles/CBMinAFBVV95cUxOZl9nVlVaWWxldm4zNldoQkx6cHdkekNoTjZsOVhOOGMydWI1R1AyaHNyem1Lcl85dW5HeUFSMzlPSUtMZC0xb294aWVXVHBralE4ZGRvdlNtOWtHSWtGYl9XSS03U091MFZxRUV1VUdMY09RSEJkTDAtYzlKRGk4Z0VkUnJON2JFVThvWlJUNF8zZmhDbS1iYjhkSDI?oc=5,en-IN:aluminum prices,scrap,,False,kept,2,2
2022-02-25,2022-02-24T08:00:00Z,Business Standard,"Vedanta Aluminium launches low carbon aluminium, unveils two product lines",https://news.google.com/rss/articles/CBMi3gFBVV95cUxQOUZGXzg5Q2s2S0FUbElLRWdUVktIS1dGQnNuSzFZR191OFVWMTgtZ3lfQld4aHdQNXVtclVjeG95b1ZLbGtRdUFDcm9oaHhZNTJ1ZnlNbm1Jd2QzWVpUU2c2cWdzOFNmdkE3SklDcWo5WFd1T2pfaEQ1ZjFIUC00UHc4Q1VKdU9EaTIzREdMOVRQX1REdXNITHdlNV9PMlNWTkJBVkc3YTU3ZWowbFRqRmEyOFpKQnBmNWtjUEpXaWtFc2dkSHV5V3ZQel9pNUh6c2ZoNTRXX3FnV3Byb1HSAeMBQVVfeXFMTzdBUkVETlBPMmRucWJzM3dsdk5odW9uUm5tSkQ5UDJRNDY4b3RoRFh5S2E2bWY4dC13QkF0Zi1HZC1OWjAzdVNieldSOUxhcWdDUWZsR0p1WGlMdWxuc0t3NktLQTRZMHc2MUU4OUMxckt0RWF4dC1WOVpOeTZ5MjYwUE13VlVTRHV6TGdnMl9vTk00MjBrNlpRUDN3SjVYOVI1cXJ5cHp0bDl2TWhxTUhWS2JfVnpfYkdjMGtmam01WmV1Z21YdHJubHZiVGpoeHpwZnJSY3p0NDlWOHJzN3VSTTA?oc=5,en-IN:aluminum prices,aluminium,,False,duplicate,2,3
2022-02-25,2022-02-21T08:00:00Z,The Maritime Executive,Containerized Aluminum-Air Batteries Could Power Coastal Vessels,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPMDFHemZCSFpQemFnVnUxYVE4cjBqR1JYTTRJTEpVZy1lOXo4SFloMGgtNWxXbi1sVEhkLXk2djVkZlJwTkN1OTZ2c1hMNy1ZOUFiODBlT0gtWkY1bkZGVUxySDBUOHJEQ09JRk9NVjljcGhMd2tpVkRDdEd0aDNKRDd4Z3hIb1phbEFyR2lNSElwWUxKc1Mwc1NzRjFQUnY3MHZqbFhFZjRjUQ?oc=5,en-IN:aluminum prices,aluminum,,False,duplicate,2,4
2022-02-25,2022-02-24T08:00:00Z,Bloomberg.com,Biden Team to Hold Off on Sanctions Hitting Aluminum From Russia,https://news.google.com/rss/articles/CBMisgFBVV95cUxQbkVYaklmbE0wMy1jcjJ6YkN2aFhlVUxtNnppQnJrUnIweTA0Q05lb1RmeXVOdkY5MVl0VFNJT05ibE5RRG1zaW1GVHAyVUthRmREN0k4Y29HUGJyXzVGeVFqUDlGT3RwZ19hc0xjZjYtLXZFS3laVXp6dDlBWE5EVDNUVE9XUVBHTUFYOWtuMWhjZHBXRWtxbFE0ZUJTd3BqXzRJSUZrdVJoZzBzOFZhYjhR?oc=5,en-IN:aluminum prices,aluminum,,False,duplicate,2,5
2022-02-25,2022-02-23T08:00:00Z,AL Circle,GFG Alliance shifts the blame to lender collapse for failure of accounts filing,https://news.google.com/rss/articles/CBMitgFBVV95cUxOd1FpTkNfaFk2aW9ZM1BuZGFwSFFaZlB0Q1BUZkdKbnY2U1hmQk5LcmhtS3JaTjRJWjNtekFTM0Q5MVZ0RUo4UnVXWUt0WXpOSGkyTnNaOXF4X2V0QVhXMUk1a2s2dXREWWZJVzhRUFFfTkFqUS1PbVhKZmdWbFlmRzg5NkU2d2ZPNG1KY0s4Y3I5Tm1VdC01ZzFQX1U4STdDQzFzZzVpWEY1bXd5cHcyNE1WMEhKQQ?oc=5,en-IN:aluminum prices,,,False,irrelevant,2,6
2022-02-25,2022-02-26T08:00:00Z,HT Auto,Automakers plan to pause or shift production following Russia's invasion,https://news.google.com/rss/articles/CBMizwFBVV95cUxQT1dQNG96Q1FHcGpOMFZ2QnFCSGwzUXFCSDFIekpIX1ljUlNqNWg0TDlZeVN4NDNEZ1dxclNUSS1nNmxrb3hfdVphRUtHTXdsMkFaMEVZak4tc2oyaEpZaTdQUWZzZkN2Q000ZG5VN0pLSlMxdTRWa0VScjZMZ0hBS19yTWJQeTZLMEtON2JmWGwzd2NUcmYyUThzR0VmckZuTERNa2JuQUNXaUdGRGU0d1FqVHFYZE1hOEFUVDhjTmp4ekNyZTJCQWRteUVjSFnSAdQBQVVfeXFMTVVfRmU5eEpwOGVfUjE2RUthRWxKMThyc1d5ZGRZNjd4LUVxMWFkdEl5YjktU3NudW94NVlHcHEtX3RZc1VNNDVEYl9rdHkyYVY0VTFDczFzb0RCamRwOFdfc2FMYjNkSlAxUEpnenJldWE0MWRGV0h3aElaSk1hd1dvWUtRMExQN0JTdVdOYzI4YzhPZjFZSndFMjhfQ1Z3UllXMTgwQ1ByWTdGT2otNjd0Y1hnc2lkeEkzRm9uTXNWLUpNZWIxYTg1cUE4dmJwVmJvcjU?oc=5,en-IN:aluminum prices,,,False,out_of_window,2,7
2022-02-25,2022-02-24T08:00:00Z,CNN,Russia’s attack on Ukraine means these prices are going even higher,https://news.google.com/rss/articles/CBMif0FVX3lxTE0wQm1iQzgzMDNPYVhnQng4N0d2Q25uTUIxLXlVU3NiUVJiWkJTUVFMZUotaG1BQU52aW9FYkVoMFdKWllSNnJ2bFRQYThJTEJvbW4wYUxkWXBxbC1FZDJfRE9PZWdXeDJVbWM2b0R3Vmp4RXR5SlI3SWNBNkVMX1k?oc=5,en-IN:aluminum prices,,,False,irrelevant,2,8
2022-02-25,2022-02-24T08:00:00Z,CNBC,Food and drink prices are going up. CEOs say consumers aren't changing their shopping behavior yet,https://news.google.com/rss/articles/CBMipAFBVV95cUxPSWpBRmJOeTdTMXZzeWwxZTJpLWt6aGV4a2ozbVFZUFlIZVAzbHVZcGtMX3FjNUpDUldlOVlmclloZ3FyNmRueVFKdUh4c2lYRXNlOUlwYUR2M1RtQ2ZqRlFteWtNS1Iyc3U5SHpKbnZ4Q1pDZEVpX1pVbWViNUR3dzRmQmswdFQ1Rzg3aUlkU3lEMzhGeWpnanBSR3dRaDhnaVB4ZtIBqgFBVV95cUxNNFN3cDd6Q2h5RmtONkxrVWQtdno5WExCUlViN2hwcmd3ZHVBVTV0eDVBOGExTHBfREpEaHg2MjlsaFNBdGdyQzdXNFlRLVV4d0puenZyQWp1aGdadGNRdmxfV2syYkZHZUV5WXdLV1FlRjQ1bVNwSWgxWlQ4Q1N3MUdfc3ZzQUhFTVZ3djVBUjdMR1lpQTJMTExLTVdBY0tiRjVNcjl2c1NUdw?oc=5,en-IN:aluminum prices,,,False,irrelevant,2,9
2022-02-25,2022-02-24T08:00:00Z,India.com,"Gold Rate Today: Gold Crosses Rs 51,000 On MCX. Latest Gold Rate In Your City Here",https://news.google.com/rss/articles/CBMijwJBVV95cUxOMzQtTG5ja3lhaklJc2NWbzZhTlAyRFVKMldrY0o1UzhTSnF0WU8zNmNBREFzV1NsUXhkQUNNQkN6OHFVR3pYVjRiMzRDUkE2cUcwb0dmNUJpVUU2b0hKRDF4V0ZSdVVVejlZSVB4WG1zWFRlbXRFc1llOFUxeEpYX3RMT3BUd0V3Z0hnNHlMSUFDemp5UklfQmdLY3hnOVl0akV2QkttTGtMNFVDcGc5Z21ENTRjUHI1dF9pNUxrOGJFWWx1eTNLQUZiZ3VFTXdvTWFqNE5KRDdoc01OczdQOVZsRTNLUUUwMzlZMjBQQ05pQ3NmWVNSbVBFUHlFN2EyMHNsY3kySTlROUI4UmR30gGUAkFVX3lxTE8xX053LWV1bXpNVVU1T0ZRSm1mMlA5MVJjTkp5d3JDNTg2cGlGNWNqak1LMndEalN6d3dWNjVWZGx4dGwxZXVyczNxSDNzUkRDV1lOOHdaZk1LaEcyTl9HQXRSLU9fSDZSazZFOWI4ci1OeEZLOWwwM0ZxQ3M0Q3E5ek5ZdkVoQk1ZdkNZandhazRGQ29velZtUDVXbEFMNFV0dnZOek9vbmhwdGVVVWtPVzdoQWNrWVFRRS1sMWxoeks1cG1PYUZvMFRBd1VCNlpNejc1WnRsaWpXX1lFdXNxZE50amdlUE9sOFJSb3lSSS1vYjBKZVVaV2ZFY3pxLTZCRkJxRS1TRVN5MWE0dFIyaVFUMg?oc=5,en-IN:aluminum prices,,,False,irrelevant,2,10
2022-02-25,2022-02-23T08:00:00Z,Lynden Tribune,Senate capital budget provides $10 million for Intalco restart,https://news.google.com/rss/articles/CBMi3wFBVV95cUxNbUZmaUstbU9CdVkzMGdmZTY3YkU5V1MzZnBDbDIxQnkwOU9YbUxMaXdtbkNYNGxmUmhpcU1tczUzY29BN1RfU2dlT245OUpiM3AwTFNhSXBNYWpPdnVWOW9SX3JHRmxWSjZlV1I4SU10eDJIa2hvbmwzSEttT0c2OU5UQTRMaWpJbElKdm53NzlmWmtEWDJ5MXRTZnVIVkRXZVM4LUZVZ3FkUlkzVlY4RkFXZDJUQXJreWhSVk00cGUzanZ3ckJxVmhqRjRGSDhVdDlpVTZJNXNyWHlzUTdJ0gHkAUFVX3lxTE1wRHdCcVBYWTkwOTN4aVUxQjhfT2JzdWQ1NnRPTlNzbHU3WUxJa3lvc09YY0tCVlVqSnh1bzRYNFJZckhfX01Ec3VhRmlpMUV1bGFZd2xtRTh2RFVtUC1FT1dJNWk2UGpLVW80ZkI4NERSY2JmdUgxc0JCUUoxRnFiYkoybDhhdEl5WVFnd3VSeGs3aTV2V3BuRlFmVk5fQjVWWFFGNTJZRWF1QnhpUHFaRGFJcUNZZFRuWEQ5RXJnOEktcTdJMzk3bmxRckpnWlhGVjhPUnFFRGFabklNWGg5Slhlag?oc=5,en-IN:aluminum prices,,,False,irrelevant,2,11
2022-02-25,2022-02-23T08:00:00Z,Hackaday,Astra’s Frugal Design Leads To Latest Unusual Failure,https://news.google.com/rss/articles/CBMijgFBVV95cUxOaHBaenF5eVlRRWFKVldCNG9tVWFRbFdFUVY5REhGR2NsaXRhallsVnpoeGhpM3NrYkpmdjVvZThtZ2JhNVlNZGxEQ1RCRm1pV0ctN20temoyVmZtdVZSWjRnOHRpS0dCRGlWYlF5VFpJbW54YkxuR1llaHJwbUVVdmh4N3lVMVUza1ppRm1B?oc=5,en-IN:aluminum prices,,,False,irrelevant,2,12
2022-02-25,2022-02-23T08:00:00Z,아시아경제,Aftermath of Ukraine Crisis Sparks Raw Material Price Surge... South Korea's Inflation Rate Approaches 4%,https://news.google.com/rss/articles/CBMiZEFVX3lxTFBFUWVKQWFIRUZzcGZmMnI2VUZhckdlR2RvejBoOE9YVHlYVjZhSjBLRmpRV1ZEN01UVUZwTElPYTNRdU1hcnZyOFlfOFhlMU1DS2JLY29VQUNqenRBNzFmRktNdEs?oc=5,en-IN:aluminum prices,,,False,irrelevant,2,13
2022-02-25,2022-02-20T08:00:00Z,Star Tribune,Beer prices are going up in Minnesota and beyond. Here's why.,https://news.google.com/rss/articles/CBMinAFBVV95cUxOYlp5VVlZRC1Nblc5NkkxT0d5Q3RFSFpPVHlUd01wVHVoZ2x5N214dkJRSHR4R25EOVM1Y195VlFWOWhQMUl5a0M3TExRWVZuMXlmbU16bGg3SnVTeVdkMWhVdTBvc1ljT2NwdU5vNi1HYjRjSEJUSThybzQyNXExaFhVVmpRWWRSaVRobW12N2pURmVqdHIxVHV5dmI?oc=5,en-IN:aluminum prices,,,False,irrelevant,2,14
2022-02-25,2022-02-22T08:00:00Z,African Manager,Tunisia: TPR increases its sales prices on all aluminum profiles by 15%.,https://news.google.com/rss/articles/CBMiogFBVV95cUxNU0pnMG1NTzY4czV1U0FWVWE2V3k4c1FERWxfNFRIYUdCR2QwUV9uaDBmbkphbUkyR1MzQUQ1VDB2V3ItbUcyUTlIS2lfSUY1MTdab3NZT2FHc2gtdE1OUlY5V3hYZVVIZG1TWF90V2FTd09oc1BEOEhVZXozTWFBY3pFUG9UV1FqLWlUZEVmMU5kYmM3RnN1WTdISVpIVVVLanc?oc=5,en-IN:aluminum prices,aluminum,,False,duplicate,2,15
2022-02-25,2022-02-25T08:00:00Z,Nine.com.au,The economic impacts of Russia invading Ukraine on Australia,https://news.google.com/rss/articles/CBMiywFBVV95cUxNbDkzSllXQk1mUVQyMVNFOHNUcWdUWjdhVXZvS0RhVm1FQjRITE1aZ0FfWVphT1lmSGRMMGIxM3loZm14bkZ3YUFibWItell5SzBBM19mRmFGQmxzWGozUkZ2bEo1bDhsMUtIVTZzZUFncmhfZmcxSmEwcW1oOVlveHVhbVZUSG5TNUdpMWVuRDQtWFRVeEpia3c5UHVzQXY2Nzhfd0QxeS1xbVZ5Y3dIRjl6cUhZNE45M0J6S190TEs3MnVQRWJPLVFPRQ?oc=5,en-IN:aluminum prices,,,False,irrelevant,2,16
2022-02-25,2022-02-19T08:00:00Z,Recycling Today,A preference for local scrap,https://news.google.com/rss/articles/CBMinAFBVV95cUxOZl9nVlVaWWxldm4zNldoQkx6cHdkekNoTjZsOVhOOGMydWI1R1AyaHNyem1Lcl85dW5HeUFSMzlPSUtMZC0xb294aWVXVHBralE4ZGRvdlNtOWtHSWtGYl9XSS03U091MFZxRUV1VUdMY09RSEJkTDAtYzlKRGk4Z0VkUnJON2JFVThvWlJUNF8zZmhDbS1iYjhkSDI?oc=5,en-IN:aluminium scrap,scrap,,False,duplicate,3,0
