metric,scope,value,unit,note
headroom_stressed_im_inr_min,CRASH_FORTNIGHT,-181615340.160606,inr,on 2022-05-09
days_buffer_breach_actual,CRASH_FORTNIGHT,0,count,days after the start close
days_buffer_breach_stressed_im,CRASH_FORTNIGHT,6,count,days after the start close
days_fb_limit_breach_actual,CRASH_FORTNIGHT,0,count,days after the start close
days_fb_limit_breach_stressed_im,CRASH_FORTNIGHT,2,count,days after the start close
sens_garch_stress_move_frac,CRASH_FORTNIGHT,0.132554,frac,SENSITIVITY: the same stress on the GARCH reading alone (not binding)
sens_garch_extra_margin_cash_out_stressed_im_inr_max,CRASH_FORTNIGHT,146587789.620278,inr,SENSITIVITY: the same stress on the GARCH reading alone (not binding)
sens_garch_headroom_stressed_im_inr_min,CRASH_FORTNIGHT,-146412334.890278,inr,SENSITIVITY: the same stress on the GARCH reading alone (not binding)
sens_garch_days_buffer_breach_stressed_im,CRASH_FORTNIGHT,4,count,SENSITIVITY: the same stress on the GARCH reading alone (not binding)
sens_garch_days_fb_limit_breach_stressed_im,CRASH_FORTNIGHT,0,count,SENSITIVITY: the same stress on the GARCH reading alone (not binding)
memo_physical_mtm_gain_end_inr,CRASH_FORTNIGHT,427038753.16423,inr,"unrealised gain on the physical from the same move (start-day delta, linear): a mark, not cash"
memo_mc_window_move_logret,CRASH_FORTNIGHT,0.170427,logret,"HINDSIGHT memo, never binding: the Phase 4.2 Monte Carlo's LME marginal (Mar–Aug 2022 daily stdev 0.023167 x sqrt(10) x z99, Normal) — read from mc_factor_stats.csv"
window_start,MARGIN_FORTNIGHT,2022-03-15,date,the 10 trading days (11 observations) with the most negative summed net MCX margin cash (VM + charges − IM change) in the headline window
window_end,MARGIN_FORTNIGHT,2022-03-29,date,
lme_cash_return_frac,MARGIN_FORTNIGHT,0.113598,frac,"actual, start close to end close"
vm_actual_sum_inr,MARGIN_FORTNIGHT,-50637148.55,inr,days after the start close
net_margin_cash_actual_sum_inr,MARGIN_FORTNIGHT,-77149858.42,inr,VM + charges − IM change; + = cash received
mcx_im_actual_max_inr,MARGIN_FORTNIGHT,78630258.63,inr,
mcx_lots_net_open_at_start,MARGIN_FORTNIGHT,-374.0,lots,
stress_direction,MARGIN_FORTNIGHT,LME_UP,text,the direction that calls more cash
stress_move_logret,MARGIN_FORTNIGHT,0.294724,logret,binding reading: garch (as of the 2022-03-15 close)
stress_move_frac,MARGIN_FORTNIGHT,0.342756,frac,
move_normal_garch_logret,MARGIN_FORTNIGHT,0.294724,logret,as of the 2022-03-15 close
move_normal_hist250_logret,MARGIN_FORTNIGHT,0.139406,logret,as of the 2022-03-15 close
move_normal_hist60_logret,MARGIN_FORTNIGHT,0.19951,logret,as of the 2022-03-15 close
move_empirical_up_logret,MARGIN_FORTNIGHT,0.106854,logret,as of the 2022-03-15 close
move_empirical_down_logret,MARGIN_FORTNIGHT,-0.107896,logret,as of the 2022-03-15 close
lme_cash_stressed_end_usd_t,MARGIN_FORTNIGHT,4320.317366,usd_t,
vm_stressed_sum_inr,MARGIN_FORTNIGHT,-190788607.662229,inr,
extra_margin_cash_out_inr_max,MARGIN_FORTNIGHT,155830366.31648,inr,on 2022-03-29
extra_margin_cash_out_stressed_im_inr_max,MARGIN_FORTNIGHT,201765711.226548,inr,on 2022-03-29
headroom_actual_inr_min,MARGIN_FORTNIGHT,742721544.48,inr,on 2022-03-24
headroom_stressed_inr_min,MARGIN_FORTNIGHT,613425317.41352,inr,on 2022-03-29
headroom_stressed_im_inr_min,MARGIN_FORTNIGHT,567489972.503452,inr,on 2022-03-29
days_buffer_breach_actual,MARGIN_FORTNIGHT,0,count,days after the start close
days_buffer_breach_stressed_im,MARGIN_FORTNIGHT,0,count,days after the start close
days_fb_limit_breach_actual,MARGIN_FORTNIGHT,0,count,days after the start close
days_fb_limit_breach_stressed_im,MARGIN_FORTNIGHT,0,count,days after the start close
sens_garch_stress_move_frac,MARGIN_FORTNIGHT,0.342756,frac,SENSITIVITY: the same stress on the GARCH reading alone (not binding)
sens_garch_extra_margin_cash_out_stressed_im_inr_max,MARGIN_FORTNIGHT,201765711.226548,inr,SENSITIVITY: the same stress on the GARCH reading alone (not binding)
sens_garch_headroom_stressed_im_inr_min,MARGIN_FORTNIGHT,567489972.503452,inr,SENSITIVITY: the same stress on the GARCH reading alone (not binding)
sens_garch_days_buffer_breach_stressed_im,MARGIN_FORTNIGHT,0,count,SENSITIVITY: the same stress on the GARCH reading alone (not binding)
sens_garch_days_fb_limit_breach_stressed_im,MARGIN_FORTNIGHT,0,count,SENSITIVITY: the same stress on the GARCH reading alone (not binding)
memo_physical_mtm_gain_end_inr,MARGIN_FORTNIGHT,122034438.314011,inr,"unrealised gain on the physical from the same move (start-day delta, linear): a mark, not cash"
memo_mc_window_move_logret,MARGIN_FORTNIGHT,0.170427,logret,"HINDSIGHT memo, never binding: the Phase 4.2 Monte Carlo's LME marginal (Mar–Aug 2022 daily stdev 0.023167 x sqrt(10) x z99, Normal) — read from mc_factor_stats.csv"
