window,window_start,window_end,stress_direction,stress_move_logret,stress_binding_method,obs,date,lme_cash_actual_usd_t,lme_cash_stressed_usd_t,mcx_lots_net_open,vm_actual_inr,vm_stressed_inr,cum_vm_actual_inr,cum_vm_stressed_inr,im_actual_inr,im_stressed_inr,im_stressed_015_inr,extra_margin_cash_out_inr,extra_margin_cash_out_stressed_im_inr,funding_need_actual_inr,headroom_actual_inr,memo_physical_mtm_gain_inr,funding_need_stressed_inr,funding_need_stressed_im_inr,headroom_stressed_inr,headroom_stressed_im_inr,flag_buffer_breach_actual,flag_buffer_breach_stressed_im,flag_fb_limit_breach_actual,flag_fb_limit_breach_stressed_im,label
CRASH_FORTNIGHT,2022-04-22,2022-05-09,LME_UP,0.209159,hist60,0,2022-04-22,3244.0,3244.0,-709.0,0.0,0.0,0.0,0.0,95567833.49,95567833.49,95567833.49,0.0,0.0,659244791.62,190755208.38,0.0,659244791.62,659244791.62,190755208.38,190755208.38,False,False,False,False,ACADEMIC SIMULATION — not actual trades | STRESS — LME moved against the MCX hedges by the 99 % 10-day move; not a 2022 event
MARGIN_FORTNIGHT,2022-03-15,2022-03-29,LME_UP,0.294724,garch,0,2022-03-15,3217.5,3217.5,-374.0,0.0,0.0,0.0,0.0,49953085.13,49953085.13,49953085.13,0.0,0.0,2863232.38,847136767.62,0.0,2863232.38,2863232.38,847136767.62,847136767.62,False,False,False,False,ACADEMIC SIMULATION — not actual trades | STRESS — LME moved against the MCX hedges by the 99 % 10-day move; not a 2022 event
MARGIN_FORTNIGHT,2022-03-15,2022-03-29,LME_UP,0.294724,garch,1,2022-03-16,3306.0,3313.738741,-374.0,-12477693.77,-13676211.976682,-12477693.77,-13676211.976682,51200854.5,51320706.324648,76981059.486971,1318370.031329,26978723.193653,16589423.12,833410576.88,1280849.88558,17907793.151329,43568146.313653,832092206.848671,806431853.686347,False,False,False,False,ACADEMIC SIMULATION — not actual trades | STRESS — LME moved against the MCX hedges by the 99 % 10-day move; not a 2022 event
MARGIN_FORTNIGHT,2022-03-15,2022-03-29,LME_UP,0.294724,garch,2,2022-03-17,3288.0,3412.856081,-374.0,5085882.02,-12965105.975438,-7391811.75,-26641317.952119,50692266.29,52617216.932616,78925825.414494,21174456.844735,47483065.326613,10999252.91,839000747.09,20665106.272061,32173709.754735,58482318.236613,817826290.245265,791517681.763387,False,False,False,False,ACADEMIC SIMULATION — not actual trades | STRESS — LME moved against the MCX hedges by the 99 % 10-day move; not a 2022 event
MARGIN_FORTNIGHT,2022-03-15,2022-03-29,LME_UP,0.294724,garch,3,2022-03-18,3380.5,3514.938123,-374.0,-15862660.69,-17403649.696994,-23254472.44,-44044967.649113,52278532.36,54357582.141794,81536373.223089,22869544.990907,50048336.072201,28451023.55,821548976.45,22251043.624574,51320568.540907,78499359.622201,798679431.459093,771500640.377798,False,False,False,False,ACADEMIC SIMULATION — not actual trades | STRESS — LME moved against the MCX hedges by the 99 % 10-day move; not a 2022 event
MARGIN_FORTNIGHT,2022-03-15,2022-03-29,LME_UP,0.294724,garch,4,2022-03-21,3518.0,3620.073545,-374.0,-22213245.51,-17235695.115178,-45467717.95,-61280662.764291,54499856.92,56081151.288852,84121726.933278,17394239.183143,45434814.82757,53269399.37,796730600.63,16894336.524702,70663638.553143,98704214.19757,779336361.446856,751295785.80243,False,False,False,False,ACADEMIC SIMULATION — not actual trades | STRESS — LME moved against the MCX hedges by the 99 % 10-day move; not a 2022 event
MARGIN_FORTNIGHT,2022-03-15,2022-03-29,LME_UP,0.294724,garch,5,2022-03-22,3550.5,3728.353675,-374.0,-3916555.2,-15600176.714496,-49384273.15,-76880839.478787,54924020.47,57675305.891393,86512958.852841,30247851.75018,59085504.711628,57763063.72,792236936.28,29436812.866018,88010915.47018,116848568.431628,761989084.52982,733151431.568372,False,False,False,False,ACADEMIC SIMULATION — not actual trades | STRESS — LME moved against the MCX hedges by the 99 % 10-day move; not a 2022 event
MARGIN_FORTNIGHT,2022-03-15,2022-03-29,LME_UP,0.294724,garch,6,2022-03-23,3560.0,3839.872576,-517.0,-3716823.75,-19675176.537865,-53101096.9,-96556016.016652,76438177.47,82447432.974442,123671149.467056,49464174.621094,90687891.113708,83143955.63,766856044.37,46322105.121998,132608130.251094,173831846.743708,717391869.748906,676168153.256292,False,False,False,False,ACADEMIC SIMULATION — not actual trades | STRESS — LME moved against the MCX hedges by the 99 % 10-day move; not a 2022 event
MARGIN_FORTNIGHT,2022-03-15,2022-03-29,LME_UP,0.294724,garch,7,2022-03-24,3664.0,3954.727121,-517.0,-21920811.47,-24218965.699458,-75021908.37,-120774981.716109,78630258.63,84869327.606953,127303991.372653,51992142.323063,94426806.088762,107278455.52,742721544.48,48118656.306367,159270597.843063,201705261.608762,690729402.156938,648294738.391238,False,False,False,False,ACADEMIC SIMULATION — not actual trades | STRESS — LME moved against the MCX hedges by the 99 % 10-day move; not a 2022 event
MARGIN_FORTNIGHT,2022-03-15,2022-03-29,LME_UP,0.294724,garch,8,2022-03-25,3583.0,4073.017085,-517.0,19646683.42,-22811767.719108,-55375224.95,-143586749.435218,76665590.27,87150504.878776,130725757.323848,98696439.093994,142271691.539065,85694986.98,764305013.02,81103419.54406,184391426.073994,227966678.519065,665608573.926006,622033321.480935,False,False,False,False,ACADEMIC SIMULATION — not actual trades | STRESS — LME moved against the MCX hedges by the 99 % 10-day move; not a 2022 event
MARGIN_FORTNIGHT,2022-03-15,2022-03-29,LME_UP,0.294724,garch,9,2022-03-28,3606.0,4194.845223,-517.0,-4066942.35,-25073728.46314,-59442167.3,-168660477.898358,77072284.51,89657877.010286,134486815.509613,121803903.098644,166632841.59797,90235398.63,759764601.37,97460604.23628,212039301.728644,256868240.22797,637960698.271356,593131759.77203,False,False,False,False,ACADEMIC SIMULATION — not actual trades | STRESS — LME moved against the MCX hedges by the 99 % 10-day move; not a 2022 event
MARGIN_FORTNIGHT,2022-03-15,2022-03-29,LME_UP,0.294724,garch,10,2022-03-29,3583.0,4320.317366,-517.0,8805018.75,-22128129.763871,-50637148.55,-190788607.662229,76191782.64,91870689.844251,137806034.754319,155830366.31648,201765711.226548,80744316.27,769255683.73,122034438.314011,236574682.58648,282510027.496548,613425317.41352,567489972.503452,False,False,False,False,ACADEMIC SIMULATION — not actual trades | STRESS — LME moved against the MCX hedges by the 99 % 10-day move; not a 2022 event
