sample,method,start,end,n,exceptions,expected,exception_rate_frac,kupiec_lr,kupiec_pvalue,kupiec_accept_min,kupiec_accept_max,verdict,consecutive_exception_pairs,christoffersen_lr_ind,christoffersen_pvalue_ind,christoffersen_verdict_ind,lr_conditional_coverage,pvalue_conditional_coverage,role,pnl_column,var_column,mean_var_inr,label
unit_usd_long_1m,garch,2019-01-02,2022-12-30,1011,22,50.55,0.02176063,21.33587937,3.85e-06,38,64,REJECTED — too few exceptions (VaR overstates risk),1,0.45534945,0.49980547,NOT REJECTED,21.79122882,1.854e-05,BASE (power check),unit_fx_pnl_inr,unit_fx_var_garch_inr,453012.74,ACADEMIC SIMULATION — not actual trades
unit_usd_long_1m,hist250,2019-01-02,2022-12-30,1011,29,50.55,0.02868447,11.35125693,0.00075397,38,64,REJECTED — too few exceptions (VaR overstates risk),1,0.03359576,0.85456934,NOT REJECTED,11.38485269,0.0033714,BASE (power check),unit_fx_pnl_inr,unit_fx_var_hist250_inr,434520.46,ACADEMIC SIMULATION — not actual trades
unit_usd_long_1m,hist60,2019-01-02,2022-12-30,1011,34,50.55,0.03363007,6.41459274,0.01131863,38,64,REJECTED — too few exceptions (VaR overstates risk),3,2.28796321,0.13038092,NOT REJECTED,8.70255596,0.01289033,BASE (power check),unit_fx_pnl_inr,unit_fx_var_hist60_inr,416233.85,ACADEMIC SIMULATION — not actual trades
unit_usd_long_1m,garch_t,2019-01-02,2022-12-30,1011,31,50.55,0.03066271,9.17877224,0.00244838,38,64,REJECTED — too few exceptions (VaR overstates risk),2,0.94968209,0.32980023,NOT REJECTED,10.12845433,0.00631879,SENSITIVITY — Student-t GARCH,unit_fx_pnl_inr,unit_fx_var_garch_t_inr,422101.65,ACADEMIC SIMULATION — not actual trades
unit_lme_long_1000mt_2019,garch,2019-01-02,2019-12-31,253,4,12.65,0.01581028,8.39673483,0.00375896,7,19,REJECTED — too few exceptions (VaR overstates risk),0,0.12903785,0.71943172,NOT REJECTED,8.52577268,0.0140816,MEMO — calendar-year split (16 tests per series: about one false rejection at 5 % is expected by chance),unit_lme_pnl_inr,unit_lme_var_garch_inr,2350371.15,ACADEMIC SIMULATION — not actual trades
unit_lme_long_1000mt_2019,hist250,2019-01-02,2019-12-31,253,3,12.65,0.01185771,11.0480922,0.00088779,7,19,REJECTED — too few exceptions (VaR overstates risk),0,0.07229091,0.78802997,NOT REJECTED,11.12038311,0.00384804,MEMO — calendar-year split (16 tests per series: about one false rejection at 5 % is expected by chance),unit_lme_pnl_inr,unit_lme_var_hist250_inr,2638893.84,ACADEMIC SIMULATION — not actual trades
unit_lme_long_1000mt_2019,hist60,2019-01-02,2019-12-31,253,11,12.65,0.04347826,0.23653867,0.62671733,7,19,NOT REJECTED,2,3.13943818,0.07642013,NOT REJECTED,3.37597684,0.18489107,MEMO — calendar-year split (16 tests per series: about one false rejection at 5 % is expected by chance),unit_lme_pnl_inr,unit_lme_var_hist60_inr,1879463.01,ACADEMIC SIMULATION — not actual trades
unit_lme_long_1000mt_2019,garch_t,2019-01-02,2019-12-31,253,7,12.65,0.02766798,3.14732914,0.07605135,7,19,NOT REJECTED,0,0.40005444,0.52706114,NOT REJECTED,3.54738358,0.16970531,MEMO — calendar-year split (16 tests per series: about one false rejection at 5 % is expected by chance),unit_lme_pnl_inr,unit_lme_var_garch_t_inr,2222459.79,ACADEMIC SIMULATION — not actual trades
unit_lme_long_1000mt_2020,garch,2020-01-02,2020-12-31,254,11,12.7,0.04330709,0.25040091,0.61679293,7,20,NOT REJECTED,0,0.90750083,0.34077839,NOT REJECTED,1.15790174,0.56048608,MEMO — calendar-year split (16 tests per series: about one false rejection at 5 % is expected by chance),unit_lme_pnl_inr,unit_lme_var_garch_inr,2325990.34,ACADEMIC SIMULATION — not actual trades
unit_lme_long_1000mt_2020,hist250,2020-01-02,2020-12-31,254,19,12.7,0.07480315,2.87373997,0.09003542,7,20,NOT REJECTED,1,0.11563159,0.73382155,NOT REJECTED,2.98937155,0.22431908,MEMO — calendar-year split (16 tests per series: about one false rejection at 5 % is expected by chance),unit_lme_pnl_inr,unit_lme_var_hist250_inr,1967722.52,ACADEMIC SIMULATION — not actual trades
unit_lme_long_1000mt_2020,hist60,2020-01-02,2020-12-31,254,13,12.7,0.0511811,0.0074046,0.93142669,7,20,NOT REJECTED,1,0.22596648,0.63453088,NOT REJECTED,0.23337108,0.88986497,MEMO — calendar-year split (16 tests per series: about one false rejection at 5 % is expected by chance),unit_lme_pnl_inr,unit_lme_var_hist60_inr,2144507.62,ACADEMIC SIMULATION — not actual trades
unit_lme_long_1000mt_2020,garch_t,2020-01-02,2020-12-31,254,14,12.7,0.05511811,0.13576575,0.71252725,7,20,NOT REJECTED,1,0.11028257,0.73982266,NOT REJECTED,0.24604832,0.8842423,MEMO — calendar-year split (16 tests per series: about one false rejection at 5 % is expected by chance),unit_lme_pnl_inr,unit_lme_var_garch_t_inr,2239090.63,ACADEMIC SIMULATION — not actual trades
unit_lme_long_1000mt_2021,garch,2021-01-04,2021-12-31,253,16,12.65,0.06324111,0.86471901,0.35242147,7,19,NOT REJECTED,1,0.00028408,0.98655267,NOT REJECTED,0.86500308,0.64888385,MEMO — calendar-year split (16 tests per series: about one false rejection at 5 % is expected by chance),unit_lme_pnl_inr,unit_lme_var_garch_inr,4238036.7,ACADEMIC SIMULATION — not actual trades
unit_lme_long_1000mt_2021,hist250,2021-01-04,2021-12-31,253,22,12.65,0.08695652,6.01749096,0.01416477,7,19,REJECTED — too many exceptions (VaR understates risk),3,0.64072848,0.42344713,NOT REJECTED,6.65821943,0.03582499,MEMO — calendar-year split (16 tests per series: about one false rejection at 5 % is expected by chance),unit_lme_pnl_inr,unit_lme_var_hist250_inr,3705565.46,ACADEMIC SIMULATION — not actual trades
unit_lme_long_1000mt_2021,hist60,2021-01-04,2021-12-31,253,16,12.65,0.06324111,0.86471901,0.35242147,7,19,NOT REJECTED,1,0.00028408,0.98655267,NOT REJECTED,0.86500308,0.64888385,MEMO — calendar-year split (16 tests per series: about one false rejection at 5 % is expected by chance),unit_lme_pnl_inr,unit_lme_var_hist60_inr,4232036.21,ACADEMIC SIMULATION — not actual trades
unit_lme_long_1000mt_2021,garch_t,2021-01-04,2021-12-31,253,16,12.65,0.06324111,0.86471901,0.35242147,7,19,NOT REJECTED,1,0.00028408,0.98655267,NOT REJECTED,0.86500308,0.64888385,MEMO — calendar-year split (16 tests per series: about one false rejection at 5 % is expected by chance),unit_lme_pnl_inr,unit_lme_var_garch_t_inr,4123662.3,ACADEMIC SIMULATION — not actual trades
unit_lme_long_1000mt_2022,garch,2022-01-04,2022-12-30,251,14,12.55,0.05577689,0.17026188,0.67987917,7,19,NOT REJECTED,0,1.66199254,0.19733451,NOT REJECTED,1.83225442,0.40006541,MEMO — calendar-year split (16 tests per series: about one false rejection at 5 % is expected by chance),unit_lme_pnl_inr,unit_lme_var_garch_inr,7154736.54,ACADEMIC SIMULATION — not actual trades
unit_lme_long_1000mt_2022,hist250,2022-01-04,2022-12-30,251,13,12.55,0.05179283,0.01679576,0.89688413,7,19,NOT REJECTED,0,1.42687637,0.23227489,NOT REJECTED,1.44367212,0.48585937,MEMO — calendar-year split (16 tests per series: about one false rejection at 5 % is expected by chance),unit_lme_pnl_inr,unit_lme_var_hist250_inr,6862493.88,ACADEMIC SIMULATION — not actual trades
unit_lme_long_1000mt_2022,hist60,2022-01-04,2022-12-30,251,12,12.55,0.04780876,0.02573126,0.87255839,7,19,NOT REJECTED,0,1.21059727,0.27121387,NOT REJECTED,1.23632852,0.53893287,MEMO — calendar-year split (16 tests per series: about one false rejection at 5 % is expected by chance),unit_lme_pnl_inr,unit_lme_var_hist60_inr,7698271.09,ACADEMIC SIMULATION — not actual trades
unit_lme_long_1000mt_2022,garch_t,2022-01-04,2022-12-30,251,15,12.55,0.05976096,0.47514572,0.49062937,7,19,NOT REJECTED,0,1.91619603,0.16627661,NOT REJECTED,2.39134175,0.30250095,MEMO — calendar-year split (16 tests per series: about one false rejection at 5 % is expected by chance),unit_lme_pnl_inr,unit_lme_var_garch_t_inr,6886987.57,ACADEMIC SIMULATION — not actual trades
unit_usd_long_1m_2019,garch,2019-01-02,2019-12-31,253,2,12.65,0.00790514,14.38704575,0.00014882,7,19,REJECTED — too few exceptions (VaR overstates risk),0,0.03200034,0.85802691,NOT REJECTED,14.41904609,0.00073951,MEMO — calendar-year split (16 tests per series: about one false rejection at 5 % is expected by chance),unit_fx_pnl_inr,unit_fx_var_garch_inr,497936.74,ACADEMIC SIMULATION — not actual trades
unit_usd_long_1m_2019,hist250,2019-01-02,2019-12-31,253,5,12.65,0.01976285,6.25875268,0.01235812,7,19,REJECTED — too few exceptions (VaR overstates risk),0,0.20244298,0.65275613,NOT REJECTED,6.46119565,0.03953386,MEMO — calendar-year split (16 tests per series: about one false rejection at 5 % is expected by chance),unit_fx_pnl_inr,unit_fx_var_hist250_inr,497652.36,ACADEMIC SIMULATION — not actual trades
unit_usd_long_1m_2019,hist60,2019-01-02,2019-12-31,253,5,12.65,0.01976285,6.25875268,0.01235812,7,19,REJECTED — too few exceptions (VaR overstates risk),0,0.20244298,0.65275613,NOT REJECTED,6.46119565,0.03953386,MEMO — calendar-year split (16 tests per series: about one false rejection at 5 % is expected by chance),unit_fx_pnl_inr,unit_fx_var_hist60_inr,455518.8,ACADEMIC SIMULATION — not actual trades
unit_usd_long_1m_2019,garch_t,2019-01-02,2019-12-31,253,8,12.65,0.03162055,2.05793716,0.15141503,7,19,NOT REJECTED,1,1.39993396,0.23673463,NOT REJECTED,3.45787112,0.17747322,MEMO — calendar-year split (16 tests per series: about one false rejection at 5 % is expected by chance),unit_fx_pnl_inr,unit_fx_var_garch_t_inr,455086.64,ACADEMIC SIMULATION — not actual trades
unit_usd_long_1m_2020,garch,2020-01-02,2020-12-31,254,10,12.7,0.03937008,0.64976129,0.42019804,7,20,NOT REJECTED,0,0.82327773,0.36422357,NOT REJECTED,1.47303902,0.4787774,MEMO — calendar-year split (16 tests per series: about one false rejection at 5 % is expected by chance),unit_fx_pnl_inr,unit_fx_var_garch_inr,460376.68,ACADEMIC SIMULATION — not actual trades
unit_usd_long_1m_2020,hist250,2020-01-02,2020-12-31,254,11,12.7,0.04330709,0.25040091,0.61679293,7,20,NOT REJECTED,0,1.00034464,0.31722713,NOT REJECTED,1.25074555,0.53506193,MEMO — calendar-year split (16 tests per series: about one false rejection at 5 % is expected by chance),unit_fx_pnl_inr,unit_fx_var_hist250_inr,443578.18,ACADEMIC SIMULATION — not actual trades
unit_usd_long_1m_2020,hist60,2020-01-02,2020-12-31,254,11,12.7,0.04330709,0.25040091,0.61679293,7,20,NOT REJECTED,2,3.15256324,0.07580779,NOT REJECTED,3.40296415,0.18241297,MEMO — calendar-year split (16 tests per series: about one false rejection at 5 % is expected by chance),unit_fx_pnl_inr,unit_fx_var_hist60_inr,437750.14,ACADEMIC SIMULATION — not actual trades
unit_usd_long_1m_2020,garch_t,2020-01-02,2020-12-31,254,12,12.7,0.04724409,0.04134046,0.83888216,7,20,NOT REJECTED,0,1.19551504,0.27421992,NOT REJECTED,1.2368555,0.53879089,MEMO — calendar-year split (16 tests per series: about one false rejection at 5 % is expected by chance),unit_fx_pnl_inr,unit_fx_var_garch_t_inr,438923.98,ACADEMIC SIMULATION — not actual trades
unit_usd_long_1m_2021,garch,2021-01-04,2021-12-31,253,4,12.65,0.01581028,8.39673483,0.00375896,7,19,REJECTED — too few exceptions (VaR overstates risk),1,4.13010476,0.04212674,REJECTED — exceptions cluster,12.52683959,0.00190472,MEMO — calendar-year split (16 tests per series: about one false rejection at 5 % is expected by chance),unit_fx_pnl_inr,unit_fx_var_garch_inr,409974.89,ACADEMIC SIMULATION — not actual trades
unit_usd_long_1m_2021,hist250,2021-01-04,2021-12-31,253,4,12.65,0.01581028,8.39673483,0.00375896,7,19,REJECTED — too few exceptions (VaR overstates risk),1,4.13010476,0.04212674,REJECTED — exceptions cluster,12.52683959,0.00190472,MEMO — calendar-year split (16 tests per series: about one false rejection at 5 % is expected by chance),unit_fx_pnl_inr,unit_fx_var_hist250_inr,409642.69,ACADEMIC SIMULATION — not actual trades
unit_usd_long_1m_2021,hist60,2021-01-04,2021-12-31,253,9,12.65,0.03557312,1.22736362,0.26792036,7,19,NOT REJECTED,1,1.02377338,0.31162562,NOT REJECTED,2.251137,0.32446795,MEMO — calendar-year split (16 tests per series: about one false rejection at 5 % is expected by chance),unit_fx_pnl_inr,unit_fx_var_hist60_inr,366086.21,ACADEMIC SIMULATION — not actual trades
unit_usd_long_1m_2021,garch_t,2021-01-04,2021-12-31,253,4,12.65,0.01581028,8.39673483,0.00375896,7,19,REJECTED — too few exceptions (VaR overstates risk),1,4.13010476,0.04212674,REJECTED — exceptions cluster,12.52683959,0.00190472,MEMO — calendar-year split (16 tests per series: about one false rejection at 5 % is expected by chance),unit_fx_pnl_inr,unit_fx_var_garch_t_inr,375859.2,ACADEMIC SIMULATION — not actual trades
unit_usd_long_1m_2022,garch,2022-01-04,2022-12-30,251,6,12.55,0.02390438,4.42276289,0.03546257,7,19,REJECTED — too few exceptions (VaR overstates risk),0,0.29511171,0.58696329,NOT REJECTED,4.7178746,0.09452062,MEMO — calendar-year split (16 tests per series: about one false rejection at 5 % is expected by chance),unit_fx_pnl_inr,unit_fx_var_garch_inr,443659.6,ACADEMIC SIMULATION — not actual trades
unit_usd_long_1m_2022,hist250,2022-01-04,2022-12-30,251,9,12.55,0.03585657,1.16766182,0.2798822,7,19,NOT REJECTED,0,0.6723555,0.41223158,NOT REJECTED,1.84001731,0.39851559,MEMO — calendar-year split (16 tests per series: about one false rejection at 5 % is expected by chance),unit_fx_pnl_inr,unit_fx_var_hist250_inr,386795.52,ACADEMIC SIMULATION — not actual trades
unit_usd_long_1m_2022,hist60,2022-01-04,2022-12-30,251,9,12.55,0.03585657,1.16766182,0.2798822,7,19,NOT REJECTED,0,0.6723555,0.41223158,NOT REJECTED,1.84001731,0.39851559,MEMO — calendar-year split (16 tests per series: about one false rejection at 5 % is expected by chance),unit_fx_pnl_inr,unit_fx_var_hist60_inr,405409.65,ACADEMIC SIMULATION — not actual trades
unit_usd_long_1m_2022,garch_t,2022-01-04,2022-12-30,251,7,12.55,0.02788845,3.05484008,0.08049692,7,19,NOT REJECTED,0,0.40334798,0.52536527,NOT REJECTED,3.45818805,0.1774451,MEMO — calendar-year split (16 tests per series: about one false rejection at 5 % is expected by chance),unit_fx_pnl_inr,unit_fx_var_garch_t_inr,418441.34,ACADEMIC SIMULATION — not actual trades
