scenario,trade_id,leg_id,leg_type,cf_type,pnl_class,currency,contract_date,fixing_date,due_date_contractual,settle_date,amount_ccy,fx_rate_used,fx_rule,amount_inr,amount_inr_est_at_trade_date,date_rule,weakest_input_flag,event_ids,formula,label,written_by
PLANNED_AT_TRADE_DATE,T01,FX:T01-FX-3,FX_FORWARD,FX_FORWARD,PNL,INR,2022-03-08,2022-04-14,2022-04-14,2022-04-14,-196560.0,1.0,n/a (INR flow),-196560.0,-196560.0,roll following on the LME panel calendar,PROXY,,"sign x notional x (X(tau, value_date) - K)",,P3
PLANNED_AT_TRADE_DATE,T01,PURCHASE:L3,PURCHASE_INVOICE,PURCHASE_INVOICE,PNL,USD,2022-03-08,,2022-04-14,2022-04-14,-1965600.0,77.3172,CIP forward to the settle date,-151974747.62,-151974747.62,roll following on the LME panel calendar,SIM,,-q_bl x price_usd_t,,P3
PLANNED_AT_TRADE_DATE,T01,DUTY:L1,CUSTOMS_DUTY,CUSTOMS_DUTY,PNL,INR,2022-03-08,2022-05-09,2022-05-09,2022-05-09,-4336415.06,1.0,n/a (INR flow),-4336415.06,-4336415.06,roll following on the LME panel calendar,DIRECT,,-assessable_inr x bcd_scrap_hs7602 x (1 + sws_rate_on_bcd),,P3
PLANNED_AT_TRADE_DATE,T01,FREIGHT:L1,FREIGHT,FREIGHT,PNL,USD,2022-03-08,2022-03-18,2022-05-09,2022-05-09,-89384.4,77.497,CIP forward to the settle date,-6927023.07,-6927023.07,roll following on the LME panel calendar,ASSUMPTION,,"-boxes x (fixture rate once booked, else market box rate)",,P3
PLANNED_AT_TRADE_DATE,T01,IGST:L1,IGST_IMPORT,IGST_IMPORT,BS,INR,2022-03-08,2022-05-09,2022-05-09,2022-05-09,-29164362.36,1.0,n/a (INR flow),-29164362.36,-29164362.36,roll following on the LME panel calendar,DIRECT,,-(assessable + duty) x igst_rate_hs7602,,P3
PLANNED_AT_TRADE_DATE,T01,DUTY:L2,CUSTOMS_DUTY,CUSTOMS_DUTY,PNL,INR,2022-03-08,2022-05-16,2022-05-16,2022-05-16,-4336415.06,1.0,n/a (INR flow),-4336415.06,-4336415.06,roll following on the LME panel calendar,DIRECT,,-assessable_inr x bcd_scrap_hs7602 x (1 + sws_rate_on_bcd),,P3
PLANNED_AT_TRADE_DATE,T01,FREIGHT:L2,FREIGHT,FREIGHT,PNL,USD,2022-03-08,2022-03-18,2022-05-16,2022-05-16,-89384.4,77.5473,CIP forward to the settle date,-6931520.88,-6931520.88,roll following on the LME panel calendar,ASSUMPTION,,"-boxes x (fixture rate once booked, else market box rate)",,P3
PLANNED_AT_TRADE_DATE,T01,IGST:L2,IGST_IMPORT,IGST_IMPORT,BS,INR,2022-03-08,2022-05-16,2022-05-16,2022-05-16,-29164362.36,1.0,n/a (INR flow),-29164362.36,-29164362.36,roll following on the LME panel calendar,DIRECT,,-(assessable + duty) x igst_rate_hs7602,,P3
PLANNED_AT_TRADE_DATE,T01,FREIGHT:L3,FREIGHT,FREIGHT,PNL,USD,2022-03-08,2022-03-18,2022-05-17,2022-05-17,-89384.4,77.5545,CIP forward to the settle date,-6932163.37,-6932163.37,roll following on the LME panel calendar,ASSUMPTION,,"-boxes x (fixture rate once booked, else market box rate)",,P3
PLANNED_AT_TRADE_DATE,T01,DUTY:L3,CUSTOMS_DUTY,CUSTOMS_DUTY,PNL,INR,2022-03-08,2022-05-18,2022-05-18,2022-05-18,-4336415.06,1.0,n/a (INR flow),-4336415.06,-4336415.06,roll following on the LME panel calendar,DIRECT,,-assessable_inr x bcd_scrap_hs7602 x (1 + sws_rate_on_bcd),,P3
PLANNED_AT_TRADE_DATE,T01,IGST:L3,IGST_IMPORT,IGST_IMPORT,BS,INR,2022-03-08,2022-05-18,2022-05-18,2022-05-18,-29164362.36,1.0,n/a (INR flow),-29164362.36,-29164362.36,roll following on the LME panel calendar,DIRECT,,-(assessable + duty) x igst_rate_hs7602,,P3
PLANNED_AT_TRADE_DATE,T01,PORT:L1,PORT_CHARGES,PORT_CHARGES,PNL,INR,2022-03-08,,2022-05-18,2022-05-18,-2226000.0,1.0,n/a (INR flow),-2226000.0,-2226000.0,roll following on the LME panel calendar,ASSUMPTION,,-port_cf_charges_inr_t x base_payload x cleared boxes,,P3
PLANNED_AT_TRADE_DATE,T01,PORT:L2,PORT_CHARGES,PORT_CHARGES,PNL,INR,2022-03-08,,2022-05-24,2022-05-24,-2226000.0,1.0,n/a (INR flow),-2226000.0,-2226000.0,roll following on the LME panel calendar,ASSUMPTION,,-port_cf_charges_inr_t x base_payload x cleared boxes,,P3
PLANNED_AT_TRADE_DATE,T01,PORT:L3,PORT_CHARGES,PORT_CHARGES,PNL,INR,2022-03-08,,2022-05-27,2022-05-27,-2226000.0,1.0,n/a (INR flow),-2226000.0,-2226000.0,roll following on the LME panel calendar,ASSUMPTION,,-port_cf_charges_inr_t x base_payload x cleared boxes,,P3
PLANNED_AT_TRADE_DATE,T01,IGST:L1,IGST_CREDIT,IGST_CREDIT,BS,INR,2022-03-08,2022-05-09,2022-06-23,2022-06-23,29164362.36,1.0,n/a (INR flow),29164362.36,29164362.36,roll following on the LME panel calendar,DIRECT,,+(assessable + duty) x igst_rate at igst_credit_lag_days,,P3
PLANNED_AT_TRADE_DATE,T01,IGST:L2,IGST_CREDIT,IGST_CREDIT,BS,INR,2022-03-08,2022-05-16,2022-06-29,2022-06-29,29164362.36,1.0,n/a (INR flow),29164362.36,29164362.36,roll following on the LME panel calendar,DIRECT,,+(assessable + duty) x igst_rate at igst_credit_lag_days,,P3
PLANNED_AT_TRADE_DATE,T01,IGST:L3,IGST_CREDIT,IGST_CREDIT,BS,INR,2022-03-08,2022-05-18,2022-07-04,2022-07-04,29164362.36,1.0,n/a (INR flow),29164362.36,29164362.36,roll following on the LME panel calendar,DIRECT,,+(assessable + duty) x igst_rate at igst_credit_lag_days,,P3
PLANNED_AT_TRADE_DATE,T02,MCX:T02-MCX-1,MCX_INITIAL_MARGIN,MCX_INITIAL_MARGIN,BS,INR,2022-03-11,2022-03-11,2022-03-11,2022-03-11,-10649386.45,1.0,n/a (INR flow),-10649386.45,-10649386.45,roll following on the LME panel calendar,PROXY,,-d(lots x lot_kg x F(s) x mcx_al_margin_used_frac),,P3
PLANNED_AT_TRADE_DATE,T02,MCX:T02-MCX-1,MCX_SLIPPAGE,MCX_SLIPPAGE,PNL,INR,2022-03-11,,2022-03-11,2022-03-11,-37000.0,1.0,n/a (INR flow),-37000.0,-37000.0,roll following on the LME panel calendar,ASSUMPTION,,-lots x lot_kg x mcx_slippage_ticks x tick,,P3
PLANNED_AT_TRADE_DATE,T02,MCX:T02-MCX-1,MCX_TRANSACTION_COST,MCX_TRANSACTION_COST,PNL,INR,2022-03-11,2022-03-11,2022-03-11,2022-03-11,-31937.06,1.0,n/a (INR flow),-31937.06,-31937.06,roll following on the LME panel calendar,ASSUMPTION,,-lots x lot_kg x fill x mcx_txn_cost_frac,,P3
PLANNED_AT_TRADE_DATE,T02,MCX:T02-MCX-1,MCX_VARIATION_MARGIN,MCX_VARIATION_MARGIN,PNL,INR,2022-03-11,2022-03-11,2022-03-11,2022-03-11,-0.0,1.0,n/a (INR flow),-0.0,-0.0,roll following on the LME panel calendar,PROXY,,direction x lots x lot_kg x (F(entry) - entry settle) = 0 by construction,,P3
PLANNED_AT_TRADE_DATE,T02,MCX:T02-MCX-1,MCX_INITIAL_MARGIN,MCX_INITIAL_MARGIN,BS,INR,2022-03-11,2022-03-14,2022-03-14,2022-03-14,-0.0,1.0,n/a (INR flow),-0.0,-0.0,roll following on the LME panel calendar,PROXY,,-d(lots x lot_kg x F(s) x mcx_al_margin_used_frac),,P3
PLANNED_AT_TRADE_DATE,T02,MCX:T02-MCX-1,MCX_VARIATION_MARGIN,MCX_VARIATION_MARGIN,PNL,INR,2022-03-11,2022-03-14,2022-03-14,2022-03-14,-0.0,1.0,n/a (INR flow),-0.0,-0.0,roll following on the LME panel calendar,PROXY,,direction x lots x lot_kg x (F(s) - F(s-1)),,P3
PLANNED_AT_TRADE_DATE,T02,MCX:T02-MCX-1,MCX_INITIAL_MARGIN,MCX_INITIAL_MARGIN,BS,INR,2022-03-11,2022-03-15,2022-03-15,2022-03-15,-0.0,1.0,n/a (INR flow),-0.0,-0.0,roll following on the LME panel calendar,PROXY,,-d(lots x lot_kg x F(s) x mcx_al_margin_used_frac),,P3
PLANNED_AT_TRADE_DATE,T02,MCX:T02-MCX-1,MCX_VARIATION_MARGIN,MCX_VARIATION_MARGIN,PNL,INR,2022-03-11,2022-03-15,2022-03-15,2022-03-15,-0.0,1.0,n/a (INR flow),-0.0,-0.0,roll following on the LME panel calendar,PROXY,,direction x lots x lot_kg x (F(s) - F(s-1)),,P3
PLANNED_AT_TRADE_DATE,T02,MCX:T02-MCX-1,MCX_INITIAL_MARGIN,MCX_INITIAL_MARGIN,BS,INR,2022-03-11,2022-03-16,2022-03-16,2022-03-16,-0.0,1.0,n/a (INR flow),-0.0,-0.0,roll following on the LME panel calendar,PROXY,,-d(lots x lot_kg x F(s) x mcx_al_margin_used_frac),,P3
PLANNED_AT_TRADE_DATE,T02,MCX:T02-MCX-1,MCX_VARIATION_MARGIN,MCX_VARIATION_MARGIN,PNL,INR,2022-03-11,2022-03-16,2022-03-16,2022-03-16,-0.0,1.0,n/a (INR flow),-0.0,-0.0,roll following on the LME panel calendar,PROXY,,direction x lots x lot_kg x (F(s) - F(s-1)),,P3
PLANNED_AT_TRADE_DATE,T02,MCX:T02-MCX-1,MCX_INITIAL_MARGIN,MCX_INITIAL_MARGIN,BS,INR,2022-03-11,2022-03-17,2022-03-17,2022-03-17,-0.0,1.0,n/a (INR flow),-0.0,-0.0,roll following on the LME panel calendar,PROXY,,-d(lots x lot_kg x F(s) x mcx_al_margin_used_frac),,P3
PLANNED_AT_TRADE_DATE,T02,MCX:T02-MCX-1,MCX_VARIATION_MARGIN,MCX_VARIATION_MARGIN,PNL,INR,2022-03-11,2022-03-17,2022-03-17,2022-03-17,-0.0,1.0,n/a (INR flow),-0.0,-0.0,roll following on the LME panel calendar,PROXY,,direction x lots x lot_kg x (F(s) - F(s-1)),,P3
PLANNED_AT_TRADE_DATE,T02,MCX:T02-MCX-1,MCX_INITIAL_MARGIN,MCX_INITIAL_MARGIN,BS,INR,2022-03-11,2022-03-18,2022-03-18,2022-03-18,-0.0,1.0,n/a (INR flow),-0.0,-0.0,roll following on the LME panel calendar,PROXY,,-d(lots x lot_kg x F(s) x mcx_al_margin_used_frac),,P3
PLANNED_AT_TRADE_DATE,T02,MCX:T02-MCX-1,MCX_VARIATION_MARGIN,MCX_VARIATION_MARGIN,PNL,INR,2022-03-11,2022-03-18,2022-03-18,2022-03-18,-0.0,1.0,n/a (INR flow),-0.0,-0.0,roll following on the LME panel calendar,PROXY,,direction x lots x lot_kg x (F(s) - F(s-1)),,P3
PLANNED_AT_TRADE_DATE,T02,MCX:T02-MCX-1,MCX_INITIAL_MARGIN,MCX_INITIAL_MARGIN,BS,INR,2022-03-11,2022-03-21,2022-03-21,2022-03-21,-0.0,1.0,n/a (INR flow),-0.0,-0.0,roll following on the LME panel calendar,PROXY,,-d(lots x lot_kg x F(s) x mcx_al_margin_used_frac),,P3
PLANNED_AT_TRADE_DATE,T02,MCX:T02-MCX-1,MCX_VARIATION_MARGIN,MCX_VARIATION_MARGIN,PNL,INR,2022-03-11,2022-03-21,2022-03-21,2022-03-21,-0.0,1.0,n/a (INR flow),-0.0,-0.0,roll following on the LME panel calendar,PROXY,,direction x lots x lot_kg x (F(s) - F(s-1)),,P3
PLANNED_AT_TRADE_DATE,T02,MCX:T02-MCX-1,MCX_INITIAL_MARGIN,MCX_INITIAL_MARGIN,BS,INR,2022-03-11,2022-03-22,2022-03-22,2022-03-22,10649386.45,1.0,n/a (INR flow),10649386.45,10649386.45,roll following on the LME panel calendar,PROXY,,-d(lots x lot_kg x F(s) x mcx_al_margin_used_frac),,P3
PLANNED_AT_TRADE_DATE,T02,MCX:T02-MCX-1,MCX_VARIATION_MARGIN,MCX_VARIATION_MARGIN,PNL,INR,2022-03-11,2022-03-22,2022-03-22,2022-03-22,-0.0,1.0,n/a (INR flow),-0.0,-0.0,roll following on the LME panel calendar,PROXY,,direction x lots x lot_kg x (F(s) - F(s-1)),,P3
PLANNED_AT_TRADE_DATE,T02,INSURANCE:L1,INSURANCE,INSURANCE,PNL,USD,2022-03-11,2022-04-05,2022-04-05,2022-04-05,-1465.19,76.5986,CIP forward to the settle date,-112231.73,-112231.73,roll following on the LME panel calendar,ASSUMPTION,,-insurance_rate x insured_value_uplift x cfr_value_usd,,P3
PLANNED_AT_TRADE_DATE,T02,PSIC:L1,PSIC,PSIC,PNL,USD,2022-03-11,2022-04-05,2022-04-05,2022-04-05,-960.0,76.5986,CIP forward to the settle date,-73534.62,-73534.62,roll following on the LME panel calendar,ASSUMPTION,,-psic_cost_usd_per_box x boxes,,P3
PLANNED_AT_TRADE_DATE,T02,DUTY:L1,CUSTOMS_DUTY,CUSTOMS_DUTY,PNL,INR,2022-03-11,2022-04-11,2022-04-11,2022-04-11,-2810765.74,1.0,n/a (INR flow),-2810765.74,-2810765.74,roll following on the LME panel calendar,DIRECT,,-assessable_inr x bcd_scrap_hs7602 x (1 + sws_rate_on_bcd),,P3
PLANNED_AT_TRADE_DATE,T02,IGST:L1,IGST_IMPORT,IGST_IMPORT,BS,INR,2022-03-11,2022-04-11,2022-04-11,2022-04-11,-18903677.21,1.0,n/a (INR flow),-18903677.21,-18903677.21,roll following on the LME panel calendar,DIRECT,,-(assessable + duty) x igst_rate_hs7602,,P3
PLANNED_AT_TRADE_DATE,T02,LC_USANCE_FEE:L1,LC_USANCE_FEE,LC_USANCE_FEE,PNL,USD,2022-03-11,2022-04-12,2022-04-12,2022-04-12,-2657.33,76.6481,CIP forward to the settle date,-203679.09,-203679.09,roll following on the LME panel calendar,DIRECT,,-lc_usance_fee_frac_per_month x ceil(usance/30) x bill_usd,,P3
PLANNED_AT_TRADE_DATE,T02,INSURANCE:L2,INSURANCE,INSURANCE,PNL,USD,2022-03-11,2022-04-13,2022-04-13,2022-04-13,-1466.22,76.6551,CIP forward to the settle date,-112393.21,-112393.21,roll following on the LME panel calendar,ASSUMPTION,,-insurance_rate x insured_value_uplift x cfr_value_usd,,P3
PLANNED_AT_TRADE_DATE,T02,PSIC:L2,PSIC,PSIC,PNL,USD,2022-03-11,2022-04-13,2022-04-13,2022-04-13,-960.0,76.6551,CIP forward to the settle date,-73588.93,-73588.93,roll following on the LME panel calendar,ASSUMPTION,,-psic_cost_usd_per_box x boxes,,P3
PLANNED_AT_TRADE_DATE,T02,DUTY:L2,CUSTOMS_DUTY,CUSTOMS_DUTY,PNL,INR,2022-03-11,2022-04-19,2022-04-19,2022-04-19,-2812732.51,1.0,n/a (INR flow),-2812732.51,-2812732.51,roll following on the LME panel calendar,DIRECT,,-assessable_inr x bcd_scrap_hs7602 x (1 + sws_rate_on_bcd),,P3
PLANNED_AT_TRADE_DATE,T02,IGST:L2,IGST_IMPORT,IGST_IMPORT,BS,INR,2022-03-11,2022-04-19,2022-04-19,2022-04-19,-18916904.66,1.0,n/a (INR flow),-18916904.66,-18916904.66,roll following on the LME panel calendar,DIRECT,,-(assessable + duty) x igst_rate_hs7602,,P3
PLANNED_AT_TRADE_DATE,T02,LC_USANCE_FEE:L2,LC_USANCE_FEE,LC_USANCE_FEE,PNL,USD,2022-03-11,2022-04-20,2022-04-20,2022-04-20,-2659.19,76.7046,CIP forward to the settle date,-203972.03,-203972.03,roll following on the LME panel calendar,DIRECT,,-lc_usance_fee_frac_per_month x ceil(usance/30) x bill_usd,,P3
PLANNED_AT_TRADE_DATE,T02,PORT:L1,PORT_CHARGES,PORT_CHARGES,PNL,INR,2022-03-11,,2022-04-20,2022-04-20,-960000.0,1.0,n/a (INR flow),-960000.0,-960000.0,roll following on the LME panel calendar,ASSUMPTION,,-port_cf_charges_inr_t x base_payload x cleared boxes,,P3
PLANNED_AT_TRADE_DATE,T02,PORT:L2,PORT_CHARGES,PORT_CHARGES,PNL,INR,2022-03-11,,2022-04-28,2022-04-28,-960000.0,1.0,n/a (INR flow),-960000.0,-960000.0,roll following on the LME panel calendar,ASSUMPTION,,-port_cf_charges_inr_t x base_payload x cleared boxes,,P3
PLANNED_AT_TRADE_DATE,T02,IGST:L1,IGST_CREDIT,IGST_CREDIT,BS,INR,2022-03-11,2022-04-11,2022-05-26,2022-05-26,18903677.21,1.0,n/a (INR flow),18903677.21,18903677.21,roll following on the LME panel calendar,DIRECT,,+(assessable + duty) x igst_rate at igst_credit_lag_days,,P3
PLANNED_AT_TRADE_DATE,T02,SALE:S1,SALE_BALANCE,SALE_BALANCE,PNL,INR,2022-03-11,2022-04-29,2022-05-30,2022-05-30,255041269.42,1.0,n/a (INR flow),255041269.42,255041269.42,roll following on the LME panel calendar,SIM,,+q_acc x P_sale x (1 - disc passthrough) - advance,,P3
PLANNED_AT_TRADE_DATE,T02,IGST:L2,IGST_CREDIT,IGST_CREDIT,BS,INR,2022-03-11,2022-04-19,2022-06-06,2022-06-06,18916904.66,1.0,n/a (INR flow),18916904.66,18916904.66,roll following on the LME panel calendar,DIRECT,,+(assessable + duty) x igst_rate at igst_credit_lag_days,,P3
PLANNED_AT_TRADE_DATE,T02,DUTY:L1,CUSTOMS_DUTY_DIFFERENTIAL,CUSTOMS_DUTY_DIFFERENTIAL,PNL,INR,2022-03-11,2022-06-09,2022-06-09,2022-06-09,-10231.91,1.0,n/a (INR flow),-10231.91,-10231.91,roll following on the LME panel calendar,DIRECT,,-dAV x bcd x (1 + sws) on (P_final - P_provisional),,P3
PLANNED_AT_TRADE_DATE,T02,DUTY:L2,CUSTOMS_DUTY_DIFFERENTIAL,CUSTOMS_DUTY_DIFFERENTIAL,PNL,INR,2022-03-11,2022-06-09,2022-06-09,2022-06-09,-8265.13,1.0,n/a (INR flow),-8265.13,-8265.13,roll following on the LME panel calendar,DIRECT,,-dAV x bcd x (1 + sws) on (P_final - P_provisional),,P3
PLANNED_AT_TRADE_DATE,T02,PURCHASE:L1,PURCHASE_FINAL,PURCHASE_FINAL,PNL,USD,2022-03-11,2022-05-31,2022-06-09,2022-06-09,-71448.51,77.058,CIP forward to the settle date,-5505676.17,-5505676.17,roll following on the LME panel calendar,DIRECT,,-(q_acc x (factor x A_P + premium) x (1 - disc) - provisional),,P3
PLANNED_AT_TRADE_DATE,T02,PURCHASE:L2,PURCHASE_FINAL,PURCHASE_FINAL,PNL,USD,2022-03-11,2022-05-31,2022-06-09,2022-06-09,-70563.08,77.058,CIP forward to the settle date,-5437446.51,-5437446.51,roll following on the LME panel calendar,DIRECT,,-(q_acc x (factor x A_P + premium) x (1 - disc) - provisional),,P3
PLANNED_AT_TRADE_DATE,T02,BILL_COMMISSION:L1,IMPORT_BILL_COMMISSION,IMPORT_BILL_COMMISSION,PNL,USD,2022-03-11,2022-07-04,2022-07-04,2022-07-04,-1518.47,77.2345,CIP forward to the settle date,-117278.49,-117278.49,roll following on the LME panel calendar,DIRECT,,-import_bill_commission_frac x bill_usd,,P3
PLANNED_AT_TRADE_DATE,T02,PURCHASE:L1,PURCHASE_PROVISIONAL,PURCHASE_PROVISIONAL,PNL,USD,2022-03-11,2022-04-05,2022-07-04,2022-07-04,-1265394.5,77.2345,CIP forward to the settle date,-97732075.14,-97732075.14,roll following on the LME panel calendar,DIRECT,,-provisional_frac x q_bl x (factor x cash(bl) + premium),,P3
PLANNED_AT_TRADE_DATE,T02,USANCE_INTEREST:L1,USANCE_INTEREST,USANCE_INTEREST,PNL,USD,2022-03-11,2022-04-12,2022-07-04,2022-07-04,-5993.22,77.2345,CIP forward to the settle date,-462883.54,-462883.54,roll following on the LME panel calendar,PROXY,,-bill_usd x (usd_rate_3m_pa@acceptance + usance_interest_spread_pa) x days/360,,P3
PLANNED_AT_TRADE_DATE,T02,BILL_COMMISSION:L2,IMPORT_BILL_COMMISSION,IMPORT_BILL_COMMISSION,PNL,USD,2022-03-11,2022-07-12,2022-07-12,2022-07-12,-1519.54,77.2909,CIP forward to the settle date,-117446.35,-117446.35,roll following on the LME panel calendar,DIRECT,,-import_bill_commission_frac x bill_usd,,P3
PLANNED_AT_TRADE_DATE,T02,PURCHASE:L2,PURCHASE_PROVISIONAL,PURCHASE_PROVISIONAL,PNL,USD,2022-03-11,2022-04-13,2022-07-12,2022-07-12,-1266279.93,77.2909,CIP forward to the settle date,-97871960.96,-97871960.96,roll following on the LME panel calendar,DIRECT,,-provisional_frac x q_bl x (factor x cash(bl) + premium),,P3
PLANNED_AT_TRADE_DATE,T02,USANCE_INTEREST:L2,USANCE_INTEREST,USANCE_INTEREST,PNL,USD,2022-03-11,2022-04-20,2022-07-12,2022-07-12,-5997.42,77.2909,CIP forward to the settle date,-463546.08,-463546.08,roll following on the LME panel calendar,PROXY,,-bill_usd x (usd_rate_3m_pa@acceptance + usance_interest_spread_pa) x days/360,,P3
PLANNED_AT_TRADE_DATE,T03,MCX:T03-MCX-1,MCX_INITIAL_MARGIN,MCX_INITIAL_MARGIN,BS,INR,2022-03-23,2022-03-23,2022-03-23,2022-03-23,-21142474.62,1.0,n/a (INR flow),-21142474.62,-21142474.62,roll following on the LME panel calendar,PROXY,,-d(lots x lot_kg x F(s) x mcx_al_margin_used_frac),,P3
PLANNED_AT_TRADE_DATE,T03,MCX:T03-MCX-1,MCX_SLIPPAGE,MCX_SLIPPAGE,PNL,INR,2022-03-23,,2022-03-23,2022-03-23,-71500.0,1.0,n/a (INR flow),-71500.0,-71500.0,roll following on the LME panel calendar,ASSUMPTION,,-lots x lot_kg x mcx_slippage_ticks x tick,,P3
PLANNED_AT_TRADE_DATE,T03,MCX:T03-MCX-1,MCX_TRANSACTION_COST,MCX_TRANSACTION_COST,PNL,INR,2022-03-23,2022-03-23,2022-03-23,2022-03-23,-63405.97,1.0,n/a (INR flow),-63405.97,-63405.97,roll following on the LME panel calendar,ASSUMPTION,,-lots x lot_kg x fill x mcx_txn_cost_frac,,P3
PLANNED_AT_TRADE_DATE,T03,MCX:T03-MCX-1,MCX_VARIATION_MARGIN,MCX_VARIATION_MARGIN,PNL,INR,2022-03-23,2022-03-23,2022-03-23,2022-03-23,-0.0,1.0,n/a (INR flow),-0.0,-0.0,roll following on the LME panel calendar,PROXY,,direction x lots x lot_kg x (F(entry) - entry settle) = 0 by construction,,P3
PLANNED_AT_TRADE_DATE,T03,MCX:T03-MCX-1,MCX_INITIAL_MARGIN,MCX_INITIAL_MARGIN,BS,INR,2022-03-23,2022-03-24,2022-03-24,2022-03-24,-0.0,1.0,n/a (INR flow),-0.0,-0.0,roll following on the LME panel calendar,PROXY,,-d(lots x lot_kg x F(s) x mcx_al_margin_used_frac),,P3
PLANNED_AT_TRADE_DATE,T03,MCX:T03-MCX-1,MCX_VARIATION_MARGIN,MCX_VARIATION_MARGIN,PNL,INR,2022-03-23,2022-03-24,2022-03-24,2022-03-24,-0.0,1.0,n/a (INR flow),-0.0,-0.0,roll following on the LME panel calendar,PROXY,,direction x lots x lot_kg x (F(s) - F(s-1)),,P3
PLANNED_AT_TRADE_DATE,T03,MCX:T03-MCX-1,MCX_INITIAL_MARGIN,MCX_INITIAL_MARGIN,BS,INR,2022-03-23,2022-03-25,2022-03-25,2022-03-25,-0.0,1.0,n/a (INR flow),-0.0,-0.0,roll following on the LME panel calendar,PROXY,,-d(lots x lot_kg x F(s) x mcx_al_margin_used_frac),,P3
PLANNED_AT_TRADE_DATE,T03,MCX:T03-MCX-1,MCX_VARIATION_MARGIN,MCX_VARIATION_MARGIN,PNL,INR,2022-03-23,2022-03-25,2022-03-25,2022-03-25,-0.0,1.0,n/a (INR flow),-0.0,-0.0,roll following on the LME panel calendar,PROXY,,direction x lots x lot_kg x (F(s) - F(s-1)),,P3
