date,sigma_lme_garch_frac,garch_persistence,sigma_lme_garch_hday_frac,sigma_lme_hist250_frac,sigma_lme_hist60_frac,move_normal_garch_logret,move_normal_hist250_logret,move_normal_hist60_logret,move_empirical_up_logret,move_empirical_down_logret,stress_move_up_logret,stress_move_down_logret,stress_binding_up,stress_binding_down,label
2022-04-07,0.017959,0.96119,0.05546,0.019293,0.02766,0.129019,0.141933,0.203485,0.10777,-0.124536,0.203485,-0.203485,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-04-08,0.017414,0.961402,0.053975,0.019297,0.027714,0.125564,0.141961,0.203876,0.107764,-0.124536,0.203876,-0.203876,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-04-11,0.024514,0.961402,0.073639,0.019532,0.028378,0.171311,0.143685,0.208761,0.107758,-0.124535,0.208761,-0.208761,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-04-12,0.022443,0.961402,0.067847,0.019526,0.028389,0.157835,0.143643,0.208842,0.107752,-0.124535,0.208842,-0.208842,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-04-13,0.020486,0.961402,0.062409,0.019526,0.028361,0.145186,0.143641,0.208641,0.107747,-0.124534,0.208641,-0.208641,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-04-14,0.019383,0.967084,0.05973,0.019527,0.028219,0.138954,0.143653,0.207595,0.107741,-0.124533,0.207595,-0.207595,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-04-19,0.019774,0.967084,0.060827,0.019564,0.028344,0.141506,0.143925,0.208513,0.107735,-0.124533,0.208513,-0.208513,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-04-20,0.01997,0.967084,0.06138,0.019613,0.028447,0.142791,0.144288,0.209274,0.107729,-0.124532,0.209274,-0.209274,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-04-21,0.018547,0.967084,0.057391,0.019614,0.028449,0.133512,0.144294,0.209285,0.107723,-0.124532,0.209285,-0.209285,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-04-22,0.017172,0.966161,0.053507,0.019617,0.028432,0.124475,0.144317,0.209159,0.107718,-0.124531,0.209159,-0.209159,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-04-25,0.024149,0.966161,0.073104,0.019857,0.029111,0.170064,0.146079,0.214156,0.107712,-0.124531,0.214156,-0.214156,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-04-26,0.022177,0.966161,0.067514,0.019832,0.029115,0.15706,0.145892,0.214189,0.107706,-0.12453,0.214189,-0.214189,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-04-27,0.020352,0.966161,0.06237,0.019829,0.029081,0.145094,0.145871,0.213935,0.1077,-0.124529,0.213935,-0.213935,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-04-28,0.019172,0.966161,0.059064,0.01984,0.029116,0.137403,0.145951,0.214196,0.107694,-0.124529,0.214196,-0.214196,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-04-29,0.018209,0.970477,0.056609,0.019845,0.029112,0.131692,0.14599,0.214165,0.107689,-0.124528,0.214165,-0.214165,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-05-03,0.023039,0.970477,0.070371,0.020014,0.029626,0.163708,0.147233,0.217946,0.107683,-0.124528,0.217946,-0.217946,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-05-04,0.021351,0.970477,0.065536,0.019989,0.029612,0.15246,0.147051,0.217842,0.107677,-0.124527,0.217842,-0.217842,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-05-05,0.019765,0.970477,0.061016,0.019957,0.029509,0.141945,0.146817,0.217083,0.107671,-0.124527,0.217083,-0.217083,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-05-06,0.02132,0.973727,0.065743,0.02004,0.029493,0.152941,0.147426,0.216965,0.107665,-0.124714,0.216965,-0.216965,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-05-09,0.025595,0.973727,0.078144,0.020151,0.030058,0.18179,0.148243,0.221123,0.10766,-0.126075,0.221123,-0.221123,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-05-10,0.023996,0.973727,0.073492,0.02012,0.029986,0.170969,0.148017,0.220592,0.107654,-0.129039,0.220592,-0.220592,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-05-11,0.023584,0.973727,0.072296,0.020165,0.029787,0.168185,0.148346,0.219129,0.107648,-0.129025,0.219129,-0.219129,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-05-12,0.022759,0.973727,0.069905,0.020193,0.02958,0.162624,0.148549,0.21761,0.107642,-0.130393,0.21761,-0.21761,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-05-13,0.021611,0.97459,0.066674,0.020207,0.029445,0.155107,0.14865,0.216615,0.107636,-0.130382,0.216615,-0.216615,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-05-16,0.021915,0.97459,0.067555,0.020195,0.029524,0.157155,0.148567,0.217195,0.107631,-0.130372,0.217195,-0.217195,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-05-17,0.021097,0.97459,0.065188,0.020219,0.029592,0.15165,0.148739,0.217698,0.107625,-0.130361,0.217698,-0.217698,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-05-18,0.019574,0.97459,0.060796,0.020217,0.029585,0.141432,0.148731,0.217643,0.107619,-0.130351,0.217643,-0.217643,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-05-19,0.018316,0.97459,0.057188,0.02005,0.029598,0.133039,0.147497,0.217736,0.107613,-0.130341,0.217736,-0.217736,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-05-20,0.021573,0.975542,0.066646,0.020158,0.029698,0.155042,0.148295,0.218477,0.107607,-0.13033,0.218477,-0.218477,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-05-23,0.020377,0.975542,0.06318,0.020164,0.029501,0.146979,0.148336,0.217025,0.107602,-0.13032,0.217025,-0.217025,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-05-24,0.021443,0.975542,0.066268,0.020227,0.028792,0.154162,0.148805,0.21181,0.107596,-0.130309,0.21181,-0.21181,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-05-25,0.020915,0.975542,0.064737,0.020255,0.028225,0.1506,0.149007,0.207642,0.107577,-0.130295,0.207642,-0.207642,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-05-26,0.019404,0.975542,0.06037,0.020201,0.027997,0.140442,0.148609,0.205964,0.107558,-0.130281,0.205964,-0.205964,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-05-27,0.017964,0.974393,0.056136,0.020195,0.027946,0.130593,0.148563,0.20559,0.107538,-0.130267,0.20559,-0.20559,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-05-30,0.017457,0.974393,0.054692,0.020162,0.027721,0.127233,0.148322,0.20393,0.107519,-0.130253,0.20393,-0.20393,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-05-31,0.017282,0.974393,0.054194,0.020177,0.027459,0.126074,0.148432,0.202005,0.1075,-0.130239,0.202005,-0.202005,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-06-01,0.02206,0.977118,0.068207,0.020348,0.027669,0.158673,0.149691,0.203546,0.107481,-0.130225,0.203546,-0.203546,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-06-06,0.021159,0.977118,0.065578,0.020362,0.027384,0.152558,0.149794,0.201452,0.107462,-0.13021,0.201452,-0.201452,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-06-07,0.019971,0.977118,0.062124,0.020365,0.021725,0.144521,0.149817,0.159823,0.107443,-0.130196,0.159823,-0.159823,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-06-08,0.019704,0.977118,0.061348,0.020396,0.021825,0.142716,0.150048,0.160553,0.107424,-0.130182,0.160553,-0.160553,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-06-09,0.018403,0.977118,0.057584,0.020392,0.021833,0.13396,0.150017,0.160614,0.107404,-0.130168,0.160614,-0.160614,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-06-10,0.01868,0.976229,0.058295,0.020433,0.021879,0.135615,0.150316,0.160957,0.107385,-0.130154,0.160957,-0.160957,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-06-13,0.022463,0.976229,0.06927,0.020556,0.022311,0.161146,0.151219,0.164129,0.107366,-0.13014,0.164129,-0.164129,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-06-14,0.020853,0.976229,0.064584,0.020555,0.021156,0.150246,0.151217,0.155635,0.107347,-0.130126,0.155635,-0.155635,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-06-15,0.019411,0.976229,0.060406,0.020544,0.020868,0.140525,0.151137,0.153515,0.107328,-0.130112,0.153515,-0.153515,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-06-16,0.021221,0.976229,0.065653,0.020591,0.021244,0.152732,0.151482,0.15628,0.107309,-0.130098,0.15628,-0.15628,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-06-17,0.020142,0.97777,0.06265,0.020595,0.020985,0.145745,0.151509,0.154375,0.10729,-0.130083,0.154375,-0.154375,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-06-20,0.018832,0.97777,0.058846,0.020589,0.020353,0.136896,0.151464,0.14973,0.107271,-0.130069,0.151464,-0.151464,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-06-21,0.019366,0.97777,0.060395,0.020639,0.020536,0.140499,0.15183,0.151075,0.107251,-0.130055,0.15183,-0.15183,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-06-22,0.020214,0.97777,0.062861,0.020701,0.0208,0.146237,0.152286,0.153018,0.107232,-0.130041,0.153018,-0.153018,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-06-23,0.019146,0.97777,0.059755,0.020663,0.020505,0.13901,0.152009,0.150849,0.107213,-0.130027,0.152009,-0.152009,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-06-24,0.018924,0.977579,0.059089,0.020693,0.020432,0.137462,0.152232,0.150312,0.107194,-0.130013,0.152232,-0.152232,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-06-27,0.017813,0.977579,0.055876,0.020641,0.020435,0.129986,0.151845,0.150334,0.107175,-0.129999,0.151845,-0.151845,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-06-28,0.017929,0.977579,0.056212,0.020675,0.020565,0.130768,0.152099,0.151289,0.107156,-0.129985,0.152099,-0.152099,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-06-29,0.018082,0.977579,0.056653,0.020684,0.020536,0.131794,0.152166,0.151075,0.107137,-0.129971,0.152166,-0.152166,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-06-30,0.018682,0.977579,0.058387,0.020711,0.020743,0.135828,0.152364,0.152598,0.107117,-0.129956,0.152598,-0.152598,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-07-01,0.017509,0.977199,0.054967,0.020708,0.020742,0.127871,0.15234,0.152588,0.107098,-0.129942,0.152588,-0.152588,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-07-04,0.017771,0.977199,0.055723,0.020744,0.020847,0.12963,0.152605,0.153362,0.107079,-0.129928,0.153362,-0.153362,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-07-05,0.018617,0.977199,0.058164,0.020793,0.021046,0.135309,0.152962,0.154829,0.10706,-0.129914,0.154829,-0.154829,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-07-06,0.017525,0.977199,0.055014,0.020712,0.021037,0.127981,0.152367,0.154761,0.107041,-0.1299,0.154761,-0.154761,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-07-07,0.01858,0.977199,0.058056,0.020752,0.020956,0.135058,0.152664,0.154165,0.107022,-0.129886,0.154165,-0.154165,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-07-08,0.017539,0.977482,0.055066,0.02075,0.020894,0.128104,0.152652,0.15371,0.107003,-0.129872,0.15371,-0.15371,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-07-11,0.016581,0.977482,0.052314,0.020742,0.019959,0.1217,0.152591,0.146829,0.106984,-0.129858,0.152591,-0.152591,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-07-12,0.017786,0.977482,0.055779,0.020786,0.020196,0.129762,0.152914,0.148577,0.106964,-0.129843,0.152914,-0.152914,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-07-13,0.016759,0.977482,0.052826,0.020787,0.020211,0.122892,0.152921,0.148684,0.106945,-0.129829,0.152921,-0.152921,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-07-14,0.015812,0.977482,0.050115,0.02079,0.020189,0.116585,0.152946,0.148521,0.106926,-0.129815,0.152946,-0.152946,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-07-15,0.014822,0.976523,0.047247,0.020718,0.01998,0.109913,0.152413,0.146982,0.106907,-0.129801,0.152413,-0.152413,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-07-18,0.016319,0.976523,0.0515,0.020775,0.020024,0.119806,0.15283,0.147306,0.106888,-0.129787,0.15283,-0.15283,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-07-19,0.016086,0.976523,0.050836,0.020794,0.020091,0.118262,0.152971,0.1478,0.106869,-0.129773,0.152971,-0.152971,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-07-20,0.016372,0.976523,0.051651,0.020821,0.020216,0.120158,0.153173,0.148724,0.10685,-0.129759,0.153173,-0.153173,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-07-21,0.015933,0.976523,0.050399,0.020807,0.019284,0.117247,0.153069,0.141866,0.10683,-0.129745,0.153069,-0.153069,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-07-22,0.01572,0.977159,0.049815,0.020825,0.019361,0.115888,0.153199,0.142429,0.106811,-0.129731,0.153199,-0.153199,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-07-25,0.015286,0.977159,0.04858,0.020838,0.019419,0.113014,0.153295,0.142856,0.106792,-0.129716,0.153295,-0.153295,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-07-26,0.014356,0.977159,0.045945,0.020833,0.019367,0.106883,0.15326,0.142476,0.106773,-0.129702,0.15326,-0.15326,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-07-27,0.015086,0.977159,0.048011,0.020844,0.019494,0.11169,0.153342,0.143409,0.106754,-0.129688,0.153342,-0.153342,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-07-28,0.017196,0.977159,0.054038,0.020853,0.019035,0.125712,0.15341,0.140031,0.106735,-0.129674,0.15341,-0.15341,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-07-29,0.016106,0.977539,0.050927,0.020852,0.019022,0.118475,0.153402,0.139935,0.106716,-0.12966,0.153402,-0.153402,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-08-01,0.015292,0.977539,0.048605,0.020835,0.019037,0.113073,0.153276,0.140043,0.106697,-0.129646,0.153276,-0.153276,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-08-02,0.014654,0.977539,0.046792,0.020837,0.018687,0.108856,0.153286,0.137472,0.106677,-0.129632,0.153286,-0.153286,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-08-03,0.015248,0.977539,0.04848,0.020869,0.017927,0.11278,0.153527,0.131884,0.106658,-0.129618,0.153527,-0.153527,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-08-04,0.014923,0.977539,0.047556,0.020866,0.017934,0.110631,0.153503,0.131935,0.106639,-0.129604,0.153503,-0.153503,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-08-05,0.01762,0.978192,0.055329,0.020882,0.018137,0.128714,0.153618,0.133425,0.10662,-0.129589,0.153618,-0.153618,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-08-08,0.016568,0.978192,0.052295,0.020869,0.017997,0.121656,0.153526,0.1324,0.106601,-0.129575,0.153526,-0.153526,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-08-09,0.017213,0.978192,0.054151,0.020913,0.01813,0.125975,0.153846,0.133375,0.106582,-0.129561,0.153846,-0.153846,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-08-10,0.016503,0.978192,0.052108,0.020915,0.017898,0.121221,0.15386,0.131666,0.106563,-0.129547,0.15386,-0.15386,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-08-11,0.016245,0.978192,0.051368,0.020934,0.017874,0.119501,0.154004,0.131491,0.106543,-0.129533,0.154004,-0.154004,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-08-12,0.015758,0.97779,0.049931,0.020924,0.017935,0.116157,0.153927,0.13194,0.106524,-0.129519,0.153927,-0.153927,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-08-15,0.018618,0.97779,0.058169,0.021023,0.0184,0.135322,0.154657,0.135359,0.106505,-0.129505,0.154657,-0.154657,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-08-16,0.018972,0.97779,0.059194,0.021042,0.018007,0.137706,0.154794,0.132467,0.106486,-0.129491,0.154794,-0.154794,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-08-17,0.018171,0.97779,0.056874,0.021024,0.018014,0.132308,0.154667,0.132519,0.106467,-0.129477,0.154667,-0.154667,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-08-18,0.016991,0.97779,0.053467,0.021015,0.017646,0.124383,0.1546,0.129813,0.106448,-0.129462,0.1546,-0.1546,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-08-19,0.016769,0.978412,0.05287,0.021014,0.017599,0.122995,0.154592,0.129468,0.106429,-0.129448,0.154592,-0.154592,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-08-22,0.0158,0.978412,0.050086,0.020995,0.017609,0.116517,0.15445,0.129542,0.10641,-0.129434,0.15445,-0.15445,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-08-23,0.016545,0.978412,0.052226,0.021037,0.017819,0.121495,0.154762,0.131085,0.10639,-0.12942,0.154762,-0.154762,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-08-24,0.015684,0.978412,0.049755,0.02104,0.017748,0.115747,0.154779,0.130562,0.106371,-0.129406,0.154779,-0.154779,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-08-25,0.015007,0.978412,0.04782,0.021026,0.017655,0.111247,0.154681,0.129879,0.106352,-0.129392,0.154681,-0.154681,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-08-26,0.015913,0.978257,0.05039,0.021048,0.017037,0.117224,0.15484,0.125336,0.106333,-0.129378,0.15484,-0.15484,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-08-30,0.019489,0.978257,0.06073,0.021143,0.017559,0.141279,0.155541,0.129173,0.106314,-0.129364,0.155541,-0.155541,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-08-31,0.019027,0.978257,0.059385,0.021158,0.017633,0.13815,0.155647,0.129715,0.106295,-0.12935,0.155647,-0.155647,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-09-01,0.020057,0.978257,0.062387,0.021225,0.017809,0.145134,0.156143,0.131014,0.106276,-0.129335,0.156143,-0.156143,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-09-02,0.018788,0.979516,0.058805,0.021194,0.0178,0.136802,0.155915,0.130943,0.106256,-0.129321,0.155915,-0.155915,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-09-05,0.017792,0.979516,0.055908,0.0212,0.01762,0.130061,0.155957,0.129624,0.106237,-0.129307,0.155957,-0.155957,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-09-06,0.017296,0.979516,0.054467,0.021202,0.016938,0.126708,0.155973,0.124604,0.106218,-0.129293,0.155973,-0.155973,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-09-07,0.016832,0.979516,0.053124,0.021197,0.017022,0.123585,0.155937,0.125226,0.106199,-0.129279,0.155937,-0.155937,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-09-08,0.016263,0.979516,0.051482,0.021136,0.017081,0.119765,0.155488,0.125656,0.10618,-0.129265,0.155488,-0.155488,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-09-09,0.015654,0.978553,0.049661,0.021115,0.016652,0.115528,0.155333,0.122503,0.106161,-0.129251,0.155333,-0.155333,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-09-12,0.014754,0.978553,0.047093,0.020996,0.016602,0.109555,0.15446,0.122135,0.106142,-0.129237,0.15446,-0.15446,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-09-13,0.014232,0.978553,0.045609,0.020999,0.016632,0.106103,0.15448,0.122356,0.106123,-0.129223,0.15448,-0.15448,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-09-14,0.018336,0.978553,0.057401,0.021123,0.017016,0.133536,0.155393,0.125176,0.106103,-0.129208,0.155393,-0.155393,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-09-15,0.018473,0.978553,0.057797,0.021136,0.016882,0.134456,0.15549,0.124197,0.106084,-0.129194,0.15549,-0.15549,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-09-16,0.017419,0.980058,0.054816,0.021087,0.01685,0.127522,0.155124,0.123958,0.106065,-0.12918,0.155124,-0.155124,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-09-19,0.016856,0.980058,0.053182,0.021097,0.016763,0.123719,0.1552,0.123317,0.106046,-0.129166,0.1552,-0.1552,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-09-20,0.015963,0.980058,0.050596,0.021094,0.016757,0.117705,0.155181,0.123273,0.106027,-0.129152,0.155181,-0.155181,hist250,hist250,ACADEMIC SIMULATION — not actual trades
2022-09-21,0.017203,0.980058,0.054189,0.021124,0.016878,0.126062,0.155396,0.12416,0.106008,-0.129138,0.155396,-0.155396,hist250,hist250,ACADEMIC SIMULATION — not actual trades
