series,dist,block,first_target,sample_end,n_obs,omega_pct2,alpha,beta,persistence,half_life_days,uncond_vol_daily_frac,nu,loglik,converged,boundary_fit
lme,normal,2019-07-20/2019-07-26,2019-07-22,2019-07-19,391,0.2659868,0.20703765,0.6650714,0.87210904,5.0654,0.01442149,,-657.66881661,True,False
lme,normal,2019-07-27/2019-08-02,2019-07-29,2019-07-26,396,0.26147137,0.20427198,0.66860632,0.8728783,5.0982,0.01434175,,-664.18361414,True,False
lme,normal,2019-08-03/2019-08-09,2019-08-05,2019-08-02,401,0.25140942,0.20521974,0.67172931,0.87694905,5.2789,0.01429382,,-669.7127134,True,False
lme,normal,2019-08-10/2019-08-16,2019-08-12,2019-08-09,406,0.23975579,0.20753244,0.67476085,0.88229329,5.535,0.01427197,,-674.95113306,True,False
lme,normal,2019-08-17/2019-08-23,2019-08-19,2019-08-16,411,0.22754127,0.21066143,0.6779285,0.88858992,5.8682,0.01429117,,-680.06646668,True,False
lme,normal,2019-08-24/2019-08-30,2019-08-27,2019-08-23,416,0.21272087,0.21408145,0.68254102,0.89662247,6.3521,0.01434472,,-684.87128294,True,False
lme,normal,2019-08-31/2019-09-06,2019-09-02,2019-08-30,420,0.20561186,0.2128136,0.68686395,0.89967756,6.5565,0.01431611,,-689.38011056,True,False
lme,normal,2019-09-07/2019-09-13,2019-09-09,2019-09-06,425,0.20005058,0.21202273,0.68996769,0.90199042,6.7197,0.01428682,,-695.39729804,True,False
lme,normal,2019-09-14/2019-09-20,2019-09-16,2019-09-13,430,0.19321789,0.21080528,0.69381917,0.90462445,6.9152,0.01423329,,-701.2216296,True,False
lme,normal,2019-09-21/2019-09-27,2019-09-23,2019-09-20,435,0.18731797,0.20786976,0.69843611,0.90630586,7.0457,0.01413948,,-707.17048191,True,False
lme,normal,2019-09-28/2019-10-04,2019-09-30,2019-09-27,440,0.1805587,0.20917919,0.70059984,0.90977903,7.3307,0.01414671,,-712.63499535,True,False
lme,normal,2019-10-05/2019-10-11,2019-10-07,2019-10-04,445,0.16753579,0.21245537,0.70494939,0.91740476,8.0405,0.01424217,,-717.08373587,True,False
lme,normal,2019-10-12/2019-10-18,2019-10-14,2019-10-11,450,0.16351268,0.21108825,0.70811925,0.91920751,8.2279,0.01422624,,-723.0421797,True,False
lme,normal,2019-10-19/2019-10-25,2019-10-21,2019-10-18,455,0.15812447,0.20671395,0.71407179,0.92078574,8.3989,0.01412856,,-729.09064903,True,False
lme,normal,2019-10-26/2019-11-01,2019-10-28,2019-10-25,460,0.1548426,0.20192582,0.71895114,0.92087696,8.409,0.01398923,,-735.43677898,True,False
lme,normal,2019-11-02/2019-11-08,2019-11-04,2019-11-01,465,0.15305947,0.20060242,0.72070661,0.92130903,8.4572,0.01394658,,-741.74092887,True,False
lme,normal,2019-11-09/2019-11-15,2019-11-11,2019-11-08,470,0.15155784,0.19881778,0.72221599,0.92103377,8.4264,0.01385379,,-748.47418959,True,False
lme,normal,2019-11-16/2019-11-22,2019-11-18,2019-11-15,475,0.15422016,0.1963886,0.72290328,0.91929188,8.2369,0.01382331,,-757.18977623,True,False
lme,normal,2019-11-23/2019-11-29,2019-11-25,2019-11-22,480,0.15335617,0.19876515,0.71968566,0.91845082,8.1483,0.01371326,,-762.39637225,True,False
lme,normal,2019-11-30/2019-12-06,2019-12-02,2019-11-29,485,0.15224103,0.19998118,0.71896426,0.91894544,8.2002,0.01370494,,-768.21742545,True,False
lme,normal,2019-12-07/2019-12-13,2019-12-09,2019-12-06,490,0.15095399,0.19569346,0.72278765,0.91848111,8.1514,0.01360796,,-775.28208902,True,False
lme,normal,2019-12-14/2019-12-20,2019-12-16,2019-12-13,495,0.14760092,0.19571154,0.72366514,0.91937668,8.2459,0.01353051,,-780.80213605,True,False
lme,normal,2019-12-21/2019-12-27,2019-12-23,2019-12-20,500,0.13979104,0.20149347,0.72344551,0.92493898,8.8834,0.01364685,,-784.95342173,True,False
lme,normal,2019-12-28/2020-01-03,2019-12-30,2019-12-27,503,0.13643235,0.20024751,0.72643126,0.92667877,9.1026,0.01364092,,-788.06739785,True,False
lme,normal,2020-01-04/2020-01-10,2020-01-06,2020-01-03,507,0.13865594,0.19822838,0.72644346,0.92467184,8.8506,0.01356721,,-793.54319839,True,False
lme,normal,2020-01-11/2020-01-17,2020-01-13,2020-01-10,512,0.14028657,0.19692303,0.72580885,0.92273187,8.6195,0.01347435,,-801.01697159,True,False
lme,normal,2020-01-18/2020-01-24,2020-01-20,2020-01-17,517,0.13850523,0.19999947,0.72333754,0.92333701,8.6903,0.01344127,,-805.96863761,True,False
lme,normal,2020-01-25/2020-01-31,2020-01-27,2020-01-24,522,0.13649162,0.19677397,0.72674003,0.923514,8.7112,0.01335863,,-811.86305726,True,False
lme,normal,2020-02-01/2020-02-07,2020-02-03,2020-01-31,527,0.13358692,0.19493874,0.72959424,0.92453298,8.8337,0.01330465,,-817.96579292,True,False
lme,normal,2020-02-08/2020-02-14,2020-02-10,2020-02-07,532,0.12842863,0.19492364,0.73223995,0.9271636,9.1656,0.01327873,,-822.91518261,True,False
lme,normal,2020-02-15/2020-02-21,2020-02-17,2020-02-14,537,0.12566812,0.19235193,0.73576935,0.92812128,9.2924,0.01322246,,-828.92507991,True,False
lme,normal,2020-02-22/2020-02-28,2020-02-24,2020-02-21,542,0.12331542,0.1886187,0.73982152,0.92844022,9.3354,0.01312726,,-835.05516887,True,False
lme,normal,2020-02-29/2020-03-06,2020-03-02,2020-02-28,547,0.11764373,0.18964924,0.74238649,0.93203573,9.8481,0.01315661,,-839.66122275,True,False
lme,normal,2020-03-07/2020-03-13,2020-03-09,2020-03-06,552,0.12353294,0.19064903,0.73808037,0.9287294,9.3747,0.01316546,,-848.1716215,True,False
lme,normal,2020-03-14/2020-03-20,2020-03-16,2020-03-13,557,0.13306796,0.20825337,0.72010267,0.92835603,9.324,0.01362846,,-860.35744147,True,False
lme,normal,2020-03-21/2020-03-27,2020-03-23,2020-03-20,562,0.13531444,0.20652299,0.71873955,0.92526254,8.9234,0.01345559,,-869.20389855,True,False
lme,normal,2020-03-28/2020-04-03,2020-03-30,2020-03-27,567,0.12950808,0.20026792,0.72829357,0.92856148,9.3519,0.01346425,,-878.66707145,True,False
lme,normal,2020-04-04/2020-04-10,2020-04-06,2020-04-03,572,0.13005429,0.19825942,0.7287692,0.92702862,9.1479,0.01335015,,-886.00278359,True,False
lme,normal,2020-04-11/2020-04-17,2020-04-14,2020-04-09,576,0.12853479,0.20085222,0.72995994,0.93081216,9.6676,0.01362999,,-895.08697915,True,False
lme,normal,2020-04-18/2020-04-24,2020-04-20,2020-04-17,580,0.13102642,0.19974641,0.72789651,0.92764291,9.2286,0.01345671,,-901.36651721,True,False
lme,normal,2020-04-25/2020-05-01,2020-04-27,2020-04-24,585,0.12835651,0.19558536,0.73288927,0.92847463,9.3401,0.01339612,,-909.50266093,True,False
lme,normal,2020-05-02/2020-05-08,2020-05-04,2020-05-01,590,0.13273421,0.19823996,0.72658813,0.92482809,8.8697,0.01328812,,-915.42973776,True,False
lme,normal,2020-05-09/2020-05-15,2020-05-11,2020-05-07,594,0.13011707,0.19930176,0.72645971,0.92576147,8.9857,0.01323892,,-919.05228587,True,False
lme,normal,2020-05-16/2020-05-22,2020-05-18,2020-05-15,599,0.12417732,0.20143075,0.72831734,0.9297481,9.5158,0.01329511,,-923.39054433,True,False
lme,normal,2020-05-23/2020-05-29,2020-05-26,2020-05-22,604,0.13476858,0.20392445,0.72001067,0.92393511,8.7614,0.01331074,,-933.01491827,True,False
lme,normal,2020-05-30/2020-06-05,2020-06-01,2020-05-29,608,0.13387743,0.20106159,0.72204482,0.92310642,8.6632,0.01319498,,-938.56846778,True,False
lme,normal,2020-06-06/2020-06-12,2020-06-08,2020-06-05,613,0.13326522,0.19879409,0.72423872,0.92303281,8.6546,0.01315848,,-946.13329401,True,False
lme,normal,2020-06-13/2020-06-19,2020-06-15,2020-06-12,618,0.13246589,0.19772555,0.72823476,0.92596031,9.0108,0.0133758,,-957.70470551,True,False
lme,normal,2020-06-20/2020-06-26,2020-06-22,2020-06-19,623,0.13519409,0.19539373,0.72651304,0.92190677,8.5246,0.01315746,,-965.18169854,True,False
lme,normal,2020-06-27/2020-07-03,2020-06-29,2020-06-26,628,0.13903554,0.19921659,0.72178199,0.92099858,8.4225,0.01326617,,-973.92584866,True,False
lme,normal,2020-07-04/2020-07-10,2020-07-06,2020-07-03,633,0.13810238,0.19440057,0.7249128,0.91931337,8.2392,0.01308277,,-980.72656925,True,False
lme,normal,2020-07-11/2020-07-17,2020-07-13,2020-07-10,638,0.13928977,0.19551808,0.72434902,0.9198671,8.2986,0.01318421,,-990.03028961,True,False
lme,normal,2020-07-18/2020-07-24,2020-07-20,2020-07-17,643,0.13953492,0.19383063,0.72491049,0.91874112,8.1786,0.01310406,,-998.18269445,True,False
lme,normal,2020-07-25/2020-07-31,2020-07-27,2020-07-24,648,0.14081888,0.19316976,0.72335303,0.9165228,7.9518,0.01298813,,-1004.69087636,True,False
lme,normal,2020-08-01/2020-08-07,2020-08-03,2020-07-31,653,0.1409434,0.1960552,0.71987676,0.91593196,7.8934,0.01294813,,-1009.88789742,True,False
lme,normal,2020-08-08/2020-08-14,2020-08-10,2020-08-07,658,0.14571342,0.19476994,0.71838149,0.91315142,7.6293,0.01295294,,-1019.02200295,True,False
lme,normal,2020-08-15/2020-08-21,2020-08-17,2020-08-14,663,0.14506035,0.19280426,0.71927572,0.91207998,7.5319,0.01284489,,-1025.43345551,True,False
lme,normal,2020-08-22/2020-08-28,2020-08-24,2020-08-21,668,0.14655933,0.19220854,0.71891724,0.91112578,7.4472,0.01284159,,-1032.90515968,True,False
lme,normal,2020-08-29/2020-09-04,2020-09-01,2020-08-28,673,0.14420332,0.18824229,0.72287762,0.91111992,7.4467,0.01273754,,-1039.1056367,True,False
lme,normal,2020-09-05/2020-09-11,2020-09-07,2020-09-04,677,0.1437659,0.18567156,0.72562611,0.91129767,7.4624,0.01273094,,-1045.78268133,True,False
lme,normal,2020-09-12/2020-09-18,2020-09-14,2020-09-11,682,0.14305034,0.18521873,0.72517706,0.91039579,7.3837,0.01263515,,-1051.3555867,True,False
lme,normal,2020-09-19/2020-09-25,2020-09-21,2020-09-18,687,0.1410251,0.18557793,0.72570871,0.91128664,7.4614,0.01260822,,-1056.77339166,True,False
lme,normal,2020-09-26/2020-10-02,2020-09-28,2020-09-25,692,0.14206861,0.18491011,0.72550396,0.91041407,7.3852,0.012593,,-1063.76762677,True,False
lme,normal,2020-10-03/2020-10-09,2020-10-05,2020-10-02,697,0.14175433,0.18350415,0.72665184,0.91015599,7.363,0.01256098,,-1071.13174235,True,False
lme,normal,2020-10-10/2020-10-16,2020-10-12,2020-10-09,702,0.14102057,0.18227971,0.72969409,0.91197381,7.5224,0.01265713,,-1081.36712748,True,False
lme,normal,2020-10-17/2020-10-23,2020-10-19,2020-10-16,707,0.13835394,0.17832397,0.73516136,0.91348533,7.6601,0.01264593,,-1089.94097408,True,False
lme,normal,2020-10-24/2020-10-30,2020-10-26,2020-10-23,712,0.13909749,0.17647948,0.73498186,0.91146133,7.4768,0.0125341,,-1096.82101677,True,False
lme,normal,2020-10-31/2020-11-06,2020-11-02,2020-10-30,717,0.14144614,0.17692999,0.73297507,0.90990506,7.3415,0.01252983,,-1104.2047893,True,False
lme,normal,2020-11-07/2020-11-13,2020-11-09,2020-11-06,722,0.14360375,0.17700887,0.73209827,0.90910715,7.2739,0.0125695,,-1114.20378308,True,False
lme,normal,2020-11-14/2020-11-20,2020-11-16,2020-11-13,727,0.14361602,0.17612771,0.73249967,0.90862738,7.2338,0.01253699,,-1122.05460457,True,False
lme,normal,2020-11-21/2020-11-27,2020-11-23,2020-11-20,732,0.14306045,0.1742162,0.73389895,0.90811515,7.1915,0.01247779,,-1128.93597566,True,False
lme,normal,2020-11-28/2020-12-04,2020-11-30,2020-11-27,737,0.14401739,0.178038,0.72898368,0.90702168,7.1027,0.01244562,,-1133.87238397,True,False
lme,normal,2020-12-05/2020-12-11,2020-12-07,2020-12-04,742,0.14639931,0.17308346,0.73176557,0.90484903,6.9324,0.01240403,,-1142.93837913,True,False
lme,normal,2020-12-12/2020-12-18,2020-12-14,2020-12-11,747,0.14584081,0.17230309,0.73252672,0.90482981,6.9309,0.0123791,,-1150.05570289,True,False
lme,normal,2020-12-19/2020-12-25,2020-12-21,2020-12-18,752,0.14526621,0.17196389,0.7326379,0.90460179,6.9135,0.01233992,,-1156.33113928,True,False
lme,normal,2020-12-26/2021-01-01,2020-12-29,2020-12-24,756,0.14527484,0.17029605,0.73429735,0.90459341,6.9128,0.01233974,,-1162.98179549,True,False
lme,normal,2021-01-02/2021-01-08,2021-01-04,2020-12-31,759,0.14468776,0.16959728,0.73489205,0.90448933,6.9049,0.01230807,,-1166.85046745,True,False
lme,normal,2021-01-09/2021-01-15,2021-01-11,2021-01-08,764,0.1476257,0.17380042,0.73109946,0.90489987,6.9363,0.01245921,,-1177.74076291,True,False
lme,normal,2021-01-16/2021-01-22,2021-01-18,2021-01-15,769,0.1508549,0.17291035,0.7279776,0.90088795,6.641,0.0123372,,-1184.38859107,True,False
lme,normal,2021-01-23/2021-01-29,2021-01-25,2021-01-22,774,0.1500123,0.17195963,0.72939614,0.90135577,6.6742,0.01233183,,-1192.04315171,True,False
lme,normal,2021-01-30/2021-02-05,2021-02-01,2021-01-29,779,0.14894288,0.17034144,0.73150964,0.90185108,6.7097,0.01231876,,-1199.96410995,True,False
lme,normal,2021-02-06/2021-02-12,2021-02-08,2021-02-05,784,0.14822567,0.16885537,0.73304381,0.90189919,6.7131,0.01229208,,-1207.05205549,True,False
lme,normal,2021-02-13/2021-02-19,2021-02-15,2021-02-12,789,0.14723461,0.16789953,0.73388452,0.90178405,6.7048,0.01224374,,-1213.44860986,True,False
lme,normal,2021-02-20/2021-02-26,2021-02-22,2021-02-19,794,0.15049623,0.16570957,0.73383838,0.89954795,6.5476,0.01224006,,-1221.96582894,True,False
lme,normal,2021-02-27/2021-03-05,2021-03-01,2021-02-26,799,0.14626584,0.15987068,0.74418641,0.90405709,6.8722,0.0123471,,-1234.0306101,True,False
lme,normal,2021-03-06/2021-03-12,2021-03-08,2021-03-05,804,0.14736558,0.15963335,0.74327529,0.90290864,6.7867,0.01231992,,-1242.94681255,True,False
lme,normal,2021-03-13/2021-03-19,2021-03-15,2021-03-12,809,0.15231483,0.16126561,0.73722606,0.89849167,6.4757,0.01224955,,-1249.78330061,True,False
lme,normal,2021-03-20/2021-03-26,2021-03-22,2021-03-19,814,0.14808329,0.15692334,0.74408882,0.90101216,6.6498,0.012231,,-1257.86350046,True,False
lme,normal,2021-03-27/2021-04-02,2021-03-29,2021-03-26,819,0.13896849,0.15172942,0.75778315,0.90951258,7.3081,0.01239265,,-1270.74635568,True,False
lme,normal,2021-04-03/2021-04-09,2021-04-06,2021-04-01,823,0.14102741,0.15014841,0.75663279,0.9067812,7.0835,0.01229986,,-1276.45829178,True,False
lme,normal,2021-04-10/2021-04-16,2021-04-12,2021-04-09,827,0.14082099,0.1495251,0.75711043,0.90663553,7.0719,0.01228126,,-1282.51720381,True,False
lme,normal,2021-04-17/2021-04-23,2021-04-19,2021-04-16,832,0.14176423,0.14975519,0.75584271,0.90559791,6.9902,0.01225441,,-1289.41667027,True,False
lme,normal,2021-04-24/2021-04-30,2021-04-26,2021-04-23,837,0.14106043,0.14913594,0.75636289,0.90549882,6.9825,0.01221755,,-1295.83575778,True,False
lme,normal,2021-05-01/2021-05-07,2021-05-04,2021-04-30,842,0.14004536,0.14742946,0.75823219,0.90566166,6.9952,0.01218401,,-1302.30103175,True,False
lme,normal,2021-05-08/2021-05-14,2021-05-10,2021-05-07,846,0.14116829,0.14783505,0.75723126,0.90506631,6.949,0.01219434,,-1308.35503493,True,False
lme,normal,2021-05-15/2021-05-21,2021-05-17,2021-05-14,851,0.14664407,0.15376896,0.74978983,0.90355879,6.8348,0.01233107,,-1319.88441048,True,False
lme,normal,2021-05-22/2021-05-28,2021-05-24,2021-05-21,856,0.14291507,0.14986148,0.7557757,0.90563717,6.9933,0.01230661,,-1328.7472801,True,False
lme,normal,2021-05-29/2021-06-04,2021-06-01,2021-05-28,861,0.13191114,0.14632226,0.76891978,0.91524205,7.8263,0.01247529,,-1341.6658661,True,False
lme,normal,2021-06-05/2021-06-11,2021-06-07,2021-06-04,865,0.12823014,0.14539655,0.77290528,0.91830184,8.1327,0.01252821,,-1349.8627977,True,False
lme,normal,2021-06-12/2021-06-18,2021-06-14,2021-06-11,870,0.13514117,0.14693762,0.7653799,0.91231752,7.5533,0.01241473,,-1356.57049897,True,False
lme,normal,2021-06-19/2021-06-25,2021-06-21,2021-06-18,875,0.13194056,0.14481625,0.77028207,0.91509832,7.8124,0.01246611,,-1365.78575215,True,False
lme,normal,2021-06-26/2021-07-02,2021-06-28,2021-06-25,880,0.12997197,0.14210621,0.77400995,0.91611616,7.9115,0.0124476,,-1374.03593354,True,False
lme,normal,2021-07-03/2021-07-09,2021-07-05,2021-07-02,885,0.12841719,0.1414788,0.77615262,0.91763141,8.0637,0.01248621,,-1383.51421247,True,False
lme,normal,2021-07-10/2021-07-16,2021-07-12,2021-07-09,890,0.12401582,0.13877602,0.78242819,0.92120421,8.4454,0.01254547,,-1393.56246863,True,False
lme,normal,2021-07-17/2021-07-23,2021-07-19,2021-07-16,895,0.1259419,0.13746364,0.78127312,0.91873676,8.1782,0.0124491,,-1400.78125617,True,False
lme,normal,2021-07-24/2021-07-30,2021-07-26,2021-07-23,900,0.11920979,0.13284426,0.79082735,0.92367161,8.73,0.01249721,,-1410.66727082,True,False
lme,normal,2021-07-31/2021-08-06,2021-08-02,2021-07-30,905,0.11899405,0.13291074,0.79147326,0.924384,8.8156,0.01254457,,-1419.81130445,True,False
lme,normal,2021-08-07/2021-08-13,2021-08-09,2021-08-06,910,0.118629,0.13092575,0.79289365,0.92381941,8.7476,0.01247881,,-1427.32087394,True,False
lme,normal,2021-08-14/2021-08-20,2021-08-16,2021-08-13,915,0.11733714,0.12961909,0.79519178,0.92481087,8.8676,0.01249224,,-1436.59534144,True,False
lme,normal,2021-08-21/2021-08-27,2021-08-23,2021-08-20,920,0.11595018,0.12904887,0.79698273,0.9260316,9.0198,0.01252024,,-1445.4554675,True,False
lme,normal,2021-08-28/2021-09-03,2021-08-31,2021-08-27,925,0.11602416,0.12853577,0.7972064,0.92574217,8.9833,0.0124998,,-1453.45710177,True,False
lme,normal,2021-09-04/2021-09-10,2021-09-06,2021-09-03,929,0.11580497,0.12818955,0.79764542,0.92583497,8.995,0.0124958,,-1460.08637442,True,False
lme,normal,2021-09-11/2021-09-17,2021-09-13,2021-09-10,934,0.11438869,0.12939802,0.79873131,0.92812933,9.2935,0.01261583,,-1470.62602275,True,False
lme,normal,2021-09-18/2021-09-24,2021-09-20,2021-09-17,939,0.11547409,0.13237997,0.79605109,0.92843106,9.3342,0.01270223,,-1481.6342213,True,False
lme,normal,2021-09-25/2021-10-01,2021-09-27,2021-09-24,944,0.11580718,0.13190147,0.79607027,0.92797175,9.2724,0.01267991,,-1490.68827175,True,False
lme,normal,2021-10-02/2021-10-08,2021-10-04,2021-10-01,949,0.1160373,0.13032645,0.79693721,0.92726365,9.1786,0.01263057,,-1498.55370788,True,False
lme,normal,2021-10-09/2021-10-15,2021-10-11,2021-10-08,954,0.11890682,0.13130859,0.7933945,0.92470309,8.8544,0.01256651,,-1504.97797674,True,False
lme,normal,2021-10-16/2021-10-22,2021-10-18,2021-10-15,959,0.10667274,0.12126407,0.81299919,0.93426326,10.1938,0.01273863,,-1520.03278982,True,False
lme,normal,2021-10-23/2021-10-29,2021-10-25,2021-10-22,964,0.09967929,0.11983447,0.82022468,0.94005914,11.2137,0.01289558,,-1531.74188471,True,False
lme,normal,2021-10-30/2021-11-05,2021-11-01,2021-10-29,969,0.09727117,0.12340504,0.81995788,0.94336292,11.8885,0.01310514,,-1544.55448478,True,False
lme,normal,2021-11-06/2021-11-12,2021-11-08,2021-11-05,974,0.08412385,0.12371885,0.83086872,0.95458757,14.9141,0.01361044,,-1559.15426349,True,False
lme,normal,2021-11-13/2021-11-19,2021-11-15,2021-11-12,979,0.08340028,0.12149054,0.83299502,0.95448556,14.8799,0.01353659,,-1570.16002914,True,False
lme,normal,2021-11-20/2021-11-26,2021-11-22,2021-11-19,984,0.08734718,0.12117176,0.82994587,0.95111763,13.8304,0.01336744,,-1579.34255164,True,False
lme,normal,2021-11-27/2021-12-03,2021-11-29,2021-11-26,989,0.07414879,0.11488137,0.8455059,0.96038727,17.1492,0.01368153,,-1591.78886479,True,False
lme,normal,2021-12-04/2021-12-10,2021-12-06,2021-12-03,994,0.07759802,0.11358931,0.84346928,0.95705859,15.7926,0.01344272,,-1600.03644615,True,False
lme,normal,2021-12-11/2021-12-17,2021-12-13,2021-12-10,999,0.08310875,0.11594094,0.83709385,0.9530348,14.4094,0.01330256,,-1607.42977696,True,False
lme,normal,2021-12-18/2021-12-24,2021-12-20,2021-12-17,1004,0.07801797,0.11360563,0.8432323,0.95683792,15.71,0.01344455,,-1617.9383105,True,False
lme,normal,2021-12-25/2021-12-31,2021-12-29,2021-12-24,1009,0.07599234,0.11547396,0.84391455,0.95938852,16.7188,0.01367919,,-1630.27254429,True,False
lme,normal,2022-01-01/2022-01-07,2022-01-04,2021-12-31,1012,0.07756235,0.11440608,0.84327273,0.95767881,16.0292,0.01353775,,-1634.78806321,True,False
lme,normal,2022-01-08/2022-01-14,2022-01-10,2022-01-07,1016,0.07849388,0.11436779,0.84247735,0.95684513,15.7127,0.01348662,,-1641.41885744,True,False
lme,normal,2022-01-15/2022-01-21,2022-01-17,2022-01-14,1021,0.07940398,0.11440304,0.84163451,0.95603755,15.4176,0.01343941,,-1649.34442597,True,False
lme,normal,2022-01-22/2022-01-28,2022-01-24,2022-01-21,1026,0.07818013,0.11304843,0.84374992,0.95679835,15.6953,0.01345235,,-1658.07528167,True,False
lme,normal,2022-01-29/2022-02-04,2022-01-31,2022-01-28,1031,0.07948088,0.11324483,0.84218359,0.95542842,15.2021,0.01335372,,-1664.66663918,True,False
lme,normal,2022-02-05/2022-02-11,2022-02-07,2022-02-04,1036,0.08035183,0.1142354,0.8404362,0.9546716,14.9424,0.01331413,,-1671.05173929,True,False
lme,normal,2022-02-12/2022-02-18,2022-02-14,2022-02-11,1041,0.08403012,0.11998498,0.83498767,0.95497265,15.0447,0.0136609,,-1685.66393636,True,False
