obs_id,buyer_id,quarter,latent_weakness,utilisation_frac,dpd_max_days,history_months,order_concentration_frac,true_pd_12m_frac,default_12m,split,label
OBS_00016,SYN_0016,1,-0.27802157,0.59893818,0.0,32.97371603,0.09818002,0.02306167,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00017,SYN_0017,1,-1.46600943,0.56361253,0.0,20.54861286,0.08205992,0.02617162,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00018,SYN_0018,1,0.30223133,0.55356078,8.0,12.87007447,0.36032776,0.05825415,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00019,SYN_0019,1,0.97550901,0.89409932,0.0,12.74129033,0.20269041,0.07140368,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00020,SYN_0020,1,-0.07126457,0.60990622,54.0,90.32985169,0.2823066,0.08774531,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00021,SYN_0021,1,-0.47004256,0.14172753,6.0,30.01648064,0.22257266,0.01346156,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00022,SYN_0022,1,0.72005378,0.71457588,2.0,167.33009125,0.19518158,0.00311022,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00023,SYN_0023,1,1.96947148,0.87392404,0.0,31.43242006,0.34867606,0.05986794,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00024,SYN_0024,1,-0.07803987,0.44417317,0.0,45.44372571,0.05283574,0.01228692,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00025,SYN_0025,1,-0.9825838,0.2085828,0.0,16.59711884,0.0561035,0.01247366,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00026,SYN_0026,1,-0.36531372,0.37287522,17.0,6.77169099,0.03514323,0.04061041,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00027,SYN_0027,1,-0.23075649,0.45360973,11.0,37.54473094,0.16867741,0.02631364,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00028,SYN_0028,1,-0.84436642,0.50335796,0.0,31.21495466,0.05211569,0.01814216,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00029,SYN_0029,1,-0.08521626,0.09024053,22.0,43.75249817,0.1338271,0.01567379,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00030,SYN_0030,1,-2.27601856,0.0,0.0,44.56317016,0.16560761,0.00546444,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00031,SYN_0031,1,-0.09532461,0.63919213,4.0,46.08173989,0.36961454,0.0336138,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00032,SYN_0032,1,0.80086581,0.97322432,3.0,54.92429234,0.31987311,0.05276239,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00033,SYN_0033,1,-0.05785585,0.70678,2.0,48.9028395,0.10976304,0.02402049,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00034,SYN_0034,1,1.00254809,0.57855422,24.0,23.30317772,0.10163662,0.06698434,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00035,SYN_0035,1,0.49378487,0.75325616,0.0,24.90395385,0.19390184,0.04236847,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00036,SYN_0036,1,1.23519406,0.9422997,4.0,40.84650281,0.34306525,0.06773483,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00037,SYN_0037,1,0.32137738,0.1257148,0.0,73.64789944,0.04253931,0.00355325,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00038,SYN_0038,1,0.55070096,0.1098994,11.0,33.99975598,0.13647236,0.01265384,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00039,SYN_0039,1,-0.42985911,0.48425812,0.0,28.5131089,0.27806395,0.02489697,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00040,SYN_0040,1,0.83663492,0.83761816,0.0,14.21545906,0.14536236,0.05738396,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00041,SYN_0041,1,0.68442088,0.67133733,32.0,20.56143005,0.24449801,0.13564973,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00042,SYN_0042,1,0.1464648,0.7052602,47.0,50.26461822,0.10574948,0.12850247,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00043,SYN_0043,1,-1.0859714,0.23574383,0.0,34.29990455,0.15447772,0.01095792,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00044,SYN_0044,1,0.36837233,0.41733743,0.0,54.39649219,0.15494489,0.01131206,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00045,SYN_0045,1,-1.86610343,0.26899694,2.0,77.27187211,0.02996632,0.00486663,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00046,SYN_0046,1,0.13986389,0.9235507,0.0,35.68660131,0.02688311,0.04023341,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00047,SYN_0047,1,-0.09740044,0.636308,0.0,69.50902849,0.38330206,0.01900704,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00048,SYN_0048,1,-0.26983995,0.30814525,1.0,26.61549441,0.15481818,0.01541015,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00049,SYN_0049,1,-0.5594288,0.6857391,0.0,20.75931869,0.09260207,0.03444876,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00050,SYN_0050,1,0.81076185,0.55283472,30.0,56.60839078,0.15903906,0.04800891,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00051,SYN_0051,1,-1.06873881,0.30885277,12.0,13.54361419,0.07072404,0.02701268,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00052,SYN_0052,1,-0.55669468,0.20171811,0.0,38.44889348,0.20962371,0.01016408,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00053,SYN_0053,1,1.09453646,0.5696432,14.0,29.56345437,0.36764065,0.057111,1,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00054,SYN_0054,1,0.0121293,0.87725603,0.0,29.30540414,0.27984285,0.0571572,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00055,SYN_0055,1,0.49968091,0.66729528,8.0,4.42868836,0.08097856,0.05937995,1,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00056,SYN_0056,1,-0.62697615,0.59768511,6.0,171.79281519,0.05979923,0.00214859,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00057,SYN_0057,1,-0.74126557,0.03627495,0.0,35.31287302,0.21006168,0.00747322,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00058,SYN_0058,1,-0.18296089,0.26219297,0.0,10.7906728,0.14313651,0.01759577,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00059,SYN_0059,1,-0.51890921,0.56142395,0.0,27.52298185,0.02770591,0.02130872,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00060,SYN_0060,1,0.96599433,0.69009835,0.0,24.37791274,0.08735372,0.03235418,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00061,SYN_0061,1,0.07253762,0.41190178,0.0,26.93398776,0.17946116,0.01912028,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00062,SYN_0062,1,-1.70174319,0.19851422,0.0,107.61368637,0.00953682,0.00212551,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00063,SYN_0063,1,0.14020627,0.6144185,20.0,29.1998468,0.06049931,0.05298706,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00064,SYN_0064,1,1.31423555,0.49185536,9.0,20.22738466,0.34696739,0.04584547,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00065,SYN_0065,1,-0.35156418,0.35713958,0.0,26.9679874,0.1614904,0.01653428,1,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00066,SYN_0066,1,-1.39096964,0.0,0.0,18.92774173,0.06846744,0.0076674,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00067,SYN_0067,1,0.10262531,0.39125724,0.0,18.19854692,0.10527976,0.0193598,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00068,SYN_0068,1,-0.83767937,0.0,1.0,23.03023885,0.03717611,0.00708577,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00069,SYN_0069,1,-1.66388886,0.41516404,0.0,71.44924774,0.01977161,0.00681778,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00070,SYN_0070,1,1.27249463,0.23423015,20.0,16.29803781,0.30565412,0.04112736,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00071,SYN_0071,1,-0.41377738,0.4552075,0.0,80.84702704,0.03307174,0.00637997,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00072,SYN_0072,1,-1.04110556,0.0,0.0,47.97706296,0.13574458,0.00492137,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00073,SYN_0073,1,0.07431996,0.40009015,0.0,16.080667,0.14488217,0.02165629,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00074,SYN_0074,1,2.03693342,0.8571852,0.0,7.15804753,0.76703931,0.14740143,1,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00075,SYN_0075,1,-1.71890001,0.0,0.0,57.7562274,0.09452035,0.00387744,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00076,SYN_0076,1,0.86386125,0.68340918,1.0,66.33394595,0.08730508,0.01547771,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00077,SYN_0077,1,0.62471848,0.48831916,0.0,57.98609355,0.15533442,0.01239092,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00078,SYN_0078,1,-0.41777354,0.87312046,0.0,27.30124116,0.09482845,0.04592931,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00079,SYN_0079,1,-0.8249881,0.55571013,2.0,14.59285829,0.05319895,0.02980885,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00080,SYN_0080,1,-0.82527742,0.29358151,0.0,82.7467821,0.13531807,0.0049605,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00081,SYN_0081,1,0.01960765,0.40687633,0.0,34.52841515,0.03703784,0.01353047,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00082,SYN_0082,1,-0.81612067,0.41817196,0.0,86.64711806,0.37875216,0.00853034,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00083,SYN_0083,1,0.47134961,0.68396884,8.0,18.27218011,0.05107347,0.04632697,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00084,SYN_0084,1,0.18557703,0.34097146,32.0,23.6501433,0.04343408,0.0508089,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00085,SYN_0085,1,1.38280953,0.71691999,10.0,18.83238614,0.19529028,0.06423404,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00086,SYN_0086,1,-0.48430854,0.43807148,11.0,37.75317445,0.18596868,0.02594766,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00087,SYN_0087,1,-0.88423445,0.0655755,0.0,51.10641257,0.06404203,0.00486259,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00088,SYN_0088,1,-0.91107941,0.0,21.0,35.18159466,0.02143868,0.01237557,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00089,SYN_0089,1,1.41667837,0.78072588,34.0,7.83923397,0.41603492,0.25914845,1,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00090,SYN_0090,1,-0.48491164,0.34549862,0.0,32.73431732,0.06917032,0.01276907,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00091,SYN_0091,1,-0.63335528,0.31203482,0.0,152.46156854,0.16929004,0.00148777,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00092,SYN_0092,1,-0.85283985,0.34984497,0.0,21.68473951,0.14509148,0.01752235,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00093,SYN_0093,1,0.15902739,0.44887462,0.0,36.7068191,0.22530001,0.01847187,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00094,SYN_0094,1,1.29951612,0.53417574,0.0,14.4335361,0.38693761,0.04139055,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00095,SYN_0095,1,-0.02719441,0.34365262,0.0,69.77687372,0.19624892,0.00766644,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00096,SYN_0096,1,0.86761943,0.82345234,21.0,94.41993982,0.28281073,0.03632132,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00097,SYN_0097,1,-2.50165834,0.13910267,0.0,54.9786855,0.13198276,0.00585673,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00098,SYN_0098,1,0.25887029,0.77840493,0.0,14.21312643,0.06050384,0.04523556,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00099,SYN_0099,1,-1.09117763,0.37569925,0.0,56.07709227,0.16899862,0.01020085,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00100,SYN_0100,1,0.56338105,0.33826901,7.0,12.0784562,0.06369849,0.02403934,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00101,SYN_0101,1,-0.91626492,0.39321845,0.0,78.19508495,0.18128317,0.00717423,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00102,SYN_0102,1,0.30186271,0.52036915,0.0,82.30339152,0.08279365,0.007688,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00103,SYN_0103,1,0.25907537,0.59391976,0.0,43.29512877,0.27601604,0.02410743,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00104,SYN_0104,1,1.3946512,0.46575925,15.0,9.01624916,0.15758281,0.0518226,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00105,SYN_0105,1,-1.22581875,0.26298821,0.0,71.86968384,0.04480842,0.00499765,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00106,SYN_0106,1,0.42329866,0.59734879,2.0,10.72119746,0.09018419,0.03675307,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00107,SYN_0107,1,-0.38557122,0.5932611,0.0,15.92148961,0.04817121,0.02898055,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00108,SYN_0108,1,-0.80565117,0.23107667,3.0,121.68206024,0.16876241,0.00248156,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00109,SYN_0109,1,-0.72202887,0.66442053,0.0,45.03557753,0.20494485,0.02471766,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00110,SYN_0110,1,-0.55046035,0.29135497,9.0,11.90724952,0.08698357,0.02432568,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00111,SYN_0111,1,1.54362585,0.51788627,9.0,20.3273462,0.28165955,0.04433651,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00112,SYN_0112,1,1.62246793,0.99207478,3.0,22.72095237,0.22451669,0.08470055,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00113,SYN_0113,1,1.77187954,0.5460956,26.0,91.28267076,0.11512408,0.02042122,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00114,SYN_0114,1,-0.03266269,0.75663436,35.0,47.47722417,0.16558343,0.10426327,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00115,SYN_0115,1,2.32808883,1.0308877,29.0,49.05048752,0.1586287,0.13931355,1,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00116,SYN_0116,1,-0.9778709,0.28894007,0.0,47.23555855,0.17980891,0.01005968,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00117,SYN_0117,1,-0.34703694,0.4709601,0.0,54.93495245,0.07983466,0.01136438,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00118,SYN_0118,1,-0.63690759,0.52637905,0.0,31.36231007,0.12779295,0.02110715,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00119,SYN_0119,1,-0.45745896,0.28816111,0.0,28.28438325,0.2489584,0.01564554,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00120,SYN_0120,1,1.24440755,0.83993284,11.0,3.75332669,0.12825046,0.10182704,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00121,SYN_0121,1,0.73960094,0.60307066,15.0,36.61754352,0.1161214,0.04025184,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00122,SYN_0122,1,0.04575775,0.96422448,0.0,12.66051945,0.18441563,0.08069924,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00123,SYN_0123,1,-0.93290997,0.40867547,0.0,48.20094026,0.07820856,0.01118562,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00124,SYN_0124,1,-2.94672687,0.02086862,0.0,32.0862325,0.00700999,0.00578265,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00125,SYN_0125,1,0.37024902,0.94472083,16.0,16.56913596,0.0677792,0.11270974,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00126,SYN_0126,1,0.07857278,0.34460376,0.0,70.88037011,0.07181944,0.00633374,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00127,SYN_0127,1,-0.19717868,0.40164661,0.0,29.94178544,0.13080913,0.01655274,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00128,SYN_0128,1,0.04631254,0.39293882,44.0,28.95770656,0.06790437,0.0839758,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00129,SYN_0129,1,0.29309909,0.44471663,0.0,15.90826265,0.19814038,0.02574724,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00130,SYN_0130,1,-0.53679739,0.62725813,0.0,36.60620237,0.0567729,0.0217006,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00131,SYN_0131,1,0.66184337,0.36089146,18.0,29.87604052,0.30780495,0.03927794,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00132,SYN_0132,1,-1.39073308,0.29429572,0.0,37.78506041,0.0685203,0.0103849,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00133,SYN_0133,1,0.97004107,0.9100647,24.0,11.32900843,0.31055841,0.20107928,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00134,SYN_0134,1,-1.9720333,0.17875633,0.0,16.81387042,0.07499264,0.01194093,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00135,SYN_0135,1,-0.72506868,0.34206085,0.0,49.46444476,0.08310042,0.00949752,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00136,SYN_0136,1,-0.4578526,0.52481697,0.0,62.39835729,0.09489156,0.0113918,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00137,SYN_0137,1,-0.86960009,0.0485424,20.0,20.46715142,0.03544562,0.01766045,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00138,SYN_0138,1,-1.14139904,0.0,0.0,180.0,0.13840485,0.00042605,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00139,SYN_0139,1,-1.1460392,0.26998428,0.0,42.40433589,0.02997942,0.0085692,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00140,SYN_0140,1,-0.87423002,0.65997613,0.0,24.57397365,0.06533021,0.02931892,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00141,SYN_0141,1,1.17198965,0.81863049,13.0,18.56522198,0.62844808,0.15188734,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00142,SYN_0142,1,-0.29698273,0.48995257,0.0,32.6764006,0.05029017,0.01710975,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00143,SYN_0143,1,-0.52709029,0.35043619,0.0,32.17120777,0.1085196,0.01377005,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00144,SYN_0144,1,0.77969094,0.84689883,0.0,37.25049923,0.39373813,0.05419778,1,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00145,SYN_0145,1,-1.93044212,0.31824631,0.0,74.98789552,0.10226187,0.00577653,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00146,SYN_0146,1,-0.77102685,0.34821583,0.0,14.38827219,0.06133106,0.01778209,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
