date,in_window,trade_id,new_deal,lme_flat,cross_exchange_basis,grade_spread,freight,fx,demurrage_penalty,roll_term_structure,residual,daily_pnl_inr,cum_pnl_inr,usdinr,fx_delta_usd,fx_delta_physical_usd,fx_delta_forwards_usd,event
2022-05-03,True,BOOK,0.0,-6311154.83,0.0,3672995.57,0.0,358495.2,0.0,1304107.02,0.0,-975557.04,175986754.27,76.5839,4665849.4,946959.73,6043090.48,E2_INR_DEPRECIATION
2022-05-04,True,BOOK,0.0,940928.77,0.0,933985.82,0.0,-1100339.23,0.0,106707.98,-0.0,881283.35,176868037.61,76.3493,4694121.7,988053.6,6044651.68,E2_INR_DEPRECIATION
2022-05-05,True,BOOK,0.0,-682085.16,0.0,927750.44,0.0,-299658.16,0.0,-384924.02,0.0,-438916.9,176429120.71,76.2855,4638101.08,2561013.31,4405789.22,E2_INR_DEPRECIATION
2022-05-06,True,BOOK,0.0,-5068314.95,0.0,899377.66,0.0,2903545.69,0.0,354187.01,-0.0,-911204.58,175517916.13,76.9139,4589256.08,2444883.83,4405323.29,E2_INR_DEPRECIATION
2022-05-09,True,BOOK,4467672.11,-7930001.74,0.0,2608503.13,0.0,2259719.23,0.0,-143525.38,-0.0,1262367.35,176780283.48,77.4141,2691746.69,449355.88,4403566.35,E2_INR_DEPRECIATION
2022-05-10,True,BOOK,428274.08,-465056.75,0.0,519901.0,0.0,-408819.98,0.0,-1805995.91,-0.0,-1731697.56,175048585.92,77.2622,5244204.41,522358.12,7962519.96,E2_INR_DEPRECIATION
2022-05-11,True,BOOK,0.0,4119511.35,0.0,1076029.8,0.0,-207662.76,0.0,-497728.3,0.0,4490150.09,179538736.01,77.2231,5310623.0,661114.86,7961602.73,E2_INR_DEPRECIATION
2022-05-12,True,BOOK,0.0,-3525164.5,0.0,1055337.57,0.0,1486908.66,0.0,-234446.87,0.0,-1217365.14,178321370.88,77.5048,5280486.06,2090740.03,6442123.98,E2_INR_DEPRECIATION
2022-05-13,True,BOOK,0.0,2642893.64,0.0,1072644.55,0.0,-293571.3,0.0,-1150399.24,-0.0,2271567.65,180592938.53,77.4497,5316775.14,2170108.94,6440966.53,E2_INR_DEPRECIATION
2022-05-16,True,BOOK,0.0,5355753.47,0.0,3027049.09,0.0,1888542.72,0.0,-204757.26,0.0,10066588.02,190659526.55,77.7979,5430967.45,2367670.0,6438553.72,E2_INR_DEPRECIATION
2022-05-17,True,BOOK,-503213.14,3740867.75,0.0,854947.16,0.0,-1849971.42,0.0,-1264870.33,0.0,977760.02,191637286.57,77.4609,5297223.42,2549507.16,6177617.58,E2_INR_DEPRECIATION
2022-05-18,True,BOOK,-199220.0,773677.88,0.0,851348.71,0.0,674304.14,0.0,-29310.15,-0.0,2070800.58,193708087.15,77.5877,5193860.18,2688307.72,8181778.54,E2_INR_DEPRECIATION
2022-05-19,True,BOOK,0.0,-547947.21,0.0,849461.74,0.0,248964.63,0.0,-2268460.61,-0.0,-1717981.46,191990105.69,77.6356,5175032.67,2631874.59,8180746.04,E2_INR_DEPRECIATION
2022-05-20,True,BOOK,-0.0,3368577.67,0.0,876445.04,0.0,52111.6,0.0,-2164199.89,0.0,2132934.41,194123040.1,77.6796,-659477.37,2879106.1,8180238.38,E2_INR_DEPRECIATION
2022-05-23,True,BOOK,0.0,-3849236.72,0.0,2651915.72,0.0,75590.26,0.0,4637329.17,-0.0,3515598.44,197638638.55,77.5678,5251002.24,3004607.76,8177186.55,E2_INR_DEPRECIATION
2022-05-24,True,BOOK,4027437.73,-3160253.89,0.0,860675.06,0.0,157180.81,0.0,1822171.79,-0.0,3707211.5,201345850.05,77.5979,2252122.88,-158117.86,8176564.83,E2_INR_DEPRECIATION
2022-05-25,True,BOOK,1043573.12,2079833.76,0.0,431717.39,0.0,-46583.11,0.0,-2005187.37,0.0,1503353.78,202849203.83,77.5775,3795479.07,-207517.51,12128039.63,E2_INR_DEPRECIATION
2022-05-26,True,BOOK,0.0,-44105.78,0.0,1058170.15,152641.53,77727.99,0.0,378987.12,-0.0,1623421.02,204472624.85,77.5979,3823996.31,-191345.99,12126713.3,E2_INR_DEPRECIATION
2022-05-27,True,BOOK,-249253.56,-35902.77,0.0,1058617.55,0.0,-32229.73,0.0,-1433633.44,0.0,-692401.95,203780222.9,77.5895,3989837.61,-203845.68,12296830.94,E2_INR_DEPRECIATION
2022-05-30,True,BOOK,0.0,706404.98,0.0,3211673.11,0.0,-158698.65,0.0,303098.08,-0.0,4062477.51,207842700.41,77.5502,4049541.71,-28835.08,12293156.81,E2_INR_DEPRECIATION
2022-05-31,True,BOOK,0.0,-1010476.76,0.0,1054278.02,0.0,572820.29,0.0,833572.34,-0.0,1450193.89,209292894.3,77.6916,4063282.23,-147641.53,12291237.75,E2_INR_DEPRECIATION
2022-06-01,True,BOOK,3199477.02,-2880317.91,0.0,1015336.36,0.0,-650005.31,0.0,-1038909.12,0.0,-354418.96,208938475.33,77.5308,838664.86,-3460227.06,12048480.66,E2_INR_DEPRECIATION
2022-06-06,True,BOOK,0.0,-2212190.63,0.0,3040517.68,0.0,91298.14,0.0,2951759.71,-0.0,3871384.91,212809860.24,77.6105,4041533.67,-1926932.62,11208466.17,E2_INR_DEPRECIATION
2022-06-07,True,BOOK,0.0,-717826.03,0.0,603474.73,0.0,472271.96,0.0,-331840.13,0.0,26080.53,212835940.77,77.7274,4037742.31,-1981867.27,11207354.4,E2_INR_DEPRECIATION
2022-06-08,True,BOOK,3251747.41,1654274.02,0.0,615024.63,0.0,-217552.54,0.0,405132.07,-0.0,5708625.58,218544566.35,77.6739,4116771.36,-1807916.49,11209844.59,E2_INR_DEPRECIATION
2022-06-09,True,BOOK,0.0,-511767.82,0.0,1157026.06,0.0,310596.69,0.0,175145.88,0.0,1131000.82,219675567.17,77.7492,4215924.31,-1733093.17,11208591.26,E2_INR_DEPRECIATION
2022-06-10,True,BOOK,0.0,-2630364.35,0.0,1134613.37,0.0,366390.98,0.0,-3274886.95,-0.0,-4404246.95,215271320.22,77.8365,3913131.83,-2144772.77,11206882.18,E2_INR_DEPRECIATION
2022-06-13,True,BOOK,0.0,-5500654.15,0.0,3252490.59,0.0,846821.32,0.0,56234.4,0.0,-1345107.84,213926212.38,78.0545,3888644.28,-2367396.31,11201368.76,E2_INR_DEPRECIATION
2022-06-14,True,BOOK,-467305.84,-89229.06,0.0,1086805.76,0.0,-87774.17,0.0,1133527.56,-0.0,1576024.26,215502236.64,78.032,3910427.93,-2347642.1,11199839.09,E2_INR_DEPRECIATION
2022-06-15,True,BOOK,0.0,-525093.55,0.0,1085797.06,0.0,446973.21,0.0,-1522335.19,-0.0,-514658.47,214987578.17,78.1461,4462235.21,-977518.31,10365554.31,E2_INR_DEPRECIATION
2022-06-16,True,BOOK,-228432.67,-5746412.66,0.0,217135.93,0.0,-327277.14,0.0,1869196.19,-0.0,-4215790.35,210771787.82,78.0716,536948.5,887061.45,8223215.73,E2_INR_DEPRECIATION
2022-06-17,True,BOOK,0.0,1070340.57,0.0,215537.06,0.0,-47544.4,0.0,627109.22,-0.0,1865442.46,212637230.27,78.0765,564560.03,822482.77,8222229.18,E2_INR_DEPRECIATION
2022-06-20,True,BOOK,0.0,411703.22,0.0,644529.3,0.0,-65447.15,0.0,-1836880.72,0.0,-846095.35,211791134.92,77.9633,560210.55,775825.35,8219851.71,E2_INR_DEPRECIATION
2022-06-21,True,BOOK,0.0,-1609578.49,0.0,218718.8,0.0,88039.34,0.0,-1944755.22,-0.0,-3247575.57,208543559.35,78.1261,-4303233.46,938003.3,8218760.33,E2_INR_DEPRECIATION
2022-06-22,True,BOOK,-153230.0,10992293.03,0.0,213062.9,0.0,-834108.27,0.0,-8232232.02,0.0,1985785.65,210529344.99,78.3267,2068676.75,746977.13,9751641.48,E2_INR_DEPRECIATION
2022-06-23,True,BOOK,0.0,-408787.52,0.0,215904.2,0.0,-77452.38,0.0,-219010.18,-0.0,-489345.89,210039999.11,78.2892,2069056.91,2802398.96,7779517.44,E2_INR_DEPRECIATION
2022-06-24,True,BOOK,0.0,467483.97,0.0,211950.45,0.0,13721.99,0.0,12864.04,0.0,706020.45,210746019.56,78.2958,2080871.44,2662991.48,7778533.05,E2_INR_DEPRECIATION
2022-06-27,True,BOOK,0.0,-77860.09,0.0,640409.9,0.0,312252.57,0.0,2402242.73,-0.0,3277045.11,214023064.67,78.4454,2121792.73,2761165.52,7776086.5,E2_INR_DEPRECIATION
2022-06-28,True,BOOK,0.0,79150.93,0.0,219008.19,0.0,1129861.62,0.0,-1523830.78,0.0,-95810.03,213927254.65,78.9774,2106615.74,2906742.24,7775372.19,E2_INR_DEPRECIATION
2022-06-29,True,BOOK,-153010.0,-373233.72,0.0,215655.41,0.0,-47183.13,0.0,-379321.22,0.0,-737092.66,213190161.99,78.955,2996270.5,2100144.4,9305795.74,E2_INR_DEPRECIATION
2022-06-30,True,BOOK,0.0,369534.0,0.0,210671.58,0.0,296369.16,0.0,1114034.04,-0.0,1990608.78,215180770.77,79.0536,2401255.07,2848192.23,7772944.92,E2_INR_DEPRECIATION
2022-07-01,True,BOOK,0.0,275549.9,0.0,210284.5,0.0,-89332.41,0.0,-1724942.69,0.0,-1328440.71,213852330.06,79.0165,1765597.33,2168237.28,7772583.95,E2_INR_DEPRECIATION
2022-07-04,True,BOOK,-312136.58,-1738661.92,0.0,641057.82,0.0,-175813.66,0.0,767940.04,0.0,-817614.29,213034715.77,78.916,927500.93,1693511.41,7569996.57,E2_INR_DEPRECIATION
2022-07-05,True,BOOK,0.0,2976431.49,0.0,208799.81,0.0,441745.54,0.0,-8899705.23,-0.0,-5272728.39,207761987.38,79.3712,5532558.63,2150226.01,6567188.96,E2_INR_DEPRECIATION
2022-07-06,True,BOOK,0.0,-1567928.27,0.0,207920.86,0.0,-1322212.86,0.0,1734454.99,-0.0,-947765.28,206814222.1,79.1315,4923925.58,1520273.06,6566585.18,E2_INR_DEPRECIATION
2022-07-07,True,BOOK,0.0,4893858.95,0.0,213255.74,0.0,216368.55,0.0,-1200771.5,0.0,4122711.74,210936933.84,79.1749,4343974.52,2550283.93,5035963.95,E2_INR_DEPRECIATION
2022-07-08,True,BOOK,0.0,-1202769.74,0.0,211392.9,0.0,257590.65,0.0,-747340.28,0.0,-1481126.47,209455807.37,79.2364,3610921.1,1793105.17,5035481.42,E2_INR_DEPRECIATION
2022-07-11,True,BOOK,0.0,900267.59,0.0,638790.74,0.0,828544.35,0.0,-2651642.78,-0.0,-284040.1,209171767.27,79.4647,3604715.2,1810436.63,5034000.31,E2_INR_DEPRECIATION
2022-07-12,True,BOOK,0.0,-3363005.57,0.0,207519.24,0.0,348255.53,0.0,1258216.29,0.0,-1549014.51,207622752.76,79.5623,3597054.72,3598015.94,3159218.75,E2_INR_DEPRECIATION
2022-07-13,True,BOOK,0.0,-934436.51,0.0,207015.1,0.0,118068.08,0.0,-330093.74,0.0,-939447.07,206683305.69,79.5952,3596653.47,4743274.77,1992999.89,E2_INR_DEPRECIATION
2022-07-14,True,BOOK,0.0,-945400.71,0.0,205836.95,0.0,1578769.82,0.0,-596198.52,-0.0,243007.54,206926313.23,80.0352,3584445.37,4712013.46,1992839.96,E2_INR_DEPRECIATION
