case,case_group,required,grade,lane,n_weeks_in_window,open_weeks,flips_vs_base,first_open_week,last_open_week,net_arb_min_inr_t,net_arb_median_inr_t,net_arb_max_inr_t
anchor_mirror_m1,anchor_mirror,True,taint_tabor,USEC_MUN,27,13,2,2022-03-04,2022-08-19,-6497.58,4320.53,37278.26
anchor_mirror_m1,anchor_mirror,True,tense,JEA_NSA,27,27,0,2022-03-04,2022-09-02,9606.15,22723.34,60874.2
anchor_mirror_m1,anchor_mirror,True,tense,USEC_MUN,27,27,1,2022-03-04,2022-09-02,7266.33,20261.1,58243.1
anchor_mirror_lane_contract,anchor_mirror,False,zorba,JEA_NSA,27,17,2,2022-03-04,2022-08-19,-2323.73,8729.21,42563.34
anchor_mirror_lane_contract,anchor_mirror,False,zorba,USEC_MUN,27,18,4,2022-03-04,2022-08-19,-3684.96,10045.98,42068.1
anchor_mirror_lane_contract,anchor_mirror,False,taint_tabor,JEA_NSA,27,15,1,2022-03-04,2022-08-19,-4500.49,6451.71,39608.02
anchor_mirror_lane_contract,anchor_mirror,False,taint_tabor,USEC_MUN,27,16,3,2022-03-04,2022-08-19,-5234.59,8555.74,39868.14
anchor_mirror_lane_contract,anchor_mirror,False,tense,JEA_NSA,27,27,0,2022-03-04,2022-09-02,9606.15,22723.34,60874.2
anchor_mirror_lane_contract,anchor_mirror,False,tense,USEC_MUN,27,27,1,2022-03-04,2022-09-02,8193.82,23960.29,59598.94
conversion_8000,conversion,True,zorba,JEA_NSA,27,19,2,2022-03-04,2022-08-26,-1664.47,10670.12,55365.11
conversion_8000,conversion,True,zorba,USEC_MUN,27,17,3,2022-03-04,2022-08-26,-3306.24,9063.02,53365.69
conversion_8000,conversion,True,taint_tabor,JEA_NSA,27,17,3,2022-03-04,2022-08-26,-3729.12,8637.48,52877.72
conversion_8000,conversion,True,taint_tabor,USEC_MUN,27,17,4,2022-03-04,2022-08-26,-4842.02,7558.92,51405.31
conversion_8000,conversion,True,tense,JEA_NSA,27,27,0,2022-03-04,2022-09-02,10034.03,22703.73,74432.36
conversion_8000,conversion,True,tense,USEC_MUN,27,27,1,2022-03-04,2022-09-02,8594.92,21256.64,72677.26
conversion_12000,conversion,True,zorba,JEA_NSA,27,17,0,2022-03-04,2022-08-26,-5126.31,7208.29,51903.27
conversion_12000,conversion,True,zorba,USEC_MUN,27,14,0,2022-03-04,2022-08-19,-6768.07,5601.19,49903.86
conversion_12000,conversion,True,taint_tabor,JEA_NSA,27,14,0,2022-03-04,2022-08-19,-7317.49,5049.12,49289.35
conversion_12000,conversion,True,taint_tabor,USEC_MUN,27,13,0,2022-03-04,2022-08-12,-8430.39,3970.55,47816.94
conversion_12000,conversion,True,tense,JEA_NSA,27,27,0,2022-03-04,2022-09-02,6367.66,19037.35,70765.99
conversion_12000,conversion,True,tense,USEC_MUN,27,26,0,2022-03-04,2022-09-02,4928.55,17590.26,69010.88
conversion_18000,conversion,True,zorba,JEA_NSA,27,10,7,2022-03-04,2022-05-06,-10319.05,2015.54,46710.53
conversion_18000,conversion,True,zorba,USEC_MUN,27,10,4,2022-03-04,2022-05-06,-11960.82,408.44,44711.11
conversion_18000,conversion,True,taint_tabor,JEA_NSA,27,10,4,2022-03-04,2022-05-06,-12700.04,-333.44,43906.8
conversion_18000,conversion,True,taint_tabor,USEC_MUN,27,9,4,2022-03-04,2022-04-29,-13812.94,-1412.0,42434.39
conversion_18000,conversion,True,tense,JEA_NSA,27,22,5,2022-03-04,2022-09-02,868.09,13537.79,65266.42
conversion_18000,conversion,True,tense,USEC_MUN,27,21,5,2022-03-04,2022-08-26,-571.02,12090.7,63511.32
conversion_30000,conversion,True,zorba,JEA_NSA,27,8,9,2022-03-04,2022-04-22,-20704.55,-8369.96,36325.03
conversion_30000,conversion,True,zorba,USEC_MUN,27,8,6,2022-03-04,2022-04-22,-22346.32,-9977.06,34325.61
conversion_30000,conversion,True,taint_tabor,JEA_NSA,27,8,6,2022-03-04,2022-04-22,-23465.15,-11098.54,33141.69
conversion_30000,conversion,True,taint_tabor,USEC_MUN,27,8,5,2022-03-04,2022-04-22,-24578.05,-12177.1,31669.28
conversion_30000,conversion,True,tense,JEA_NSA,27,13,14,2022-03-04,2022-08-12,-10131.03,2538.66,54267.29
conversion_30000,conversion,True,tense,USEC_MUN,27,11,15,2022-03-04,2022-05-20,-11570.14,1091.57,52512.19
metal_yield_low,recovery,True,zorba,JEA_NSA,27,14,3,2022-03-04,2022-08-19,-6801.15,5488.52,49128.77
metal_yield_low,recovery,True,zorba,USEC_MUN,27,13,1,2022-03-04,2022-08-12,-8451.88,3872.55,47120.45
metal_yield_low,recovery,True,taint_tabor,JEA_NSA,27,10,4,2022-03-04,2022-05-06,-10827.35,1445.11,43474.99
metal_yield_low,recovery,True,taint_tabor,USEC_MUN,27,9,4,2022-03-04,2022-04-29,-11959.04,347.97,41983.94
metal_yield_low,recovery,True,tense,JEA_NSA,27,22,5,2022-03-04,2022-09-02,2857.8,15388.03,64951.62
metal_yield_low,recovery,True,tense,USEC_MUN,27,22,4,2022-03-04,2022-09-02,1399.9,13967.67,63177.88
metal_yield_high,recovery,True,zorba,JEA_NSA,27,17,0,2022-03-04,2022-08-26,-3451.47,8928.05,54677.78
metal_yield_high,recovery,True,zorba,USEC_MUN,27,17,3,2022-03-04,2022-08-26,-5084.27,7329.82,52687.26
metal_yield_high,recovery,True,taint_tabor,JEA_NSA,27,17,3,2022-03-04,2022-08-26,-3807.63,8653.12,55103.71
metal_yield_high,recovery,True,taint_tabor,USEC_MUN,27,17,4,2022-03-04,2022-08-26,-4901.75,7593.14,53649.94
metal_yield_high,recovery,True,tense,JEA_NSA,27,27,0,2022-03-04,2022-09-02,8122.59,21145.8,73673.17
metal_yield_high,recovery,True,tense,USEC_MUN,27,27,1,2022-03-04,2022-09-02,6692.87,19538.2,71927.38
heavies_value_0.4,heavies,True,zorba,JEA_NSA,27,13,4,2022-03-04,2022-08-12,-8819.36,3454.89,46128.99
heavies_value_0.4,heavies,True,zorba,USEC_MUN,27,10,4,2022-03-04,2022-05-06,-10461.12,1847.79,44129.57
heavies_value_0.4,heavies,True,taint_tabor,JEA_NSA,27,14,0,2022-03-04,2022-08-19,-7317.49,5049.12,49289.35
heavies_value_0.4,heavies,True,taint_tabor,USEC_MUN,27,13,0,2022-03-04,2022-08-12,-8430.39,3970.55,47816.94
heavies_value_0.4,heavies,True,tense,JEA_NSA,27,27,0,2022-03-04,2022-09-02,6367.66,19037.35,70765.99
heavies_value_0.4,heavies,True,tense,USEC_MUN,27,26,0,2022-03-04,2022-09-02,4928.55,17590.26,69010.88
heavies_value_1.5,heavies,True,zorba,JEA_NSA,27,22,5,2022-03-04,2022-09-02,1336.53,13776.73,62008.28
heavies_value_1.5,heavies,True,zorba,USEC_MUN,27,21,7,2022-03-04,2022-09-02,-305.23,12169.63,60008.86
heavies_value_1.5,heavies,True,taint_tabor,JEA_NSA,27,14,0,2022-03-04,2022-08-19,-7317.49,5049.12,49289.35
heavies_value_1.5,heavies,True,taint_tabor,USEC_MUN,27,13,0,2022-03-04,2022-08-12,-8430.39,3970.55,47816.94
heavies_value_1.5,heavies,True,tense,JEA_NSA,27,27,0,2022-03-04,2022-09-02,6367.66,19037.35,70765.99
heavies_value_1.5,heavies,True,tense,USEC_MUN,27,26,0,2022-03-04,2022-09-02,4928.55,17590.26,69010.88
goods_fx_spot,goods_fx,False,zorba,JEA_NSA,27,17,0,2022-03-04,2022-08-26,-4718.39,7592.68,52515.94
goods_fx_spot,goods_fx,False,zorba,USEC_MUN,27,15,1,2022-03-04,2022-08-19,-6356.51,5989.08,50521.73
goods_fx_spot,goods_fx,False,taint_tabor,JEA_NSA,27,14,0,2022-03-04,2022-08-19,-6909.57,5433.51,49902.01
goods_fx_spot,goods_fx,False,taint_tabor,USEC_MUN,27,13,0,2022-03-04,2022-08-12,-8018.83,4358.45,48434.81
goods_fx_spot,goods_fx,False,tense,JEA_NSA,27,27,0,2022-03-04,2022-09-02,6751.72,19569.89,71335.45
goods_fx_spot,goods_fx,False,tense,USEC_MUN,27,27,1,2022-03-04,2022-09-02,5316.04,17957.92,69585.19
pit_mix_and_conv18k,informational,False,zorba,JEA_NSA,27,23,12,2022-03-04,2022-08-05,-3070.75,15337.09,27593.67
pit_mix_and_conv18k,informational,False,zorba,USEC_MUN,27,22,14,2022-03-04,2022-08-05,-4655.28,13833.87,26081.38
pit_mix_and_conv18k,informational,False,taint_tabor,JEA_NSA,27,21,13,2022-03-04,2022-07-29,-5357.65,12907.28,25092.52
pit_mix_and_conv18k,informational,False,taint_tabor,USEC_MUN,27,20,13,2022-03-04,2022-07-29,-6412.72,11751.87,24107.04
pit_mix_and_conv18k,informational,False,tense,JEA_NSA,27,27,0,2022-03-04,2022-09-02,8060.72,29380.4,40461.32
pit_mix_and_conv18k,informational,False,tense,USEC_MUN,27,27,1,2022-03-04,2022-09-02,6680.23,28189.79,39158.24
tt_spec_factor_plus,informational,False,zorba,JEA_NSA,27,17,0,2022-03-04,2022-08-26,-5126.31,7208.29,51903.27
tt_spec_factor_plus,informational,False,zorba,USEC_MUN,27,14,0,2022-03-04,2022-08-19,-6768.07,5601.19,49903.86
tt_spec_factor_plus,informational,False,taint_tabor,JEA_NSA,27,5,9,2022-03-04,2022-04-01,-26804.19,-16036.38,18825.87
tt_spec_factor_plus,informational,False,taint_tabor,USEC_MUN,27,5,8,2022-03-04,2022-04-01,-28090.99,-17346.14,17095.05
tt_spec_factor_plus,informational,False,tense,JEA_NSA,27,27,0,2022-03-04,2022-09-02,6367.66,19037.35,70765.99
tt_spec_factor_plus,informational,False,tense,USEC_MUN,27,26,0,2022-03-04,2022-09-02,4928.55,17590.26,69010.88
trade_eligible_5a,section_5a_rule,True,zorba,JEA_NSA,27,10,7,2022-03-04,2022-05-06,-5126.31,7208.29,51903.27
trade_eligible_5a,section_5a_rule,True,zorba,USEC_MUN,27,10,4,2022-03-04,2022-05-06,-6768.07,5601.19,49903.86
trade_eligible_5a,section_5a_rule,True,taint_tabor,JEA_NSA,27,10,4,2022-03-04,2022-05-06,-7317.49,5049.12,49289.35
trade_eligible_5a,section_5a_rule,True,taint_tabor,USEC_MUN,27,9,4,2022-03-04,2022-04-29,-8430.39,3970.55,47816.94
trade_eligible_5a,section_5a_rule,True,tense,JEA_NSA,27,22,5,2022-03-04,2022-09-02,6367.66,19037.35,70765.99
trade_eligible_5a,section_5a_rule,True,tense,USEC_MUN,27,21,5,2022-03-04,2022-08-26,4928.55,17590.26,69010.88
