series,episode,search_start,search_end,percentile,base_percentile,method,threshold_sigma_frac,alert_date,alert_type,above_at_window_open,first_upcrossing_in_window,days_below_threshold_in_window,sigma_at_alert_frac,sigma_at_window_open_frac,peak_date_in_window,peak_sigma_in_window_frac,reference_period,garch_lead_trading_days,garch_lead_on_fresh_upcrossing_days,note
lme,LME_MAY_JULY_CRASH,2022-04-01,2022-07-15,0.75,False,hist250,0.01245862,2021-09-13,ABOVE_WHEN_WINDOW_OPENED,True,,0,0.01249508,0.01921832,2022-07-06,0.02079261,2019-01-02..2021-12-31,-104.0,,"positive garch_lead_trading_days = GARCH alerted that many panel days BEFORE this method (alert_date, which is the start of an already-running spell when alert_type says so); garch_lead_on_fresh_upcrossing_days compares only up-crossings inside the window; negative = GARCH later; thresholds are each method's own percentile over the reference period (no 2022 data); search windows are reporting-only"
lme,LME_MAY_JULY_CRASH,2022-04-01,2022-07-15,0.75,False,hist60,0.01228847,2021-05-13,ABOVE_WHEN_WINDOW_OPENED,True,,0,0.01279981,0.0275068,2022-05-10,0.0300579,2019-01-02..2021-12-31,-189.0,,"positive garch_lead_trading_days = GARCH alerted that many panel days BEFORE this method (alert_date, which is the start of an already-running spell when alert_type says so); garch_lead_on_fresh_upcrossing_days compares only up-crossings inside the window; negative = GARCH later; thresholds are each method's own percentile over the reference period (no 2022 data); search windows are reporting-only"
lme,LME_MAY_JULY_CRASH,2022-04-01,2022-07-15,0.9,True,garch,0.0160123,2022-02-14,ABOVE_WHEN_WINDOW_OPENED,True,2022-04-08,2,0.01856491,0.02098476,2022-05-10,0.02559472,2019-01-02..2021-12-31,0.0,0.0,"positive garch_lead_trading_days = GARCH alerted that many panel days BEFORE this method (alert_date, which is the start of an already-running spell when alert_type says so); garch_lead_on_fresh_upcrossing_days compares only up-crossings inside the window; negative = GARCH later; thresholds are each method's own percentile over the reference period (no 2022 data); search windows are reporting-only"
lme,LME_MAY_JULY_CRASH,2022-04-01,2022-07-15,0.9,True,hist250,0.01507381,2022-02-09,ABOVE_WHEN_WINDOW_OPENED,True,,0,0.01511798,0.01921832,2022-07-06,0.02079261,2019-01-02..2021-12-31,-3.0,,"positive garch_lead_trading_days = GARCH alerted that many panel days BEFORE this method (alert_date, which is the start of an already-running spell when alert_type says so); garch_lead_on_fresh_upcrossing_days compares only up-crossings inside the window; negative = GARCH later; thresholds are each method's own percentile over the reference period (no 2022 data); search windows are reporting-only"
lme,LME_MAY_JULY_CRASH,2022-04-01,2022-07-15,0.9,True,hist60,0.01433631,2021-10-15,ABOVE_WHEN_WINDOW_OPENED,True,,0,0.01460072,0.0275068,2022-05-10,0.0300579,2019-01-02..2021-12-31,-83.0,,"positive garch_lead_trading_days = GARCH alerted that many panel days BEFORE this method (alert_date, which is the start of an already-running spell when alert_type says so); garch_lead_on_fresh_upcrossing_days compares only up-crossings inside the window; negative = GARCH later; thresholds are each method's own percentile over the reference period (no 2022 data); search windows are reporting-only"
lme,LME_MAY_JULY_CRASH,2022-04-01,2022-07-15,0.95,False,garch,0.01744791,2022-02-23,ABOVE_WHEN_WINDOW_OPENED,True,2022-04-08,9,0.01869071,0.02098476,2022-05-10,0.02559472,2019-01-02..2021-12-31,0.0,0.0,"positive garch_lead_trading_days = GARCH alerted that many panel days BEFORE this method (alert_date, which is the start of an already-running spell when alert_type says so); garch_lead_on_fresh_upcrossing_days compares only up-crossings inside the window; negative = GARCH later; thresholds are each method's own percentile over the reference period (no 2022 data); search windows are reporting-only"
lme,LME_MAY_JULY_CRASH,2022-04-01,2022-07-15,0.95,False,hist250,0.01680319,2022-03-09,ABOVE_WHEN_WINDOW_OPENED,True,,0,0.01861659,0.01921832,2022-07-06,0.02079261,2019-01-02..2021-12-31,10.0,,"positive garch_lead_trading_days = GARCH alerted that many panel days BEFORE this method (alert_date, which is the start of an already-running spell when alert_type says so); garch_lead_on_fresh_upcrossing_days compares only up-crossings inside the window; negative = GARCH later; thresholds are each method's own percentile over the reference period (no 2022 data); search windows are reporting-only"
lme,LME_MAY_JULY_CRASH,2022-04-01,2022-07-15,0.95,False,hist60,0.01664349,2022-02-25,ABOVE_WHEN_WINDOW_OPENED,True,,0,0.01715481,0.0275068,2022-05-10,0.0300579,2019-01-02..2021-12-31,2.0,,"positive garch_lead_trading_days = GARCH alerted that many panel days BEFORE this method (alert_date, which is the start of an already-running spell when alert_type says so); garch_lead_on_fresh_upcrossing_days compares only up-crossings inside the window; negative = GARCH later; thresholds are each method's own percentile over the reference period (no 2022 data); search windows are reporting-only"
fx,LME_MARCH_SPIKE,2022-01-03,2022-03-31,0.75,False,garch,0.00446433,2022-02-25,UP_CROSSING,False,2022-02-25,60,0.00486521,0.00346574,2022-02-25,0.00486521,2019-01-02..2021-12-31,0.0,0.0,"positive garch_lead_trading_days = GARCH alerted that many panel days BEFORE this method (alert_date, which is the start of an already-running spell when alert_type says so); garch_lead_on_fresh_upcrossing_days compares only up-crossings inside the window; negative = GARCH later; thresholds are each method's own percentile over the reference period (no 2022 data); search windows are reporting-only"
fx,LME_MARCH_SPIKE,2022-01-03,2022-03-31,0.75,False,hist250,0.00429548,,NO_ALERT,False,,63,,0.00307994,2022-02-21,0.00317832,2019-01-02..2021-12-31,,,"positive garch_lead_trading_days = GARCH alerted that many panel days BEFORE this method (alert_date, which is the start of an already-running spell when alert_type says so); garch_lead_on_fresh_upcrossing_days compares only up-crossings inside the window; negative = GARCH later; thresholds are each method's own percentile over the reference period (no 2022 data); search windows are reporting-only"
fx,LME_MARCH_SPIKE,2022-01-03,2022-03-31,0.75,False,hist60,0.00398979,,NO_ALERT,False,,63,,0.00260961,2022-03-11,0.00348272,2019-01-02..2021-12-31,,,"positive garch_lead_trading_days = GARCH alerted that many panel days BEFORE this method (alert_date, which is the start of an already-running spell when alert_type says so); garch_lead_on_fresh_upcrossing_days compares only up-crossings inside the window; negative = GARCH later; thresholds are each method's own percentile over the reference period (no 2022 data); search windows are reporting-only"
fx,LME_MARCH_SPIKE,2022-01-03,2022-03-31,0.9,True,garch,0.00524246,,NO_ALERT,False,,63,,0.00346574,2022-02-25,0.00486521,2019-01-02..2021-12-31,,,"positive garch_lead_trading_days = GARCH alerted that many panel days BEFORE this method (alert_date, which is the start of an already-running spell when alert_type says so); garch_lead_on_fresh_upcrossing_days compares only up-crossings inside the window; negative = GARCH later; thresholds are each method's own percentile over the reference period (no 2022 data); search windows are reporting-only"
fx,LME_MARCH_SPIKE,2022-01-03,2022-03-31,0.9,True,hist250,0.00440711,,NO_ALERT,False,,63,,0.00307994,2022-02-21,0.00317832,2019-01-02..2021-12-31,,,"positive garch_lead_trading_days = GARCH alerted that many panel days BEFORE this method (alert_date, which is the start of an already-running spell when alert_type says so); garch_lead_on_fresh_upcrossing_days compares only up-crossings inside the window; negative = GARCH later; thresholds are each method's own percentile over the reference period (no 2022 data); search windows are reporting-only"
fx,LME_MARCH_SPIKE,2022-01-03,2022-03-31,0.9,True,hist60,0.00503785,,NO_ALERT,False,,63,,0.00260961,2022-03-11,0.00348272,2019-01-02..2021-12-31,,,"positive garch_lead_trading_days = GARCH alerted that many panel days BEFORE this method (alert_date, which is the start of an already-running spell when alert_type says so); garch_lead_on_fresh_upcrossing_days compares only up-crossings inside the window; negative = GARCH later; thresholds are each method's own percentile over the reference period (no 2022 data); search windows are reporting-only"
fx,LME_MARCH_SPIKE,2022-01-03,2022-03-31,0.95,False,garch,0.00532296,,NO_ALERT,False,,63,,0.00346574,2022-02-25,0.00486521,2019-01-02..2021-12-31,,,"positive garch_lead_trading_days = GARCH alerted that many panel days BEFORE this method (alert_date, which is the start of an already-running spell when alert_type says so); garch_lead_on_fresh_upcrossing_days compares only up-crossings inside the window; negative = GARCH later; thresholds are each method's own percentile over the reference period (no 2022 data); search windows are reporting-only"
fx,LME_MARCH_SPIKE,2022-01-03,2022-03-31,0.95,False,hist250,0.00446471,,NO_ALERT,False,,63,,0.00307994,2022-02-21,0.00317832,2019-01-02..2021-12-31,,,"positive garch_lead_trading_days = GARCH alerted that many panel days BEFORE this method (alert_date, which is the start of an already-running spell when alert_type says so); garch_lead_on_fresh_upcrossing_days compares only up-crossings inside the window; negative = GARCH later; thresholds are each method's own percentile over the reference period (no 2022 data); search windows are reporting-only"
fx,LME_MARCH_SPIKE,2022-01-03,2022-03-31,0.95,False,hist60,0.00542704,,NO_ALERT,False,,63,,0.00260961,2022-03-11,0.00348272,2019-01-02..2021-12-31,,,"positive garch_lead_trading_days = GARCH alerted that many panel days BEFORE this method (alert_date, which is the start of an already-running spell when alert_type says so); garch_lead_on_fresh_upcrossing_days compares only up-crossings inside the window; negative = GARCH later; thresholds are each method's own percentile over the reference period (no 2022 data); search windows are reporting-only"
fx,LME_MAY_JULY_CRASH,2022-04-01,2022-07-15,0.75,False,garch,0.00446433,,NO_ALERT,False,,71,,0.00323123,2022-05-10,0.00406041,2019-01-02..2021-12-31,,,"positive garch_lead_trading_days = GARCH alerted that many panel days BEFORE this method (alert_date, which is the start of an already-running spell when alert_type says so); garch_lead_on_fresh_upcrossing_days compares only up-crossings inside the window; negative = GARCH later; thresholds are each method's own percentile over the reference period (no 2022 data); search windows are reporting-only"
fx,LME_MAY_JULY_CRASH,2022-04-01,2022-07-15,0.75,False,hist250,0.00429548,,NO_ALERT,False,,71,,0.00290027,2022-04-07,0.00292462,2019-01-02..2021-12-31,,,"positive garch_lead_trading_days = GARCH alerted that many panel days BEFORE this method (alert_date, which is the start of an already-running spell when alert_type says so); garch_lead_on_fresh_upcrossing_days compares only up-crossings inside the window; negative = GARCH later; thresholds are each method's own percentile over the reference period (no 2022 data); search windows are reporting-only"
fx,LME_MAY_JULY_CRASH,2022-04-01,2022-07-15,0.75,False,hist60,0.00398979,,NO_ALERT,False,,71,,0.0033128,2022-05-18,0.00369661,2019-01-02..2021-12-31,,,"positive garch_lead_trading_days = GARCH alerted that many panel days BEFORE this method (alert_date, which is the start of an already-running spell when alert_type says so); garch_lead_on_fresh_upcrossing_days compares only up-crossings inside the window; negative = GARCH later; thresholds are each method's own percentile over the reference period (no 2022 data); search windows are reporting-only"
fx,LME_MAY_JULY_CRASH,2022-04-01,2022-07-15,0.9,True,garch,0.00524246,,NO_ALERT,False,,71,,0.00323123,2022-05-10,0.00406041,2019-01-02..2021-12-31,,,"positive garch_lead_trading_days = GARCH alerted that many panel days BEFORE this method (alert_date, which is the start of an already-running spell when alert_type says so); garch_lead_on_fresh_upcrossing_days compares only up-crossings inside the window; negative = GARCH later; thresholds are each method's own percentile over the reference period (no 2022 data); search windows are reporting-only"
fx,LME_MAY_JULY_CRASH,2022-04-01,2022-07-15,0.9,True,hist250,0.00440711,,NO_ALERT,False,,71,,0.00290027,2022-04-07,0.00292462,2019-01-02..2021-12-31,,,"positive garch_lead_trading_days = GARCH alerted that many panel days BEFORE this method (alert_date, which is the start of an already-running spell when alert_type says so); garch_lead_on_fresh_upcrossing_days compares only up-crossings inside the window; negative = GARCH later; thresholds are each method's own percentile over the reference period (no 2022 data); search windows are reporting-only"
fx,LME_MAY_JULY_CRASH,2022-04-01,2022-07-15,0.9,True,hist60,0.00503785,,NO_ALERT,False,,71,,0.0033128,2022-05-18,0.00369661,2019-01-02..2021-12-31,,,"positive garch_lead_trading_days = GARCH alerted that many panel days BEFORE this method (alert_date, which is the start of an already-running spell when alert_type says so); garch_lead_on_fresh_upcrossing_days compares only up-crossings inside the window; negative = GARCH later; thresholds are each method's own percentile over the reference period (no 2022 data); search windows are reporting-only"
fx,LME_MAY_JULY_CRASH,2022-04-01,2022-07-15,0.95,False,garch,0.00532296,,NO_ALERT,False,,71,,0.00323123,2022-05-10,0.00406041,2019-01-02..2021-12-31,,,"positive garch_lead_trading_days = GARCH alerted that many panel days BEFORE this method (alert_date, which is the start of an already-running spell when alert_type says so); garch_lead_on_fresh_upcrossing_days compares only up-crossings inside the window; negative = GARCH later; thresholds are each method's own percentile over the reference period (no 2022 data); search windows are reporting-only"
fx,LME_MAY_JULY_CRASH,2022-04-01,2022-07-15,0.95,False,hist250,0.00446471,,NO_ALERT,False,,71,,0.00290027,2022-04-07,0.00292462,2019-01-02..2021-12-31,,,"positive garch_lead_trading_days = GARCH alerted that many panel days BEFORE this method (alert_date, which is the start of an already-running spell when alert_type says so); garch_lead_on_fresh_upcrossing_days compares only up-crossings inside the window; negative = GARCH later; thresholds are each method's own percentile over the reference period (no 2022 data); search windows are reporting-only"
fx,LME_MAY_JULY_CRASH,2022-04-01,2022-07-15,0.95,False,hist60,0.00542704,,NO_ALERT,False,,71,,0.0033128,2022-05-18,0.00369661,2019-01-02..2021-12-31,,,"positive garch_lead_trading_days = GARCH alerted that many panel days BEFORE this method (alert_date, which is the start of an already-running spell when alert_type says so); garch_lead_on_fresh_upcrossing_days compares only up-crossings inside the window; negative = GARCH later; thresholds are each method's own percentile over the reference period (no 2022 data); search windows are reporting-only"
