scenario,description,as_of_date,cp_id,pd_annual_frac,rank_riskiest_first,band_model,overlay_notches,band_final,utilisation_in_support,label
drop_dpd_max_days,refit without Worst days past due (12 m) (held at the synthetic mean),2022-08-31,BUY_JNPT_01,0.05636878,2,C,0,C,True,ACADEMIC SIMULATION — not actual trades. ILLUSTRATIVE model on SYNTHETIC training data
drop_dpd_max_days,refit without Worst days past due (12 m) (held at the synthetic mean),2022-08-31,BUY_MUN_01,0.05400641,3,C,0,C,True,ACADEMIC SIMULATION — not actual trades. ILLUSTRATIVE model on SYNTHETIC training data
drop_history_months,refit without Payment history (months) (held at the synthetic mean),2022-08-31,BUY_RJK_01,0.38956114,1,D,1,D,True,ACADEMIC SIMULATION — not actual trades. ILLUSTRATIVE model on SYNTHETIC training data
drop_history_months,refit without Payment history (months) (held at the synthetic mean),2022-08-31,BUY_JNPT_01,0.09279884,2,C,0,C,True,ACADEMIC SIMULATION — not actual trades. ILLUSTRATIVE model on SYNTHETIC training data
drop_history_months,refit without Payment history (months) (held at the synthetic mean),2022-08-31,BUY_MUN_01,0.05006348,3,C,0,C,True,ACADEMIC SIMULATION — not actual trades. ILLUSTRATIVE model on SYNTHETIC training data
drop_order_concentration_frac,refit without Share of buyer's input from desk (12 m) (held at the synthetic mean),2022-08-31,BUY_RJK_01,0.25130293,1,D,1,D,True,ACADEMIC SIMULATION — not actual trades. ILLUSTRATIVE model on SYNTHETIC training data
drop_order_concentration_frac,refit without Share of buyer's input from desk (12 m) (held at the synthetic mean),2022-08-31,BUY_JNPT_01,0.11696626,2,C,0,C,True,ACADEMIC SIMULATION — not actual trades. ILLUSTRATIVE model on SYNTHETIC training data
drop_order_concentration_frac,refit without Share of buyer's input from desk (12 m) (held at the synthetic mean),2022-08-31,BUY_MUN_01,0.07337155,3,C,0,C,True,ACADEMIC SIMULATION — not actual trades. ILLUSTRATIVE model on SYNTHETIC training data
base_rate_0.02,synthetic population base default rate 2% (base 4 %),2022-08-31,BUY_RJK_01,0.13743072,1,D,1,D,True,ACADEMIC SIMULATION — not actual trades. ILLUSTRATIVE model on SYNTHETIC training data
base_rate_0.02,synthetic population base default rate 2% (base 4 %),2022-08-31,BUY_JNPT_01,0.07063892,2,C,0,C,True,ACADEMIC SIMULATION — not actual trades. ILLUSTRATIVE model on SYNTHETIC training data
base_rate_0.02,synthetic population base default rate 2% (base 4 %),2022-08-31,BUY_MUN_01,0.04447103,3,B,0,B,True,ACADEMIC SIMULATION — not actual trades. ILLUSTRATIVE model on SYNTHETIC training data
base_rate_0.05,synthetic population base default rate 5% (base 4 %),2022-08-31,BUY_RJK_01,0.4351352,1,D,1,D,True,ACADEMIC SIMULATION — not actual trades. ILLUSTRATIVE model on SYNTHETIC training data
base_rate_0.05,synthetic population base default rate 5% (base 4 %),2022-08-31,BUY_JNPT_01,0.09795409,2,C,0,C,True,ACADEMIC SIMULATION — not actual trades. ILLUSTRATIVE model on SYNTHETIC training data
base_rate_0.05,synthetic population base default rate 5% (base 4 %),2022-08-31,BUY_MUN_01,0.0612133,3,C,0,C,True,ACADEMIC SIMULATION — not actual trades. ILLUSTRATIVE model on SYNTHETIC training data
alt_contracted_utilisation,advances owed counted inside utilisation instead of the overlay (OUT OF TRAINING SUPPORT where flagged: the logistic curve is extrapolating),2022-08-31,BUY_RJK_01,0.99396066,1,D,0,D,False,ACADEMIC SIMULATION — not actual trades. ILLUSTRATIVE model on SYNTHETIC training data
alt_contracted_utilisation,advances owed counted inside utilisation instead of the overlay (OUT OF TRAINING SUPPORT where flagged: the logistic curve is extrapolating),2022-08-31,BUY_JNPT_01,0.08213782,2,C,0,C,True,ACADEMIC SIMULATION — not actual trades. ILLUSTRATIVE model on SYNTHETIC training data
alt_contracted_utilisation,advances owed counted inside utilisation instead of the overlay (OUT OF TRAINING SUPPORT where flagged: the logistic curve is extrapolating),2022-08-31,BUY_MUN_01,0.05098924,3,C,0,C,True,ACADEMIC SIMULATION — not actual trades. ILLUSTRATIVE model on SYNTHETIC training data
no_overlay,"fitted model, performance overlay switched off",2022-08-31,BUY_RJK_01,0.41829009,1,D,0,D,True,ACADEMIC SIMULATION — not actual trades. ILLUSTRATIVE model on SYNTHETIC training data
no_overlay,"fitted model, performance overlay switched off",2022-08-31,BUY_JNPT_01,0.08213782,2,C,0,C,True,ACADEMIC SIMULATION — not actual trades. ILLUSTRATIVE model on SYNTHETIC training data
no_overlay,"fitted model, performance overlay switched off",2022-08-31,BUY_MUN_01,0.05098924,3,C,0,C,True,ACADEMIC SIMULATION — not actual trades. ILLUSTRATIVE model on SYNTHETIC training data
