sample,pair,series_a,series_b,metric,value,flag,note
panel_2018-01-02_2022-12-30,proxy_m1_vs_duty_paid_parity,mcx_al_m1_inr_kg (panel PROXY),LME cash × USDINR × (1 + BCD 7601 × (1 + SWS)),daily_logret_corr,0.998342,PROXY,"PROXY vs PROXY: the proxy IS this parity times carry, so these statistics are mechanical"
panel_2018-01-02_2022-12-30,proxy_m1_vs_duty_paid_parity,mcx_al_m1_inr_kg (panel PROXY),LME cash × USDINR × (1 + BCD 7601 × (1 + SWS)),weekly_logret_corr,0.998579,PROXY,"PROXY vs PROXY: the proxy IS this parity times carry, so these statistics are mechanical"
panel_2018-01-02_2022-12-30,proxy_m1_vs_duty_paid_parity,mcx_al_m1_inr_kg (panel PROXY),LME cash × USDINR × (1 + BCD 7601 × (1 + SWS)),basis_mean_inr_kg,0.323601,PROXY,"PROXY vs PROXY: the proxy IS this parity times carry, so these statistics are mechanical"
panel_2018-01-02_2022-12-30,proxy_m1_vs_duty_paid_parity,mcx_al_m1_inr_kg (panel PROXY),LME cash × USDINR × (1 + BCD 7601 × (1 + SWS)),basis_std_inr_kg,0.229479,PROXY,"PROXY vs PROXY: the proxy IS this parity times carry, so these statistics are mechanical"
panel_2018-01-02_2022-12-30,proxy_m1_vs_duty_paid_parity,mcx_al_m1_inr_kg (panel PROXY),LME cash × USDINR × (1 + BCD 7601 × (1 + SWS)),basis_mean_inr_t,323.600672,PROXY,"PROXY vs PROXY: the proxy IS this parity times carry, so these statistics are mechanical"
panel_2018-01-02_2022-12-30,proxy_m1_vs_duty_paid_parity,mcx_al_m1_inr_kg (panel PROXY),LME cash × USDINR × (1 + BCD 7601 × (1 + SWS)),daily_vol_a,0.015329,PROXY,"PROXY vs PROXY: the proxy IS this parity times carry, so these statistics are mechanical"
panel_2018-01-02_2022-12-30,proxy_m1_vs_duty_paid_parity,mcx_al_m1_inr_kg (panel PROXY),LME cash × USDINR × (1 + BCD 7601 × (1 + SWS)),daily_vol_b,0.015312,PROXY,"PROXY vs PROXY: the proxy IS this parity times carry, so these statistics are mechanical"
window_2022-03-01_2022-08-31,proxy_spot_vs_duty_paid_parity,mcx_al_spot_inr_kg (panel PROXY),duty-paid LME cash parity,n_common_days,126.0,PROXY,"identity check: premium mcx_domestic_premium_inr_kg = 0, so basis must be 0"
window_2022-03-01_2022-08-31,proxy_spot_vs_duty_paid_parity,mcx_al_spot_inr_kg (panel PROXY),duty-paid LME cash parity,level_corr,1.0,PROXY,"identity check: premium mcx_domestic_premium_inr_kg = 0, so basis must be 0"
window_2022-03-01_2022-08-31,proxy_spot_vs_duty_paid_parity,mcx_al_spot_inr_kg (panel PROXY),duty-paid LME cash parity,daily_logret_corr,1.0,PROXY,"identity check: premium mcx_domestic_premium_inr_kg = 0, so basis must be 0"
window_2022-03-01_2022-08-31,proxy_spot_vs_duty_paid_parity,mcx_al_spot_inr_kg (panel PROXY),duty-paid LME cash parity,weekly_logret_corr,1.0,PROXY,"identity check: premium mcx_domestic_premium_inr_kg = 0, so basis must be 0"
window_2022-03-01_2022-08-31,proxy_spot_vs_duty_paid_parity,mcx_al_spot_inr_kg (panel PROXY),duty-paid LME cash parity,basis_mean_inr_kg,3e-06,PROXY,"identity check: premium mcx_domestic_premium_inr_kg = 0, so basis must be 0"
window_2022-03-01_2022-08-31,proxy_spot_vs_duty_paid_parity,mcx_al_spot_inr_kg (panel PROXY),duty-paid LME cash parity,basis_std_inr_kg,2.9e-05,PROXY,"identity check: premium mcx_domestic_premium_inr_kg = 0, so basis must be 0"
window_2022-03-01_2022-08-31,proxy_spot_vs_duty_paid_parity,mcx_al_spot_inr_kg (panel PROXY),duty-paid LME cash parity,basis_mean_inr_t,0.003392,PROXY,"identity check: premium mcx_domestic_premium_inr_kg = 0, so basis must be 0"
window_2022-03-01_2022-08-31,proxy_spot_vs_duty_paid_parity,mcx_al_spot_inr_kg (panel PROXY),duty-paid LME cash parity,daily_vol_a,0.023331,PROXY,"identity check: premium mcx_domestic_premium_inr_kg = 0, so basis must be 0"
window_2022-03-01_2022-08-31,proxy_spot_vs_duty_paid_parity,mcx_al_spot_inr_kg (panel PROXY),duty-paid LME cash parity,daily_vol_b,0.023331,PROXY,"identity check: premium mcx_domestic_premium_inr_kg = 0, so basis must be 0"
panel_2018-01-02_2022-12-30,proxy_spot_vs_duty_paid_parity,mcx_al_spot_inr_kg (panel PROXY),duty-paid LME cash parity,n_common_days,1264.0,PROXY,"identity check: premium mcx_domestic_premium_inr_kg = 0, so basis must be 0"
panel_2018-01-02_2022-12-30,proxy_spot_vs_duty_paid_parity,mcx_al_spot_inr_kg (panel PROXY),duty-paid LME cash parity,level_corr,1.0,PROXY,"identity check: premium mcx_domestic_premium_inr_kg = 0, so basis must be 0"
panel_2018-01-02_2022-12-30,proxy_spot_vs_duty_paid_parity,mcx_al_spot_inr_kg (panel PROXY),duty-paid LME cash parity,daily_logret_corr,1.0,PROXY,"identity check: premium mcx_domestic_premium_inr_kg = 0, so basis must be 0"
panel_2018-01-02_2022-12-30,proxy_spot_vs_duty_paid_parity,mcx_al_spot_inr_kg (panel PROXY),duty-paid LME cash parity,weekly_logret_corr,1.0,PROXY,"identity check: premium mcx_domestic_premium_inr_kg = 0, so basis must be 0"
panel_2018-01-02_2022-12-30,proxy_spot_vs_duty_paid_parity,mcx_al_spot_inr_kg (panel PROXY),duty-paid LME cash parity,basis_mean_inr_kg,1e-06,PROXY,"identity check: premium mcx_domestic_premium_inr_kg = 0, so basis must be 0"
panel_2018-01-02_2022-12-30,proxy_spot_vs_duty_paid_parity,mcx_al_spot_inr_kg (panel PROXY),duty-paid LME cash parity,basis_std_inr_kg,2.9e-05,PROXY,"identity check: premium mcx_domestic_premium_inr_kg = 0, so basis must be 0"
panel_2018-01-02_2022-12-30,proxy_spot_vs_duty_paid_parity,mcx_al_spot_inr_kg (panel PROXY),duty-paid LME cash parity,basis_mean_inr_t,0.001067,PROXY,"identity check: premium mcx_domestic_premium_inr_kg = 0, so basis must be 0"
panel_2018-01-02_2022-12-30,proxy_spot_vs_duty_paid_parity,mcx_al_spot_inr_kg (panel PROXY),duty-paid LME cash parity,daily_vol_a,0.015312,PROXY,"identity check: premium mcx_domestic_premium_inr_kg = 0, so basis must be 0"
panel_2018-01-02_2022-12-30,proxy_spot_vs_duty_paid_parity,mcx_al_spot_inr_kg (panel PROXY),duty-paid LME cash parity,daily_vol_b,0.015312,PROXY,"identity check: premium mcx_domestic_premium_inr_kg = 0, so basis must be 0"
window_2022-03-01_2022-08-31,mirror_m1_vs_duty_paid_parity,third-party mirror nearest contract (PROXY),duty-paid LME cash parity,n_common_days,125.0,PROXY,the informative pair: observed-style MCX closes against the parity the anchor is built on
window_2022-03-01_2022-08-31,mirror_m1_vs_duty_paid_parity,third-party mirror nearest contract (PROXY),duty-paid LME cash parity,level_corr,0.98802,PROXY,the informative pair: observed-style MCX closes against the parity the anchor is built on
window_2022-03-01_2022-08-31,mirror_m1_vs_duty_paid_parity,third-party mirror nearest contract (PROXY),duty-paid LME cash parity,daily_logret_corr,0.5653,PROXY,the informative pair: observed-style MCX closes against the parity the anchor is built on
window_2022-03-01_2022-08-31,mirror_m1_vs_duty_paid_parity,third-party mirror nearest contract (PROXY),duty-paid LME cash parity,weekly_logret_corr,0.934753,PROXY,the informative pair: observed-style MCX closes against the parity the anchor is built on
window_2022-03-01_2022-08-31,mirror_m1_vs_duty_paid_parity,third-party mirror nearest contract (PROXY),duty-paid LME cash parity,basis_mean_inr_kg,0.103763,PROXY,the informative pair: observed-style MCX closes against the parity the anchor is built on
window_2022-03-01_2022-08-31,mirror_m1_vs_duty_paid_parity,third-party mirror nearest contract (PROXY),duty-paid LME cash parity,basis_std_inr_kg,6.277,PROXY,the informative pair: observed-style MCX closes against the parity the anchor is built on
window_2022-03-01_2022-08-31,mirror_m1_vs_duty_paid_parity,third-party mirror nearest contract (PROXY),duty-paid LME cash parity,basis_mean_inr_t,103.762961,PROXY,the informative pair: observed-style MCX closes against the parity the anchor is built on
window_2022-03-01_2022-08-31,mirror_m1_vs_duty_paid_parity,third-party mirror nearest contract (PROXY),duty-paid LME cash parity,daily_vol_a,0.020006,PROXY,the informative pair: observed-style MCX closes against the parity the anchor is built on
window_2022-03-01_2022-08-31,mirror_m1_vs_duty_paid_parity,third-party mirror nearest contract (PROXY),duty-paid LME cash parity,daily_vol_b,0.023185,PROXY,the informative pair: observed-style MCX closes against the parity the anchor is built on
panel_2018-01-02_2022-12-30,mirror_m1_vs_duty_paid_parity,third-party mirror nearest contract (PROXY),duty-paid LME cash parity,n_common_days,1250.0,PROXY,the informative pair: observed-style MCX closes against the parity the anchor is built on
panel_2018-01-02_2022-12-30,mirror_m1_vs_duty_paid_parity,third-party mirror nearest contract (PROXY),duty-paid LME cash parity,level_corr,0.982639,PROXY,the informative pair: observed-style MCX closes against the parity the anchor is built on
panel_2018-01-02_2022-12-30,mirror_m1_vs_duty_paid_parity,third-party mirror nearest contract (PROXY),duty-paid LME cash parity,daily_logret_corr,0.495632,PROXY,the informative pair: observed-style MCX closes against the parity the anchor is built on
panel_2018-01-02_2022-12-30,mirror_m1_vs_duty_paid_parity,third-party mirror nearest contract (PROXY),duty-paid LME cash parity,weekly_logret_corr,0.836887,PROXY,the informative pair: observed-style MCX closes against the parity the anchor is built on
panel_2018-01-02_2022-12-30,mirror_m1_vs_duty_paid_parity,third-party mirror nearest contract (PROXY),duty-paid LME cash parity,basis_mean_inr_kg,-0.707429,PROXY,the informative pair: observed-style MCX closes against the parity the anchor is built on
panel_2018-01-02_2022-12-30,mirror_m1_vs_duty_paid_parity,third-party mirror nearest contract (PROXY),duty-paid LME cash parity,basis_std_inr_kg,7.678418,PROXY,the informative pair: observed-style MCX closes against the parity the anchor is built on
panel_2018-01-02_2022-12-30,mirror_m1_vs_duty_paid_parity,third-party mirror nearest contract (PROXY),duty-paid LME cash parity,basis_mean_inr_t,-707.428619,PROXY,the informative pair: observed-style MCX closes against the parity the anchor is built on
panel_2018-01-02_2022-12-30,mirror_m1_vs_duty_paid_parity,third-party mirror nearest contract (PROXY),duty-paid LME cash parity,daily_vol_a,0.013941,PROXY,the informative pair: observed-style MCX closes against the parity the anchor is built on
panel_2018-01-02_2022-12-30,mirror_m1_vs_duty_paid_parity,third-party mirror nearest contract (PROXY),duty-paid LME cash parity,daily_vol_b,0.015402,PROXY,the informative pair: observed-style MCX closes against the parity the anchor is built on
window_2022-03-01_2022-08-31,mirror_m1_vs_proxy_m1,third-party mirror nearest contract (PROXY),mcx_al_m1_inr_kg (panel PROXY),n_common_days,125.0,PROXY,basis the parity anchor ignores; reproduces docs/research/market_data_notes.md §6.4
window_2022-03-01_2022-08-31,mirror_m1_vs_proxy_m1,third-party mirror nearest contract (PROXY),mcx_al_m1_inr_kg (panel PROXY),level_corr,0.988081,PROXY,basis the parity anchor ignores; reproduces docs/research/market_data_notes.md §6.4
window_2022-03-01_2022-08-31,mirror_m1_vs_proxy_m1,third-party mirror nearest contract (PROXY),mcx_al_m1_inr_kg (panel PROXY),daily_logret_corr,0.562806,PROXY,basis the parity anchor ignores; reproduces docs/research/market_data_notes.md §6.4
window_2022-03-01_2022-08-31,mirror_m1_vs_proxy_m1,third-party mirror nearest contract (PROXY),mcx_al_m1_inr_kg (panel PROXY),weekly_logret_corr,0.937024,PROXY,basis the parity anchor ignores; reproduces docs/research/market_data_notes.md §6.4
window_2022-03-01_2022-08-31,mirror_m1_vs_proxy_m1,third-party mirror nearest contract (PROXY),mcx_al_m1_inr_kg (panel PROXY),basis_mean_inr_kg,-0.327076,PROXY,basis the parity anchor ignores; reproduces docs/research/market_data_notes.md §6.4
window_2022-03-01_2022-08-31,mirror_m1_vs_proxy_m1,third-party mirror nearest contract (PROXY),mcx_al_m1_inr_kg (panel PROXY),basis_std_inr_kg,6.285737,PROXY,basis the parity anchor ignores; reproduces docs/research/market_data_notes.md §6.4
window_2022-03-01_2022-08-31,mirror_m1_vs_proxy_m1,third-party mirror nearest contract (PROXY),mcx_al_m1_inr_kg (panel PROXY),basis_mean_inr_t,-327.076,PROXY,basis the parity anchor ignores; reproduces docs/research/market_data_notes.md §6.4
window_2022-03-01_2022-08-31,mirror_m1_vs_proxy_m1,third-party mirror nearest contract (PROXY),mcx_al_m1_inr_kg (panel PROXY),daily_vol_a,0.020006,PROXY,basis the parity anchor ignores; reproduces docs/research/market_data_notes.md §6.4
window_2022-03-01_2022-08-31,mirror_m1_vs_proxy_m1,third-party mirror nearest contract (PROXY),mcx_al_m1_inr_kg (panel PROXY),daily_vol_b,0.023104,PROXY,basis the parity anchor ignores; reproduces docs/research/market_data_notes.md §6.4
panel_2018-01-02_2022-12-30,mirror_m1_vs_proxy_m1,third-party mirror nearest contract (PROXY),mcx_al_m1_inr_kg (panel PROXY),n_common_days,1250.0,PROXY,basis the parity anchor ignores; reproduces docs/research/market_data_notes.md §6.4
panel_2018-01-02_2022-12-30,mirror_m1_vs_proxy_m1,third-party mirror nearest contract (PROXY),mcx_al_m1_inr_kg (panel PROXY),level_corr,0.982471,PROXY,basis the parity anchor ignores; reproduces docs/research/market_data_notes.md §6.4
panel_2018-01-02_2022-12-30,mirror_m1_vs_proxy_m1,third-party mirror nearest contract (PROXY),mcx_al_m1_inr_kg (panel PROXY),daily_logret_corr,0.499124,PROXY,basis the parity anchor ignores; reproduces docs/research/market_data_notes.md §6.4
panel_2018-01-02_2022-12-30,mirror_m1_vs_proxy_m1,third-party mirror nearest contract (PROXY),mcx_al_m1_inr_kg (panel PROXY),weekly_logret_corr,0.844478,PROXY,basis the parity anchor ignores; reproduces docs/research/market_data_notes.md §6.4
panel_2018-01-02_2022-12-30,mirror_m1_vs_proxy_m1,third-party mirror nearest contract (PROXY),mcx_al_m1_inr_kg (panel PROXY),basis_mean_inr_kg,-1.031202,PROXY,basis the parity anchor ignores; reproduces docs/research/market_data_notes.md §6.4
panel_2018-01-02_2022-12-30,mirror_m1_vs_proxy_m1,third-party mirror nearest contract (PROXY),mcx_al_m1_inr_kg (panel PROXY),basis_std_inr_kg,7.726018,PROXY,basis the parity anchor ignores; reproduces docs/research/market_data_notes.md §6.4
panel_2018-01-02_2022-12-30,mirror_m1_vs_proxy_m1,third-party mirror nearest contract (PROXY),mcx_al_m1_inr_kg (panel PROXY),basis_mean_inr_t,-1031.20248,PROXY,basis the parity anchor ignores; reproduces docs/research/market_data_notes.md §6.4
panel_2018-01-02_2022-12-30,mirror_m1_vs_proxy_m1,third-party mirror nearest contract (PROXY),mcx_al_m1_inr_kg (panel PROXY),daily_vol_a,0.013941,PROXY,basis the parity anchor ignores; reproduces docs/research/market_data_notes.md §6.4
panel_2018-01-02_2022-12-30,mirror_m1_vs_proxy_m1,third-party mirror nearest contract (PROXY),mcx_al_m1_inr_kg (panel PROXY),daily_vol_b,0.015416,PROXY,basis the parity anchor ignores; reproduces docs/research/market_data_notes.md §6.4
window_2022-03-01_2022-08-31,mirror_m2_vs_proxy_m2,"third-party mirror 2M contract (PROXY, partly stale)",mcx_al_m2_inr_kg (panel PROXY),n_common_days,125.0,PROXY,USEC_MUN anchor contract; mirror 2M has stale days
window_2022-03-01_2022-08-31,mirror_m2_vs_proxy_m2,"third-party mirror 2M contract (PROXY, partly stale)",mcx_al_m2_inr_kg (panel PROXY),level_corr,0.98603,PROXY,USEC_MUN anchor contract; mirror 2M has stale days
window_2022-03-01_2022-08-31,mirror_m2_vs_proxy_m2,"third-party mirror 2M contract (PROXY, partly stale)",mcx_al_m2_inr_kg (panel PROXY),daily_logret_corr,0.406982,PROXY,USEC_MUN anchor contract; mirror 2M has stale days
window_2022-03-01_2022-08-31,mirror_m2_vs_proxy_m2,"third-party mirror 2M contract (PROXY, partly stale)",mcx_al_m2_inr_kg (panel PROXY),weekly_logret_corr,0.907721,PROXY,USEC_MUN anchor contract; mirror 2M has stale days
window_2022-03-01_2022-08-31,mirror_m2_vs_proxy_m2,"third-party mirror 2M contract (PROXY, partly stale)",mcx_al_m2_inr_kg (panel PROXY),basis_mean_inr_kg,1.625778,PROXY,USEC_MUN anchor contract; mirror 2M has stale days
window_2022-03-01_2022-08-31,mirror_m2_vs_proxy_m2,"third-party mirror 2M contract (PROXY, partly stale)",mcx_al_m2_inr_kg (panel PROXY),basis_std_inr_kg,6.281251,PROXY,USEC_MUN anchor contract; mirror 2M has stale days
window_2022-03-01_2022-08-31,mirror_m2_vs_proxy_m2,"third-party mirror 2M contract (PROXY, partly stale)",mcx_al_m2_inr_kg (panel PROXY),basis_mean_inr_t,1625.7776,PROXY,USEC_MUN anchor contract; mirror 2M has stale days
window_2022-03-01_2022-08-31,mirror_m2_vs_proxy_m2,"third-party mirror 2M contract (PROXY, partly stale)",mcx_al_m2_inr_kg (panel PROXY),daily_vol_a,0.018577,PROXY,USEC_MUN anchor contract; mirror 2M has stale days
window_2022-03-01_2022-08-31,mirror_m2_vs_proxy_m2,"third-party mirror 2M contract (PROXY, partly stale)",mcx_al_m2_inr_kg (panel PROXY),daily_vol_b,0.023112,PROXY,USEC_MUN anchor contract; mirror 2M has stale days
panel_2018-01-02_2022-12-30,mirror_m2_vs_proxy_m2,"third-party mirror 2M contract (PROXY, partly stale)",mcx_al_m2_inr_kg (panel PROXY),n_common_days,1231.0,PROXY,USEC_MUN anchor contract; mirror 2M has stale days
panel_2018-01-02_2022-12-30,mirror_m2_vs_proxy_m2,"third-party mirror 2M contract (PROXY, partly stale)",mcx_al_m2_inr_kg (panel PROXY),level_corr,0.981856,PROXY,USEC_MUN anchor contract; mirror 2M has stale days
panel_2018-01-02_2022-12-30,mirror_m2_vs_proxy_m2,"third-party mirror 2M contract (PROXY, partly stale)",mcx_al_m2_inr_kg (panel PROXY),daily_logret_corr,0.359768,PROXY,USEC_MUN anchor contract; mirror 2M has stale days
panel_2018-01-02_2022-12-30,mirror_m2_vs_proxy_m2,"third-party mirror 2M contract (PROXY, partly stale)",mcx_al_m2_inr_kg (panel PROXY),weekly_logret_corr,0.788361,PROXY,USEC_MUN anchor contract; mirror 2M has stale days
panel_2018-01-02_2022-12-30,mirror_m2_vs_proxy_m2,"third-party mirror 2M contract (PROXY, partly stale)",mcx_al_m2_inr_kg (panel PROXY),basis_mean_inr_kg,0.412758,PROXY,USEC_MUN anchor contract; mirror 2M has stale days
panel_2018-01-02_2022-12-30,mirror_m2_vs_proxy_m2,"third-party mirror 2M contract (PROXY, partly stale)",mcx_al_m2_inr_kg (panel PROXY),basis_std_inr_kg,7.926561,PROXY,USEC_MUN anchor contract; mirror 2M has stale days
panel_2018-01-02_2022-12-30,mirror_m2_vs_proxy_m2,"third-party mirror 2M contract (PROXY, partly stale)",mcx_al_m2_inr_kg (panel PROXY),basis_mean_inr_t,412.758002,PROXY,USEC_MUN anchor contract; mirror 2M has stale days
panel_2018-01-02_2022-12-30,mirror_m2_vs_proxy_m2,"third-party mirror 2M contract (PROXY, partly stale)",mcx_al_m2_inr_kg (panel PROXY),daily_vol_a,0.013757,PROXY,USEC_MUN anchor contract; mirror 2M has stale days
panel_2018-01-02_2022-12-30,mirror_m2_vs_proxy_m2,"third-party mirror 2M contract (PROXY, partly stale)",mcx_al_m2_inr_kg (panel PROXY),daily_vol_b,0.015519,PROXY,USEC_MUN anchor contract; mirror 2M has stale days
adc12_2023-12-01_2025-12-11,adc12_vs_duty_paid_cash_parity,"BigMint ADC12 ex-Delhi, non-OEM basis (via AlCircle)","duty-paid LME cash parity, day before publication",n,15.0,PROXY,"Phase 0 evidence (data/interim/price_evidence/adc12_anchor_summary.csv); 2023–25, not 2022"
adc12_2023-12-01_2025-12-11,adc12_vs_duty_paid_cash_parity,"BigMint ADC12 ex-Delhi, non-OEM basis (via AlCircle)","duty-paid LME cash parity, day before publication",median_premium_inr_t,-8955.0453,PROXY,"Phase 0 evidence (data/interim/price_evidence/adc12_anchor_summary.csv); 2023–25, not 2022"
adc12_2023-12-01_2025-12-11,adc12_vs_duty_paid_cash_parity,"BigMint ADC12 ex-Delhi, non-OEM basis (via AlCircle)","duty-paid LME cash parity, day before publication",mean_premium_inr_t,-16422.0798,PROXY,"Phase 0 evidence (data/interim/price_evidence/adc12_anchor_summary.csv); 2023–25, not 2022"
adc12_2023-12-01_2025-12-11,adc12_vs_duty_paid_cash_parity,"BigMint ADC12 ex-Delhi, non-OEM basis (via AlCircle)","duty-paid LME cash parity, day before publication",std_premium_inr_t,23965.198,PROXY,"Phase 0 evidence (data/interim/price_evidence/adc12_anchor_summary.csv); 2023–25, not 2022"
adc12_2023-12-01_2025-12-11,adc12_vs_duty_paid_cash_parity,"BigMint ADC12 ex-Delhi, non-OEM basis (via AlCircle)","duty-paid LME cash parity, day before publication",corr_premium_parity,-0.9321,PROXY,"Phase 0 evidence (data/interim/price_evidence/adc12_anchor_summary.csv); 2023–25, not 2022"
adc12_2023-12-01_2025-12-11,adc12_vs_duty_paid_cash_parity,"BigMint ADC12 ex-Delhi, non-OEM basis (via AlCircle)","duty-paid LME cash parity, day before publication",passthrough_slope_adc12_on_parity,0.1538,PROXY,"Phase 0 evidence (data/interim/price_evidence/adc12_anchor_summary.csv); 2023–25, not 2022"
adc12_2023-12-01_2025-12-11,adc12_vs_duty_paid_cash_parity,"BigMint ADC12 ex-Delhi, non-OEM basis (via AlCircle)","duty-paid LME cash parity, day before publication",median_premium_vs_trailing120_inr_t,-2070.8536,PROXY,"Phase 0 evidence (data/interim/price_evidence/adc12_anchor_summary.csv); 2023–25, not 2022"
adc12_2023-12-01_2025-12-11,adc12_vs_duty_paid_cash_parity,"BigMint ADC12 ex-Delhi, non-OEM basis (via AlCircle)","duty-paid LME cash parity, day before publication",std_premium_vs_trailing120_inr_t,17533.2149,PROXY,"Phase 0 evidence (data/interim/price_evidence/adc12_anchor_summary.csv); 2023–25, not 2022"
