date,in_window,trade_id,hedge_id,contract_month,panel_expiry_slot,direct_expiry,roll_deadline,direction,lots,lot_mt,action,fill_inr_kg,settle_inr_kg,prev_settle_inr_kg,vm_inr,cum_vm_inr,txn_cost_inr,contract_value_inr,im_required_inr,im_change_inr,im_stress_012_inr,im_stress_015_inr,net_margin_cash_inr,cum_margin_cash_inr,funding_on_margin_inr,mcx_series
2022-03-15,True,T01,T01-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-200,5.0,hold,,267.2869,283.1098,15822924.77,27118100.33,0.0,267286883.16,26728688.32,-1582292.48,32074425.98,40093032.47,17405217.25,201120.51,-4477.78,PANEL_PROXY
2022-03-15,True,T01,T01-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-100,5.0,hold,,267.2869,283.1098,7911462.39,13559050.16,0.0,133643441.58,13364344.16,-791146.24,16037212.99,20046516.24,8702608.62,100560.26,-2238.89,PANEL_PROXY
2022-03-15,True,T02,T02-MCX-1,2022-03,2022-03-31,2022-03-31,2022-03-22,SELL,-74,5.0,hold,,266.4879,282.2636,5837014.22,7893337.99,0.0,98600526.51,9860052.65,-583701.42,11832063.18,14790078.98,6420715.65,-2035651.72,-2200.97,PANEL_PROXY
2022-03-16,True,T01,T01-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-200,5.0,hold,,273.9634,267.2869,-6676529.02,20441571.31,0.0,273963412.18,27396341.22,667652.9,32875609.46,41094511.83,-7344181.92,-7143061.4,52.35,PANEL_PROXY
2022-03-16,True,T01,T01-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-100,5.0,hold,,273.9634,267.2869,-3338264.51,10220785.65,0.0,136981706.09,13698170.61,333826.45,16437804.73,20547255.91,-3672090.96,-3571530.7,26.17,PANEL_PROXY
2022-03-16,True,T02,T02-MCX-1,2022-03,2022-03-31,2022-03-31,2022-03-22,SELL,-74,5.0,hold,,273.1444,266.4879,-2462900.24,5430437.75,0.0,101063426.74,10106342.67,246290.02,12127611.21,15159514.01,-2709190.26,-4744841.98,-529.83,PANEL_PROXY
2022-03-17,True,T01,T01-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-200,5.0,hold,,271.2421,273.9634,2721316.14,23162887.44,0.0,271242096.04,27124209.6,-272131.61,32549051.53,40686314.41,2993447.75,-4149613.66,-1859.15,PANEL_PROXY
2022-03-17,True,T01,T01-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-100,5.0,hold,,271.2421,273.9634,1360658.07,11581443.72,0.0,135621048.02,13562104.8,-136065.81,16274525.76,20343157.2,1496723.87,-2074806.83,-929.58,PANEL_PROXY
2022-03-17,True,T02,T02-MCX-1,2022-03,2022-03-31,2022-03-31,2022-03-22,SELL,-74,5.0,hold,,270.4311,273.1444,1003907.81,6434345.56,0.0,100059518.93,10005951.89,-100390.78,12007142.27,15008927.84,1104298.59,-3640543.4,-1234.96,PANEL_PROXY
2022-03-18,True,T01,T01-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-200,5.0,hold,,279.7298,271.2421,-8487744.39,14675143.06,0.0,279729840.43,27972984.04,848774.44,33567580.85,41959476.06,-9336518.83,-13486132.48,-1080.04,PANEL_PROXY
2022-03-18,True,T01,T01-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-100,5.0,hold,,279.7298,271.2421,-4243872.19,7337571.53,0.0,139864920.22,13986492.02,424387.22,16783790.43,20979738.03,-4668259.41,-6743066.24,-540.02,PANEL_PROXY
2022-03-18,True,T02,T02-MCX-1,2022-03,2022-03-31,2022-03-31,2022-03-22,SELL,-74,5.0,hold,,278.8934,270.4311,-3131044.11,3303301.45,0.0,103190563.04,10319056.3,313104.41,12382867.56,15478584.46,-3444148.52,-7084691.91,-947.54,PANEL_PROXY
2022-03-21,True,T01,T01-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-200,5.0,hold,,291.6157,279.7298,-11885826.29,2789316.76,0.0,291615666.73,29161566.67,1188582.63,34993880.01,43742350.01,-13074408.92,-26560541.4,-10530.27,PANEL_PROXY
2022-03-21,True,T01,T01-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-100,5.0,hold,,291.6157,279.7298,-5942913.15,1394658.38,0.0,145807833.36,14580783.34,594291.31,17496940.0,21871175.0,-6537204.46,-13280270.7,-5265.13,PANEL_PROXY
2022-03-21,True,T02,T02-MCX-1,2022-03,2022-03-31,2022-03-31,2022-03-22,SELL,-74,5.0,hold,,290.7434,278.8934,-4384506.07,-1081204.62,0.0,107575069.11,10757506.91,438450.61,12909008.29,16136260.37,-4822956.67,-11907648.59,-5531.88,PANEL_PROXY
2022-03-22,True,T01,T01-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-200,5.0,hold,,293.7113,291.6157,-2095672.72,693644.05,0.0,293711339.44,29371133.94,209567.27,35245360.73,44056700.92,-2305239.99,-28865781.39,-6913.02,PANEL_PROXY
2022-03-22,True,T01,T01-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-100,5.0,hold,,293.7113,291.6157,-1047836.36,346822.02,0.0,146855669.72,14685566.97,104783.64,17622680.37,22028350.46,-1152619.99,-14432890.7,-3456.51,PANEL_PROXY
2022-03-22,True,T02,T02-MCX-1,2022-03,2022-03-31,2022-03-31,2022-03-22,SELL,-74,5.0,roll_out,292.9327,292.8327,290.7434,-773046.12,-1854250.74,-69515.53,108348115.23,0.0,-10757506.91,0.0,0.0,9914945.26,-1992703.33,-3099.25,PANEL_PROXY
2022-03-22,True,T02,T02-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-74,5.0,roll_in,293.6113,293.7113,,0.0,0.0,-69590.86,108673195.59,10867319.56,10867319.56,13040783.47,16300979.34,-10936910.42,-10936910.42,0.0,PANEL_PROXY
2022-03-23,True,T01,T01-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-200,5.0,hold,,295.6989,293.7113,-1987606.28,-1293962.24,0.0,295698945.73,29569894.57,198760.63,35483873.49,44354841.86,-2186366.91,-31052148.31,-7513.01,PANEL_PROXY
2022-03-23,True,T01,T01-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-100,5.0,hold,,295.6989,293.7113,-993803.14,-646981.12,0.0,147849472.86,14784947.29,99380.31,17741936.74,22177420.93,-1093183.46,-15526074.15,-3756.51,PANEL_PROXY
2022-03-23,True,T02,T02-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-74,5.0,hold,,295.6989,293.7113,-735414.33,-735414.33,0.0,109408609.92,10940860.99,73541.43,13129033.19,16411291.49,-808955.76,-11745866.18,-2846.59,PANEL_PROXY
2022-03-23,True,T03,T03-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-143,5.0,entry,295.5989,295.6989,,0.0,0.0,-134905.97,211424746.19,21142474.62,21142474.62,25370969.54,31713711.93,-21277380.59,-21277380.59,0.0,PANEL_PROXY
2022-03-24,True,T01,T01-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-200,5.0,hold,,304.179,295.6989,-8480004.44,-9773966.67,0.0,304178950.16,30417895.02,848000.44,36501474.02,45626842.52,-9328004.88,-40380153.19,-8082.07,PANEL_PROXY
2022-03-24,True,T01,T01-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-100,5.0,hold,,304.179,295.6989,-4240002.22,-4886983.34,0.0,152089475.08,15208947.51,424000.22,18250737.01,22813421.26,-4664002.44,-20190076.59,-4041.03,PANEL_PROXY
2022-03-24,True,T02,T02-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-74,5.0,hold,,304.179,295.6989,-3137601.64,-3873015.97,0.0,112546211.56,11254621.16,313760.16,13505545.39,16881931.73,-3451361.81,-15197227.98,-3057.14,PANEL_PROXY
2022-03-24,True,T03,T03-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-143,5.0,hold,,304.179,295.6989,-6063203.17,-6063203.17,0.0,217487949.37,21748794.94,606320.32,26098553.92,32623192.4,-6669523.49,-27946904.08,-5537.95,PANEL_PROXY
2022-03-25,True,T01,T01-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-200,5.0,hold,,296.5787,304.179,7600264.38,-2173702.3,0.0,296578685.79,29657868.58,-760026.44,35589442.29,44486802.87,8360290.81,-32019862.37,-10509.9,PANEL_PROXY
2022-03-25,True,T01,T01-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-100,5.0,hold,,296.5787,304.179,3800132.19,-1086851.15,0.0,148289342.89,14828934.29,-380013.22,17794721.15,22243401.43,4180145.41,-16009931.19,-5254.95,PANEL_PROXY
2022-03-25,True,T02,T02-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-74,5.0,hold,,296.5787,304.179,2812097.82,-1060918.15,0.0,109734113.74,10973411.37,-281209.78,13168093.65,16460117.06,3093307.6,-12103920.38,-3955.44,PANEL_PROXY
2022-03-25,True,T03,T03-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-143,5.0,hold,,296.5787,304.179,5434189.03,-629014.14,0.0,212053760.34,21205376.03,-543418.9,25446451.24,31808064.05,5977607.93,-21969296.15,-7273.85,PANEL_PROXY
2022-03-28,True,T01,T01-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-200,5.0,hold,,298.152,296.5787,-1573285.24,-3746987.54,0.0,298151971.02,29815197.1,157328.52,35778236.52,44722795.65,-1730613.76,-33750476.13,-25001.81,PANEL_PROXY
2022-03-28,True,T01,T01-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-100,5.0,hold,,298.152,296.5787,-786642.62,-1873493.77,0.0,149075985.51,14907598.55,78664.26,17889118.26,22361397.83,-865306.88,-16875238.07,-12500.91,PANEL_PROXY
2022-03-28,True,T02,T02-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-74,5.0,hold,,298.152,296.5787,-582115.54,-1643033.69,0.0,110316229.28,11031622.93,58211.55,13237947.51,16547434.39,-640327.09,-12744247.47,-9451.01,PANEL_PROXY
2022-03-28,True,T03,T03-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-143,5.0,hold,,298.152,296.5787,-1124898.95,-1753913.09,0.0,213178659.28,21317865.93,112489.89,25581439.11,31976798.89,-1237388.84,-23206684.99,-17154.11,PANEL_PROXY
2022-03-29,True,T01,T01-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-200,5.0,hold,,294.7458,298.152,3406196.81,-340790.73,0.0,294745774.22,29474577.42,-340619.68,35369492.91,44211866.13,3746816.49,-30003659.65,-8784.37,PANEL_PROXY
2022-03-29,True,T01,T01-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-100,5.0,hold,,294.7458,298.152,1703098.4,-170395.36,0.0,147372887.11,14737288.71,-170309.84,17684746.45,22105933.07,1873408.24,-15001829.82,-4392.19,PANEL_PROXY
2022-03-29,True,T02,T02-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-74,5.0,hold,,294.7458,298.152,1260292.82,-382740.87,0.0,109055936.46,10905593.65,-126029.28,13086712.38,16358390.47,1386322.1,-11357925.37,-3317.0,PANEL_PROXY
2022-03-29,True,T03,T03-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-143,5.0,hold,,294.7458,298.152,2435430.72,681517.63,0.0,210743228.57,21074322.86,-243543.07,25289187.43,31611484.28,2678973.79,-20527711.2,-6040.1,PANEL_PROXY
2022-03-30,True,T01,T01-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-200,5.0,hold,,288.8918,294.7458,5853964.62,5513173.89,0.0,288891809.59,28889180.96,-585396.46,34667017.15,43333771.44,6439361.08,-23564298.56,-7809.17,PANEL_PROXY
2022-03-30,True,T01,T01-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-100,5.0,hold,,288.8918,294.7458,2926982.31,2756586.95,0.0,144445904.8,14444590.48,-292698.23,17333508.58,21666885.72,3219680.54,-11782149.28,-3904.59,PANEL_PROXY
2022-03-30,True,T02,T02-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-74,5.0,hold,,288.8918,294.7458,2165966.91,1783226.04,0.0,106889969.55,10688996.95,-216596.69,12826796.35,16033495.43,2382563.6,-8975361.77,-2956.17,PANEL_PROXY
2022-03-30,True,T03,T03-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-143,5.0,hold,,288.8918,294.7458,4185584.71,4867102.33,0.0,206557643.86,20655764.39,-418558.47,24786917.26,30983646.58,4604143.18,-15923568.03,-5342.83,PANEL_PROXY
2022-03-31,True,T01,T01-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-200,5.0,hold,,288.2571,288.8918,634754.76,6147928.65,0.0,288257054.84,28825705.48,-63475.48,34590846.58,43238558.23,698230.23,-22866068.33,-6133.17,PANEL_PROXY
2022-03-31,True,T01,T01-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-100,5.0,hold,,288.2571,288.8918,317377.38,3073964.33,0.0,144128527.42,14412852.74,-31737.74,17295423.29,21619279.11,349115.12,-11433034.16,-3066.59,PANEL_PROXY
2022-03-31,True,T02,T02-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-74,5.0,hold,,288.2571,288.8918,234859.26,2018085.3,0.0,106655110.29,10665511.03,-23485.93,12798613.23,15998266.54,258345.19,-8717016.58,-2336.05,PANEL_PROXY
2022-03-31,True,T03,T03-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-143,5.0,hold,,288.2571,288.8918,453849.65,5320951.99,0.0,206103794.21,20610379.42,-45384.97,24732455.3,30915569.13,499234.62,-15424333.41,-4144.49,PANEL_PROXY
2022-04-01,True,T01,T01-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-200,5.0,hold,,287.3734,288.2571,883681.63,7031610.28,0.0,287373373.21,28737337.32,-88368.16,34484804.79,43106005.98,972049.79,-21894018.54,-5951.44,PANEL_PROXY
2022-04-01,True,T01,T01-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-100,5.0,hold,,287.3734,288.2571,441840.81,3515805.14,0.0,143686686.61,14368668.66,-44184.08,17242402.39,21553002.99,486024.89,-10947009.27,-2975.72,PANEL_PROXY
2022-04-01,True,T02,T02-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-74,5.0,hold,,287.3734,288.2571,326962.2,2345047.51,0.0,106328148.09,10632814.81,-32696.22,12759377.77,15949222.21,359658.42,-8357358.16,-2268.81,PANEL_PROXY
2022-04-01,True,T03,T03-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-143,5.0,hold,,287.3734,288.2571,631832.36,5952784.35,0.0,205471961.85,20547196.18,-63183.24,24656635.42,30820794.28,695015.6,-14729317.81,-4014.55,PANEL_PROXY
2022-04-04,True,T01,T01-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-200,5.0,hold,,282.3334,287.3734,5039960.72,12071571.0,0.0,282333412.49,28233341.25,-503996.07,33880009.5,42350011.87,5543956.79,-16350061.75,-17095.33,PANEL_PROXY
2022-04-04,True,T01,T01-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-100,5.0,hold,,282.3334,287.3734,2519980.36,6035785.5,0.0,141166706.25,14116670.62,-251998.04,16940004.75,21175005.94,2771978.4,-8175030.87,-8547.66,PANEL_PROXY
2022-04-04,True,T02,T02-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-74,5.0,hold,,282.3334,287.3734,1864785.47,4209832.97,0.0,104463362.62,10446336.26,-186478.55,12535603.51,15669504.39,2051264.01,-6306094.15,-6525.61,PANEL_PROXY
2022-04-04,True,T03,T03-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-143,5.0,hold,,282.3334,287.3734,3603571.91,9556356.26,0.0,201868389.93,20186838.99,-360357.19,24224206.79,30280258.49,3963929.11,-10765388.7,-11500.97,PANEL_PROXY
2022-04-05,True,T01,T01-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-200,5.0,hold,,279.2126,282.3334,3120858.67,15192429.67,0.0,279212553.82,27921255.38,-312085.87,33505506.46,41881883.07,3432944.54,-12917117.21,-4255.5,PANEL_PROXY
2022-04-05,True,T01,T01-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-100,5.0,hold,,279.2126,282.3334,1560429.34,7596214.84,0.0,139606276.91,13960627.69,-156042.93,16752753.23,20940941.54,1716472.27,-6458558.6,-2127.75,PANEL_PROXY
2022-04-05,True,T02,T02-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-74,5.0,hold,,279.2126,282.3334,1154717.71,5364550.68,0.0,103308644.91,10330864.49,-115471.77,12397037.39,15496296.74,1270189.48,-5035904.67,-1641.31,PANEL_PROXY
2022-04-05,True,T03,T03-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-143,5.0,hold,,279.2126,282.3334,2231413.95,11787770.21,0.0,199636975.98,19963697.6,-223141.4,23956437.12,29945546.4,2454555.35,-8310833.36,-2801.95,PANEL_PROXY
2022-04-06,True,T01,T01-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-200,5.0,hold,,283.3802,279.2126,-4167633.89,11024795.78,0.0,283380187.7,28338018.77,416763.39,34005622.52,42507028.16,-4584397.28,-17501514.48,-3361.99,PANEL_PROXY
2022-04-06,True,T01,T01-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-100,5.0,hold,,283.3802,279.2126,-2083816.94,5512397.89,0.0,141690093.85,14169009.39,208381.69,17002811.26,21253514.08,-2292198.64,-8750757.24,-1680.99,PANEL_PROXY
2022-04-06,True,T02,T02-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-74,5.0,hold,,283.3802,279.2126,-1542024.54,3822526.14,0.0,104850669.45,10485066.95,154202.45,12582080.33,15727600.42,-1696226.99,-6732131.66,-1310.71,PANEL_PROXY
2022-04-06,True,T03,T03-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-143,5.0,hold,,283.3802,279.2126,-2979858.23,8807911.99,0.0,202616834.21,20261683.42,297985.82,24314020.11,30392525.13,-3277844.05,-11588677.41,-2163.09,PANEL_PROXY
2022-04-06,True,T04,T04-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-87,5.0,entry,283.2802,283.3802,,0.0,0.0,-80468.06,123270381.65,12327038.17,12327038.17,14792445.8,18490557.25,-12407506.23,-12407506.23,0.0,PANEL_PROXY
2022-04-07,True,T01,T01-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-200,5.0,hold,,275.8915,283.3802,7488667.94,18513463.73,0.0,275891519.76,27589151.98,-748866.79,33106982.37,41383727.96,8237534.74,-9263979.74,-4555.19,PANEL_PROXY
2022-04-07,True,T01,T01-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-100,5.0,hold,,275.8915,283.3802,3744333.97,9256731.86,0.0,137945759.88,13794575.99,-374433.4,16553491.19,20691863.98,4118767.37,-4631989.87,-2277.59,PANEL_PROXY
2022-04-07,True,T02,T02-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-74,5.0,hold,,275.8915,283.3802,2770807.14,6593333.28,0.0,102079862.31,10207986.23,-277080.71,12249583.48,15311979.35,3047887.85,-3684243.81,-1752.2,PANEL_PROXY
2022-04-07,True,T03,T03-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-143,5.0,hold,,275.8915,283.3802,5354397.58,14162309.56,0.0,197262436.63,19726243.66,-535439.76,23671492.4,29589365.49,5889837.34,-5698840.07,-3016.23,PANEL_PROXY
2022-04-07,True,T04,T04-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-87,5.0,hold,,275.8915,283.3802,3257570.55,3257570.55,0.0,120012811.1,12001281.11,-325757.06,14401537.33,18001921.66,3583327.61,-8824178.62,-3229.35,PANEL_PROXY
2022-04-08,True,T01,T01-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-200,5.0,hold,,279.4133,275.8915,-3521800.15,14991663.58,0.0,279413319.91,27941331.99,352180.01,33529598.39,41911997.99,-3873980.16,-13137959.91,-2411.17,PANEL_PROXY
2022-04-08,True,T01,T01-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-100,5.0,hold,,279.4133,275.8915,-1760900.07,7495831.79,0.0,139706659.96,13970666.0,176090.01,16764799.19,20955998.99,-1936990.08,-6568979.95,-1205.59,PANEL_PROXY
2022-04-08,True,T02,T02-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-74,5.0,hold,,279.4133,275.8915,-1303066.06,5290267.23,0.0,103382928.37,10338292.84,130306.61,12405951.4,15507439.26,-1433372.66,-5117616.47,-958.91,PANEL_PROXY
2022-04-08,True,T03,T03-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-143,5.0,hold,,279.4133,275.8915,-2518087.11,11644222.46,0.0,199780523.74,19978052.37,251808.71,23973662.85,29967078.56,-2769895.82,-8468735.89,-1483.26,PANEL_PROXY
2022-04-08,True,T04,T04-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-87,5.0,hold,,279.4133,275.8915,-1531983.06,1725587.49,0.0,121544794.16,12154479.42,153198.31,14585375.3,18231719.12,-1685181.37,-10509359.99,-2296.7,PANEL_PROXY
2022-04-11,True,T01,T01-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-200,5.0,hold,,266.1944,279.4133,13218947.08,28210610.66,0.0,266194372.83,26619437.28,-1321894.71,31943324.74,39929155.92,14540841.79,1402881.88,-10258.41,PANEL_PROXY
2022-04-11,True,T01,T01-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-100,5.0,hold,,266.1944,279.4133,6609473.54,14105305.33,0.0,133097186.41,13309718.64,-660947.35,15971662.37,19964577.96,7270420.89,701440.94,-5129.2,PANEL_PROXY
2022-04-11,True,T02,T02-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-74,5.0,hold,,266.1944,279.4133,4891010.42,10181277.65,0.0,98491917.95,9849191.79,-489101.04,11819030.15,14773787.69,5380111.46,262494.99,-3995.95,PANEL_PROXY
2022-04-11,True,T03,T03-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-143,5.0,hold,,266.1944,279.4133,9451547.16,21095769.62,0.0,190328976.57,19032897.66,-945154.72,22839477.19,28549346.49,10396701.88,1927965.99,-6612.57,PANEL_PROXY
2022-04-11,True,T04,T04-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-87,5.0,hold,,266.1944,279.4133,5750241.98,7475829.47,0.0,115794552.18,11579455.22,-575024.2,13895346.26,17369182.83,6325266.18,-4184093.81,-8205.94,PANEL_PROXY
2022-04-12,True,T01,T01-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-200,5.0,hold,,265.5338,266.1944,660620.16,28871230.81,0.0,265533752.67,26553375.27,-66062.02,31864050.32,39830062.9,726682.17,2129564.05,365.13,PANEL_PROXY
2022-04-12,True,T01,T01-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-100,5.0,hold,,265.5338,266.1944,330310.08,14435615.41,0.0,132766876.34,13276687.63,-33031.01,15932025.16,19915031.45,363341.09,1064782.03,182.57,PANEL_PROXY
2022-04-12,True,T02,T02-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-74,5.0,hold,,265.5338,266.1944,244429.46,10425707.1,0.0,98247488.49,9824748.85,-24442.95,11789698.62,14737123.27,268872.4,531367.4,68.32,PANEL_PROXY
