covariance_id,span_start,span_end,factor_i,factor_j,sample,n_obs,corr_raw,corr,cov_daily,min_eigenvalue_raw_corr,psd_adjusted,cov_horizon,sd_i_daily,sd_j_daily,sd_i_horizon,unit_i,unit_j
window_mcx_basis,2022-03-01,2022-08-31,fx,freight,weekly,26,-0.092006933389,-0.092006933389,-1.961546e-06,0.225743224342,False,-1.961546e-05,0.002809359546,0.007588756599,0.008883974931,log_return,log_return
window_mcx_basis,2022-03-01,2022-08-31,fx,mcx_basis,weekly,26,-0.143351197775,-0.143351197775,-0.00072451058,0.225743224342,False,-0.007245105804,0.002809359546,1.799020373362,0.008883974931,log_return,inr_kg_abs_change
window_mcx_basis,2022-03-01,2022-08-31,freight,freight,weekly,26,1.0,1.0,5.7589227e-05,0.225743224342,False,0.000575892267,0.007588756599,0.007588756599,0.023997755462,log_return,log_return
window_mcx_basis,2022-03-01,2022-08-31,freight,mcx_basis,weekly,26,0.201333044601,0.201333044601,0.002748664708,0.225743224342,False,0.027486647078,0.007588756599,1.799020373362,0.023997755462,log_return,inr_kg_abs_change
window_mcx_basis,2022-03-01,2022-08-31,mcx_basis,mcx_basis,weekly,26,1.0,1.0,3.23647430377,0.225743224342,False,32.3647430377,1.799020373362,1.799020373362,5.689001936869,inr_kg_abs_change,inr_kg_abs_change
pit_ATH_PLUS_1,2021-09-09,2022-03-08,lme,lme,daily,126,1.0,1.0,0.000512140485,0.770163353388,False,0.005121404851,0.022630521096,0.022630521096,0.071563991301,log_return,log_return
pit_ATH_PLUS_1,2021-09-09,2022-03-08,lme,fx,daily,126,0.158774586256,0.158774586256,1.0369908e-05,0.770163353388,False,0.00010369908,0.022630521096,0.002886020155,0.071563991301,log_return,log_return
pit_ATH_PLUS_1,2021-09-09,2022-03-08,lme,freight,weekly,26,0.166910372035,0.166910372035,2.9263123e-05,0.770163353388,False,0.000292631234,0.022630521096,0.007747164879,0.071563991301,log_return,log_return
pit_ATH_PLUS_1,2021-09-09,2022-03-08,fx,fx,daily,126,1.0,1.0,8.329112e-06,0.770163353388,False,8.3291123e-05,0.002886020155,0.002886020155,0.009126397063,log_return,log_return
pit_ATH_PLUS_1,2021-09-09,2022-03-08,fx,freight,weekly,26,0.001061033554,0.001061033554,2.3723e-08,0.770163353388,False,2.37231e-07,0.002886020155,0.007747164879,0.009126397063,log_return,log_return
pit_ATH_PLUS_1,2021-09-09,2022-03-08,freight,freight,weekly,26,1.0,1.0,6.0018564e-05,0.770163353388,False,0.000600185637,0.007747164879,0.007747164879,0.024498686427,log_return,log_return
pit_PEAK_GROSS_LME,2021-10-21,2022-04-21,lme,lme,daily,126,1.0,1.0,0.000557974549,0.79924553318,False,0.005579745485,0.023621484892,0.023621484892,0.074697693974,log_return,log_return
pit_PEAK_GROSS_LME,2021-10-21,2022-04-21,lme,fx,daily,126,0.173195954881,0.173195954881,1.2227228e-05,0.79924553318,False,0.000122272278,0.023621484892,0.002988705086,0.074697693974,log_return,log_return
pit_PEAK_GROSS_LME,2021-10-21,2022-04-21,lme,freight,weekly,26,0.189354649077,0.189354649077,3.8026741e-05,0.79924553318,False,0.000380267408,0.023621484892,0.008501703165,0.074697693974,log_return,log_return
pit_PEAK_GROSS_LME,2021-10-21,2022-04-21,fx,fx,daily,126,1.0,1.0,8.932358e-06,0.79924553318,False,8.9323581e-05,0.002988705086,0.002988705086,0.009451115327,log_return,log_return
pit_PEAK_GROSS_LME,2021-10-21,2022-04-21,fx,freight,weekly,26,0.129639171382,0.129639171382,3.294013e-06,0.79924553318,False,3.2940125e-05,0.002988705086,0.008501703165,0.009451115327,log_return,log_return
pit_PEAK_GROSS_LME,2021-10-21,2022-04-21,freight,freight,weekly,26,1.0,1.0,7.2278957e-05,0.79924553318,False,0.000722789567,0.008501703165,0.008501703165,0.026884745992,log_return,log_return
pit_PEAK_BUYER_CONTRACTED,2022-01-26,2022-07-27,lme,lme,daily,126,1.0,1.0,0.000587885072,0.831791375626,False,0.005878850716,0.024246341407,0.024246341407,0.076673663773,log_return,log_return
pit_PEAK_BUYER_CONTRACTED,2022-01-26,2022-07-27,lme,fx,daily,126,0.15087394069,0.15087394069,1.0737662e-05,0.831791375626,False,0.000107376624,0.024246341407,0.002935278369,0.076673663773,log_return,log_return
pit_PEAK_BUYER_CONTRACTED,2022-01-26,2022-07-27,lme,freight,weekly,26,-0.154148573812,-0.154148573812,-2.8493987e-05,0.831791375626,False,-0.000284939871,0.024246341407,0.007623729821,0.076673663773,log_return,log_return
pit_PEAK_BUYER_CONTRACTED,2022-01-26,2022-07-27,fx,fx,daily,126,1.0,1.0,8.615859e-06,0.831791375626,False,8.6158591e-05,0.002935278369,0.002935278369,0.009282165213,log_return,log_return
pit_PEAK_BUYER_CONTRACTED,2022-01-26,2022-07-27,fx,freight,weekly,26,-0.108496645955,-0.108496645955,-2.427913e-06,0.831791375626,False,-2.4279129e-05,0.002935278369,0.007623729821,0.009282165213,log_return,log_return
pit_PEAK_BUYER_CONTRACTED,2022-01-26,2022-07-27,freight,freight,weekly,26,1.0,1.0,5.8121256e-05,0.831791375626,False,0.000581212564,0.007623729821,0.007623729821,0.0241083505,log_return,log_return
