date,in_window,trade_id,new_deal,lme_flat,cross_exchange_basis,grade_spread,freight,fx,demurrage_penalty,roll_term_structure,residual,daily_pnl_inr,cum_pnl_inr,vm_inr,im_required_inr,net_margin_cash_inr,cum_vm_inr,lme_cash_usd_t,event
2022-04-19,True,BOOK,0.0,5531754.09,0.0,-2210883.38,0.0,296759.53,0.0,-4114475.11,-0.0,-496844.87,98288930.03,-21748447.77,82879644.04,-23923292.55,54325107.57,3312.0,E1_LME_CRASH
2022-04-20,True,BOOK,-0.0,-4598618.5,0.0,170382.55,0.0,-57690.43,0.0,-2237458.65,0.0,-6723385.02,91565545.01,19821990.21,81175587.12,20435828.03,74147097.78,3240.0,E1_LME_CRASH
2022-04-21,True,BOOK,47622722.62,-4333265.28,0.0,170971.8,0.0,1037705.9,0.0,5502240.34,-0.0,50000375.37,141565920.38,-4394126.1,95803037.76,-19116625.11,69752971.68,3262.0,E1_LME_CRASH
2022-04-22,True,BOOK,-148200.0,-764353.87,0.0,170031.39,0.0,-135185.82,0.0,556858.46,0.0,-320849.84,141245070.54,2352042.73,95567833.49,2587247.01,72105014.41,3244.0,E1_LME_CRASH
2022-04-25,True,BOOK,24464732.84,-5017969.35,0.0,488021.05,0.0,93208.54,0.0,-661444.74,-0.0,19366548.35,160611618.89,43783477.59,74597886.78,64382189.82,115888492.0,3090.0,E1_LME_CRASH
2022-04-26,True,BOOK,17642961.57,-203616.07,0.0,108366.82,0.0,52382.29,0.0,1211869.4,0.0,18811964.01,179423582.89,-1272234.44,56397361.74,16801404.22,114616257.55,3102.5,E1_LME_CRASH
2022-04-27,True,BOOK,-151830.0,-41832.15,0.0,68886.77,0.0,3689.51,0.0,-101833.18,0.0,-222919.05,179200663.84,77873.9,56374211.48,101024.16,114694131.45,3100.0,E1_LME_CRASH
2022-04-28,True,BOOK,-1192701.52,-2282724.81,0.0,68191.55,0.0,161369.44,0.0,-68708.86,0.0,-3314574.2,175886089.64,2020392.31,55773591.45,2621012.33,116714523.76,3065.5,E1_LME_CRASH
2022-04-29,True,BOOK,0.0,-1476198.65,0.0,67666.63,0.0,-458584.08,0.0,-778589.6,-0.0,-2645705.7,173240383.94,1988489.33,55182455.51,2579625.28,118703013.09,3039.0,E1_LME_CRASH
2022-05-03,True,BOOK,0.0,-5851976.53,0.0,257754.08,0.0,211762.69,0.0,1198084.59,0.0,-4184375.17,169056008.77,7628831.49,52914564.78,9896722.21,126331844.58,2911.5,E1_LME_CRASH
2022-05-04,True,BOOK,-151830.0,857299.4,0.0,65542.86,0.0,-651833.78,0.0,93869.04,-0.0,213047.53,169269056.3,-552856.79,53078917.45,-717209.45,125778987.8,2929.0,E1_LME_CRASH
2022-05-05,True,BOOK,0.0,-621382.01,0.0,65105.29,0.0,-273960.12,0.0,-364086.18,0.0,-1194323.01,168074733.29,903064.1,52810455.54,1171526.01,126682051.89,2917.0,E1_LME_CRASH
2022-05-06,True,BOOK,0.0,-4616510.82,0.0,63114.22,0.0,2648063.49,0.0,315475.36,-0.0,-1589857.75,166484875.53,3747592.37,51696375.36,4861672.55,130429644.26,2832.5,E1_LME_CRASH
2022-05-09,True,BOOK,10897020.8,-7222351.29,0.0,183052.85,0.0,2044776.64,0.0,-157889.83,-0.0,5744609.18,172229484.71,6627240.23,38347235.08,19892228.5,137056884.49,2708.0,E1_LME_CRASH
2022-05-10,True,BOOK,-10988114.64,-342138.67,0.0,36484.28,0.0,-356702.78,0.0,-1786724.45,-0.0,-13437196.26,158792288.46,722793.54,57585356.28,-18662570.39,137779678.03,2677.0,E1_LME_CRASH
2022-05-11,True,BOOK,0.0,3615425.32,0.0,75510.86,0.0,-122410.54,0.0,-452589.67,0.0,3115935.97,161908224.43,-5447902.26,58838618.1,-6701164.08,132331775.78,2737.0,E1_LME_CRASH
2022-05-12,True,BOOK,0.0,-3096042.43,0.0,74058.78,0.0,870893.43,0.0,-208554.75,0.0,-2359644.98,159548579.45,3695308.39,57988531.46,4545395.03,136027084.16,2688.0,E1_LME_CRASH
2022-05-13,True,BOOK,-378864.11,2322647.78,0.0,75273.3,0.0,-172184.86,0.0,-1048901.26,0.0,797970.85,160346550.3,-3067669.21,58694232.94,-3773370.69,132959414.96,2723.0,E1_LME_CRASH
2022-05-16,True,BOOK,0.0,4709450.43,0.0,-1129255.42,0.0,1099166.73,0.0,-188867.24,-0.0,4490494.5,164837044.81,-7445277.62,60406980.66,-9158025.34,125514137.34,2791.0,E1_LME_CRASH
2022-05-17,True,BOOK,-124294.25,3244658.45,0.0,-1310918.98,0.0,-1076447.8,0.0,-1144089.28,0.0,-411091.86,164425952.94,-3043577.71,43835141.38,13403967.32,122470559.62,2836.0,E1_LME_CRASH
2022-05-18,True,BOOK,-199220.0,668083.32,0.0,-1305401.35,0.0,380462.23,0.0,-118443.17,-0.0,-574518.98,163851433.96,-2053912.34,44040532.61,-2259303.57,120416647.29,2845.0,E1_LME_CRASH
2022-05-19,True,BOOK,0.0,-310346.44,0.0,-1302508.0,0.0,136523.62,0.0,-2036845.22,-0.0,-3513176.03,160338257.93,2727801.61,43767752.45,3000581.77,123144448.9,2826.0,E1_LME_CRASH
2022-05-20,True,BOOK,-0.0,1975590.55,0.0,-1343882.39,0.0,-75042.2,0.0,-2010834.77,0.0,-1454168.81,158884089.12,-16460353.22,45590250.38,-18923863.26,106684095.68,2931.0,E1_LME_CRASH
2022-05-23,True,BOOK,0.0,-4298389.65,0.0,-4066270.78,0.0,352599.11,0.0,4564488.21,-0.0,-3447573.11,155436516.01,-4135989.45,46003849.32,-4549588.39,102548106.23,2963.0,E1_LME_CRASH
2022-05-24,True,BOOK,27152296.76,-1825564.61,0.0,-1319701.75,0.0,82252.91,0.0,1580810.39,-0.0,25670093.69,181106609.7,12615586.34,34164629.58,24379560.06,115163692.57,2881.0,E1_LME_CRASH
2022-05-25,True,BOOK,-36175208.55,2525393.44,0.0,-661966.66,0.0,-1810.86,0.0,-2002365.68,0.0,-36315958.31,144790651.39,6238693.12,63023207.9,-22831795.49,121402385.7,2829.5,E1_LME_CRASH
2022-05-26,True,BOOK,0.0,44548.82,0.0,-1622527.56,152641.53,-40914.53,0.0,353306.19,-0.0,-1112945.55,143677705.84,806723.29,62942535.57,887395.62,122209108.99,2825.5,E1_LME_CRASH
2022-05-27,True,BOOK,-787637.04,21868.85,0.0,-1623213.57,0.0,16902.24,0.0,-1212847.29,0.0,-3584926.82,140092779.01,706181.38,62871917.43,776799.52,122915290.37,2823.0,E1_LME_CRASH
2022-05-30,True,BOOK,0.0,-255420.02,0.0,-4924565.43,0.0,75816.76,0.0,316280.6,-0.0,-4787888.09,135304890.92,-8338659.81,63705783.41,-9172525.79,114576630.56,2863.0,E1_LME_CRASH
2022-05-31,True,BOOK,0.0,238077.02,0.0,-1616559.62,0.0,-272479.31,0.0,746994.55,-0.0,-903967.37,134400923.55,9285311.85,62777252.23,10213843.04,123861942.41,2816.5,E1_LME_CRASH
2022-06-01,True,BOOK,36009265.63,320662.48,0.0,-1556849.08,0.0,310176.76,0.0,-834764.8,0.0,34248490.98,168649414.53,27000784.62,40051449.18,49578484.09,150862727.02,2701.5,E1_LME_CRASH
2022-06-06,True,BOOK,0.0,-2901220.99,0.0,-4662127.11,0.0,-358409.57,0.0,3095793.29,-0.0,-4825964.38,163823450.15,-6164518.85,40667901.06,-6780970.73,144698208.18,2742.0,E1_LME_CRASH
2022-06-07,True,BOOK,-83380.0,-182936.97,0.0,-925327.91,0.0,-192165.54,0.0,-251642.47,0.0,-1635452.89,162187997.26,3449094.02,40322991.66,3794003.42,148147302.2,2715.0,E1_LME_CRASH
2022-06-08,True,BOOK,-49046419.9,624229.07,0.0,-943037.76,0.0,43574.32,0.0,310014.81,-0.0,-49011639.46,113176357.8,-7288818.62,41051873.52,-8017700.48,140858483.58,2765.5,E1_LME_CRASH
2022-06-09,True,BOOK,0.0,2632.17,0.0,-1774106.63,0.0,40096.39,0.0,155791.37,0.0,-1575586.69,111600771.11,1591081.89,40892765.33,1750190.08,142449565.47,2752.5,E1_LME_CRASH
2022-06-10,True,BOOK,-485384.55,-292431.98,0.0,-1739740.49,0.0,52174.44,0.0,-2470123.33,-0.0,-4935505.91,106665265.2,8149260.36,40077839.3,8964186.39,150598825.83,2695.0,E1_LME_CRASH
2022-06-13,True,BOOK,0.0,-1076402.87,0.0,-4987152.23,0.0,52614.07,0.0,81419.69,0.0,-5929521.34,100735743.86,14773275.41,38600511.75,16250602.95,165372101.24,2589.5,E1_LME_CRASH
2022-06-14,True,BOOK,0.0,-21685.33,0.0,-1666435.5,0.0,-5196.1,0.0,864345.92,-0.0,-828971.01,99906772.85,388994.27,38561612.33,427893.7,165761095.51,2588.0,E1_LME_CRASH
2022-06-15,True,BOOK,-197130.0,-157976.83,0.0,-1664888.83,0.0,25118.18,0.0,-1116440.89,-0.0,-3111318.37,96795454.47,684001.95,38493212.13,752402.15,166445097.47,2580.0,E1_LME_CRASH
2022-06-16,True,BOOK,-228432.67,-1994234.71,0.0,1495825.3,0.0,-203388.53,0.0,1389322.4,-0.0,459091.79,97254546.26,12269329.76,66924451.24,-16390342.01,178714427.23,2500.5,E1_LME_CRASH
2022-06-17,True,BOOK,0.0,2306593.45,0.0,1484810.88,0.0,-73301.05,0.0,472598.97,-0.0,4190702.25,101445248.51,7143931.4,66210058.1,7858324.54,185858358.63,2474.0,E1_LME_CRASH
2022-06-20,True,BOOK,0.0,965520.99,0.0,4440090.73,0.0,114024.81,0.0,-1427429.66,0.0,4092206.87,105537455.38,4443774.93,65765680.61,4888152.43,190302133.56,2462.0,E1_LME_CRASH
2022-06-21,True,BOOK,0.0,-4172020.07,0.0,1506729.53,0.0,-171835.53,0.0,-1646942.39,-0.0,-4484068.46,101053386.92,-16670253.63,67585883.61,-19068211.65,173631879.93,2519.5,E1_LME_CRASH
2022-06-22,True,BOOK,-153230.0,13817477.2,0.0,1467766.67,0.0,-1143387.89,0.0,-8325722.6,0.0,5662903.38,106716290.3,15569309.32,66028952.68,17126240.25,189201189.25,2455.5,E1_LME_CRASH
2022-06-23,True,BOOK,0.0,-1480595.74,0.0,1487340.01,0.0,-19684.66,0.0,-192880.16,0.0,-205820.55,106510469.76,-6175432.93,66646495.97,-6792976.22,183025756.32,2480.0,E1_LME_CRASH
2022-06-24,True,BOOK,0.0,2369020.77,0.0,1460103.12,0.0,3815.32,0.0,542.9,0.0,3833482.11,110343951.87,11860936.73,65460402.3,13047030.4,194886693.05,2436.0,E1_LME_CRASH
2022-06-27,True,BOOK,0.0,-803903.1,0.0,4411712.67,0.0,93339.06,0.0,1902020.21,-0.0,5603168.84,115947120.71,-5550047.21,66015407.02,-6105051.93,189336645.84,2453.0,E1_LME_CRASH
2022-06-28,True,BOOK,0.0,-1859769.26,0.0,1508723.12,0.0,343769.93,0.0,-1234336.51,0.0,-1241612.73,114705507.98,-17116520.45,67727059.06,-18828172.5,172220125.39,2500.0,E1_LME_CRASH
2022-06-29,True,BOOK,-153010.0,1595348.89,0.0,1485626.16,0.0,-15058.22,0.0,-317941.6,0.0,2594965.22,117300473.2,13285124.94,66398546.57,14613637.44,185505250.33,2452.0,E1_LME_CRASH
2022-06-30,True,BOOK,0.0,2596366.39,0.0,1451293.12,0.0,159250.26,0.0,890358.07,-0.0,5097267.83,122397741.03,14174195.41,64981127.03,15591614.96,199679445.75,2397.0,E1_LME_CRASH
2022-07-01,True,BOOK,-9000.0,795875.95,0.0,1448626.55,0.0,-38439.67,0.0,-1429831.91,0.0,767230.91,123164971.94,3833690.95,64597757.93,4217060.05,203513136.7,2384.0,E1_LME_CRASH
2022-07-04,True,BOOK,-312136.58,-3615004.41,0.0,4416176.07,0.0,-31604.37,0.0,581814.02,0.0,1039244.73,124204216.67,-11746674.75,25746099.96,26792846.64,191766461.95,2431.5,E1_LME_CRASH
2022-07-05,True,BOOK,0.0,5156401.15,0.0,1438398.72,0.0,-102039.51,0.0,-8621484.95,0.0,-2128724.59,122075492.07,4675129.95,25278586.97,5142642.95,196441591.9,2374.0,E1_LME_CRASH
2022-07-06,True,BOOK,0.0,-966284.1,0.0,1432343.71,0.0,-1042056.27,0.0,1418974.77,0.0,842978.11,122918470.18,2498264.66,25028760.5,2748091.13,198939856.56,2358.0,E1_LME_CRASH
2022-07-07,True,BOOK,0.0,2693683.85,0.0,1469095.11,0.0,164971.52,0.0,-1033237.81,-0.0,3294512.68,126212982.87,-6419064.04,25670666.9,-7060970.44,192520792.52,2417.5,E1_LME_CRASH
2022-07-08,True,BOOK,0.0,-546113.6,0.0,1456262.19,0.0,158483.29,0.0,-656283.44,0.0,412348.44,126625331.31,1750439.66,25495622.94,1925483.63,194271232.19,2399.5,E1_LME_CRASH
2022-07-11,True,BOOK,0.0,270198.15,0.0,4400558.46,0.0,573026.66,0.0,-2326444.27,-0.0,2917338.99,129542670.3,-2487286.91,25744351.63,-2736015.6,191783945.28,2417.0,E1_LME_CRASH
2022-07-12,True,BOOK,0.0,-1324701.6,0.0,1429576.97,0.0,243309.9,0.0,1038317.8,0.0,1386503.06,130929173.36,6012329.14,25143118.71,6613562.05,197796274.42,2358.0,E1_LME_CRASH
2022-07-13,True,BOOK,0.0,-423380.33,0.0,1426104.04,0.0,83300.17,0.0,-318655.66,0.0,767368.22,131696541.58,1532410.84,24989877.63,1685651.92,199328685.25,2343.0,E1_LME_CRASH
2022-07-14,True,BOOK,0.0,-475541.37,0.0,1417987.9,0.0,1122906.82,0.0,-546874.33,-0.0,1518479.01,133215020.59,156294.51,24974248.18,171923.96,199484979.76,2329.0,E1_LME_CRASH
2022-07-15,True,BOOK,-184633.97,-339300.23,0.0,1419527.95,0.0,-487633.63,0.0,665066.94,0.0,1073027.07,134288047.66,1539163.99,48043154.55,-21714376.34,201024143.76,2320.5,E1_LME_CRASH
