variant,variant_label,is_primary,lag_weeks,reading,n_pairs,pearson_r,pearson_p_naive,fisher_ci_lo,fisher_ci_hi,boot_ci_lo,boot_ci_hi,boot_ci_excludes_zero,boot_valid_draws,spearman_rho,spearman_p_naive,significant_naive_5pct,significant_bonferroni_7lags,n_boot,block_weeks
adjusted_all,"Price-direction adjusted, all headlines",False,1,sentiment leads LME by 1 week,27,-0.112938,0.574882,-0.472666,0.279052,-0.507193,0.21588,False,10000,-0.0970696,0.630046,False,False,10000,3
adjusted_all,"Price-direction adjusted, all headlines",False,2,sentiment leads LME by 2 weeks,26,0.0213717,0.917466,-0.369035,0.405368,-0.41341,0.465053,False,10000,-0.0208547,0.919456,False,False,10000,3
adjusted_all,"Price-direction adjusted, all headlines",False,3,sentiment leads LME by 3 weeks,25,-0.0100267,0.962061,-0.403559,0.386636,-0.252177,0.296464,False,10000,-0.113846,0.587918,False,False,10000,3
vader_core,"Raw VADER, aluminium-chain titles only",False,-3,LME leads sentiment by 3 weeks,25,-0.261566,0.206589,-0.595183,0.148961,-0.543069,0.161689,False,10000,-0.257692,0.213635,False,False,10000,3
vader_core,"Raw VADER, aluminium-chain titles only",False,-2,LME leads sentiment by 2 weeks,26,0.0909502,0.658586,-0.307225,0.462025,-0.357262,0.631584,False,10000,0.102906,0.616903,False,False,10000,3
vader_core,"Raw VADER, aluminium-chain titles only",False,-1,LME leads sentiment by 1 week,27,0.0285222,0.887695,-0.355343,0.404156,-0.252739,0.470371,False,10000,0.0885226,0.660607,False,False,10000,3
vader_core,"Raw VADER, aluminium-chain titles only",False,0,same week,28,-0.208351,0.287349,-0.539493,0.17861,-0.491563,0.150302,False,10000,-0.123153,0.532407,False,False,10000,3
vader_core,"Raw VADER, aluminium-chain titles only",False,1,sentiment leads LME by 1 week,27,-0.0513215,0.799323,-0.423084,0.33523,-0.347663,0.204092,False,10000,0.00854701,0.966251,False,False,10000,3
vader_core,"Raw VADER, aluminium-chain titles only",False,2,sentiment leads LME by 2 weeks,26,-0.0152598,0.94102,-0.400246,0.374305,-0.523589,0.439442,False,10000,-0.0386325,0.851371,False,False,10000,3
vader_core,"Raw VADER, aluminium-chain titles only",False,3,sentiment leads LME by 3 weeks,25,0.000856625,0.996758,-0.394408,0.395854,-0.24919,0.34416,False,10000,0.0161538,0.938911,False,False,10000,3
adjusted_core,"Adjusted, aluminium-chain titles only",False,-3,LME leads sentiment by 3 weeks,25,-0.260574,0.208377,-0.594496,0.150001,-0.547576,0.139323,False,10000,-0.294615,0.152826,False,False,10000,3
adjusted_core,"Adjusted, aluminium-chain titles only",False,-2,LME leads sentiment by 2 weeks,26,0.119217,0.561869,-0.281117,0.484209,-0.34113,0.655753,False,10000,0.14735,0.472556,False,False,10000,3
adjusted_core,"Adjusted, aluminium-chain titles only",False,-1,LME leads sentiment by 1 week,27,0.0282212,0.888873,-0.355606,0.403904,-0.260787,0.494733,False,10000,0.135531,0.500288,False,False,10000,3
adjusted_core,"Adjusted, aluminium-chain titles only",False,0,same week,28,-0.0580821,0.769081,-0.422014,0.321972,-0.473034,0.312511,False,10000,0.0399562,0.840019,False,False,10000,3
adjusted_core,"Adjusted, aluminium-chain titles only",False,1,sentiment leads LME by 1 week,27,-0.092765,0.645368,-0.45668,0.297745,-0.341815,0.188203,False,10000,-0.0537241,0.790131,False,False,10000,3
adjusted_core,"Adjusted, aluminium-chain titles only",False,2,sentiment leads LME by 2 weeks,26,-0.0219082,0.915401,-0.405816,0.368571,-0.568304,0.469932,False,10000,-0.0495726,0.809952,False,False,10000,3
adjusted_core,"Adjusted, aluminium-chain titles only",False,3,sentiment leads LME by 3 weeks,25,0.0721089,0.73195,-0.332496,0.454296,-0.181088,0.37305,False,10000,0.0738462,0.725733,False,False,10000,3
