date,in_window,trade_id,new_deal,lme_flat,cross_exchange_basis,grade_spread,freight,fx,demurrage_penalty,roll_term_structure,residual,daily_pnl_inr,cum_pnl_inr,vm_inr,im_required_inr,net_margin_cash_inr,cum_vm_inr,lme_cash_usd_t,event
2022-03-28,True,BOOK,0.0,488862.01,0.0,6339347.92,0.0,-54462.04,0.0,540918.71,0.0,7314666.6,53330625.89,-4066942.34,77072284.51,-4473636.57,-10871678.81,3606.0,E1_LME_CRASH
2022-03-29,True,BOOK,0.0,-529861.77,0.0,2099375.02,0.0,-350256.76,0.0,2687565.28,-0.0,3906821.77,57237447.67,8805018.75,76191782.64,9685520.62,-2066660.07,3583.0,E1_LME_CRASH
2022-03-30,True,BOOK,-377648.79,-1766066.02,0.0,2054390.32,0.0,87661.57,0.0,-992977.35,0.0,-994640.27,56242807.4,15132498.55,74678532.78,16645748.4,13065838.48,3508.0,E1_LME_CRASH
2022-03-31,True,BOOK,0.0,-120862.1,0.0,2050396.74,0.0,-49596.22,0.0,-697878.13,0.0,1182060.29,57424867.69,1640841.05,74514448.68,1804925.16,14706679.53,3503.0,E1_LME_CRASH
2022-04-01,True,BOOK,0.0,-494930.57,0.0,2034988.51,0.0,199533.69,0.0,188435.27,-0.0,1928026.9,59352894.59,2284317.0,74286016.97,2512748.7,16990996.53,3483.0,E1_LME_CRASH
2022-04-04,True,BOOK,0.0,-990180.52,0.0,6054873.9,0.0,-491884.32,0.0,278099.23,-0.0,4850908.29,64203802.88,13028298.46,72983187.13,14331128.31,30019294.99,3444.0,E1_LME_CRASH
2022-04-05,True,BOOK,-124190.0,-783898.75,0.0,1989851.36,0.0,-208558.76,0.0,1710458.51,0.0,2583662.36,66787465.25,8067419.67,72176445.16,8874161.64,38086714.66,3415.0,E1_LME_CRASH
2022-04-06,True,BOOK,631780.23,795268.24,0.0,2006637.9,0.0,1196900.15,0.0,-451479.11,-0.0,4179107.4,70966572.65,-10773333.6,85580816.69,-24258173.19,27313381.07,3443.5,E1_LME_CRASH
2022-04-07,True,BOOK,0.0,-6280990.54,0.0,2625674.25,5911.97,588576.72,0.0,1177473.48,0.0,-1883354.13,69083218.52,22615777.19,83319238.97,24877354.9,49929158.25,3346.0,E1_LME_CRASH
2022-04-08,True,BOOK,0.0,3202257.59,0.0,2672664.22,0.0,-506949.2,0.0,27194.52,-0.0,5395167.14,74478385.66,-10635836.45,84382822.61,-11699420.09,39293321.8,3395.0,E1_LME_CRASH
2022-04-11,True,BOOK,0.0,-10599531.64,0.0,7628734.95,0.0,83502.28,0.0,-3023678.08,0.0,-5910972.49,68567413.17,39921220.19,80390700.59,43913342.2,79214541.99,3234.5,E1_LME_CRASH
2022-04-12,True,BOOK,-407085.24,-1368942.53,0.0,2518879.09,0.0,1112943.61,0.0,3749852.19,-0.0,5605647.13,74173060.3,1995072.87,80191193.31,2194580.16,81209614.86,3214.5,E1_LME_CRASH
2022-04-13,True,BOOK,-116600.0,-521233.08,0.0,2533439.05,0.0,58100.34,0.0,258579.6,0.0,2212285.9,76385346.2,1800405.99,80011152.71,1980446.59,83010020.85,3207.0,E1_LME_CRASH
2022-04-14,True,BOOK,-188557.73,2155525.82,0.0,2558555.13,-8901.78,-284529.0,0.0,-842595.11,0.0,3389497.33,79774843.53,-6936465.51,80704799.26,-7630112.06,76073555.34,3237.5,E1_LME_CRASH
2022-04-19,True,BOOK,0.0,5321242.9,0.0,12540512.62,0.0,1831334.74,0.0,-4303436.49,-0.0,15389653.77,95164497.31,-21748447.77,82879644.04,-23923292.55,54325107.57,3312.0,E1_LME_CRASH
2022-04-20,True,BOOK,-0.0,-4713603.15,0.0,2427951.28,0.0,-806048.15,0.0,-2278127.17,0.0,-5369827.19,89794670.11,19821990.21,81175587.12,20435828.03,74147097.78,3240.0,E1_LME_CRASH
2022-04-21,True,BOOK,47602722.62,-4282971.78,0.0,2436348.12,0.0,590517.7,0.0,5482495.3,-0.0,51829111.96,141623782.07,-4394126.1,95803037.76,-19116625.11,69752971.68,3262.0,E1_LME_CRASH
2022-04-22,True,BOOK,0.0,-817899.67,0.0,2422947.26,0.0,1051112.96,0.0,534862.71,-0.0,3191023.26,144814805.34,2352042.73,95567833.49,2587247.01,72105014.41,3244.0,E1_LME_CRASH
2022-04-25,True,BOOK,19260523.74,-5584395.25,0.0,6954300.03,0.0,640400.03,0.0,-758939.63,-0.0,20511888.92,165326694.25,43783477.59,74597886.78,64382189.82,115888492.0,3090.0,E1_LME_CRASH
2022-04-26,True,BOOK,12787471.59,-155819.96,0.0,1544227.12,0.0,-84728.71,0.0,1203259.41,0.0,15294409.44,180621103.7,-1272234.44,56397361.74,16801404.22,114616257.55,3102.5,E1_LME_CRASH
2022-04-27,True,BOOK,0.0,-48645.1,0.0,981636.49,0.0,133066.6,0.0,-118449.59,0.0,947608.39,181568712.09,77873.9,56374211.48,101024.16,114694131.45,3100.0,E1_LME_CRASH
2022-04-28,True,BOOK,-1192701.52,-2386903.58,0.0,971729.62,0.0,244673.92,0.0,-78179.77,0.0,-2441381.33,179127330.76,2020392.31,55773591.45,2621012.33,116714523.76,3065.5,E1_LME_CRASH
2022-04-29,True,BOOK,0.0,-1564038.55,0.0,964249.53,0.0,-724576.12,0.0,-840654.31,-0.0,-2165019.45,176962311.31,1988489.33,55182455.51,2579625.28,118703013.09,3039.0,E1_LME_CRASH
2022-05-03,True,BOOK,0.0,-6311154.83,0.0,3672995.57,0.0,358495.2,0.0,1304107.02,0.0,-975557.04,175986754.27,7628831.49,52914564.78,9896722.21,126331844.58,2911.5,E1_LME_CRASH
2022-05-04,True,BOOK,0.0,940928.77,0.0,933985.82,0.0,-1100339.23,0.0,106707.98,-0.0,881283.35,176868037.61,-552856.79,53078917.45,-717209.45,125778987.8,2929.0,E1_LME_CRASH
2022-05-05,True,BOOK,0.0,-682085.16,0.0,927750.44,0.0,-299658.16,0.0,-384924.02,0.0,-438916.9,176429120.71,903064.1,52810455.54,1171526.01,126682051.89,2917.0,E1_LME_CRASH
2022-05-06,True,BOOK,0.0,-5068314.95,0.0,899377.66,0.0,2903545.69,0.0,354187.01,-0.0,-911204.58,175517916.13,3747592.37,51696375.36,4861672.55,130429644.26,2832.5,E1_LME_CRASH
2022-05-09,True,BOOK,4467672.11,-7930001.74,0.0,2608503.13,0.0,2259719.23,0.0,-143525.38,-0.0,1262367.35,176780283.48,6627240.23,38347235.08,19892228.5,137056884.49,2708.0,E1_LME_CRASH
2022-05-10,True,BOOK,428274.08,-465056.75,0.0,519901.0,0.0,-408819.98,0.0,-1805995.91,-0.0,-1731697.56,175048585.92,722793.54,57585356.28,-18662570.39,137779678.03,2677.0,E1_LME_CRASH
2022-05-11,True,BOOK,0.0,4119511.35,0.0,1076029.8,0.0,-207662.76,0.0,-497728.3,0.0,4490150.09,179538736.01,-5447902.26,58838618.1,-6701164.08,132331775.78,2737.0,E1_LME_CRASH
2022-05-12,True,BOOK,0.0,-3525164.5,0.0,1055337.57,0.0,1486908.66,0.0,-234446.87,0.0,-1217365.14,178321370.88,3695308.39,57988531.46,4545395.03,136027084.16,2688.0,E1_LME_CRASH
2022-05-13,True,BOOK,0.0,2642893.64,0.0,1072644.55,0.0,-293571.3,0.0,-1150399.24,-0.0,2271567.65,180592938.53,-3067669.21,58694232.94,-3773370.69,132959414.96,2723.0,E1_LME_CRASH
2022-05-16,True,BOOK,0.0,5355753.47,0.0,3027049.09,0.0,1888542.72,0.0,-204757.26,0.0,10066588.02,190659526.55,-7445277.62,60406980.66,-9158025.34,125514137.34,2791.0,E1_LME_CRASH
2022-05-17,True,BOOK,-503213.14,3740867.75,0.0,854947.16,0.0,-1849971.42,0.0,-1264870.33,0.0,977760.02,191637286.57,-3043577.71,43835141.38,13403967.32,122470559.62,2836.0,E1_LME_CRASH
2022-05-18,True,BOOK,-199220.0,773677.88,0.0,851348.71,0.0,674304.14,0.0,-29310.15,-0.0,2070800.58,193708087.15,-2053912.34,44040532.61,-2259303.57,120416647.29,2845.0,E1_LME_CRASH
2022-05-19,True,BOOK,0.0,-547947.21,0.0,849461.74,0.0,248964.63,0.0,-2268460.61,-0.0,-1717981.46,191990105.69,2727801.61,43767752.45,3000581.77,123144448.9,2826.0,E1_LME_CRASH
2022-05-20,True,BOOK,-0.0,3368577.67,0.0,876445.04,0.0,52111.6,0.0,-2164199.89,0.0,2132934.41,194123040.1,-16460353.22,45590250.38,-18923863.26,106684095.68,2931.0,E1_LME_CRASH
2022-05-23,True,BOOK,0.0,-3849236.72,0.0,2651915.72,0.0,75590.26,0.0,4637329.17,-0.0,3515598.44,197638638.55,-4135989.45,46003849.32,-4549588.39,102548106.23,2963.0,E1_LME_CRASH
2022-05-24,True,BOOK,4027437.73,-3160253.89,0.0,860675.06,0.0,157180.81,0.0,1822171.79,-0.0,3707211.5,201345850.05,12615586.34,34164629.58,24379560.06,115163692.57,2881.0,E1_LME_CRASH
2022-05-25,True,BOOK,1043573.12,2079833.76,0.0,431717.39,0.0,-46583.11,0.0,-2005187.37,0.0,1503353.78,202849203.83,6238693.12,63023207.9,-22831795.49,121402385.7,2829.5,E1_LME_CRASH
2022-05-26,True,BOOK,0.0,-44105.78,0.0,1058170.15,152641.53,77727.99,0.0,378987.12,-0.0,1623421.02,204472624.85,806723.29,62942535.57,887395.62,122209108.99,2825.5,E1_LME_CRASH
2022-05-27,True,BOOK,-249253.56,-35902.77,0.0,1058617.55,0.0,-32229.73,0.0,-1433633.44,0.0,-692401.95,203780222.9,706181.38,62871917.43,776799.52,122915290.37,2823.0,E1_LME_CRASH
2022-05-30,True,BOOK,0.0,706404.98,0.0,3211673.11,0.0,-158698.65,0.0,303098.08,-0.0,4062477.51,207842700.41,-8338659.81,63705783.41,-9172525.79,114576630.56,2863.0,E1_LME_CRASH
2022-05-31,True,BOOK,0.0,-1010476.76,0.0,1054278.02,0.0,572820.29,0.0,833572.34,-0.0,1450193.89,209292894.3,9285311.85,62777252.23,10213843.04,123861942.41,2816.5,E1_LME_CRASH
2022-06-01,True,BOOK,3199477.02,-2880317.91,0.0,1015336.36,0.0,-650005.31,0.0,-1038909.12,0.0,-354418.96,208938475.33,27000784.62,40051449.18,49578484.09,150862727.02,2701.5,E1_LME_CRASH
2022-06-06,True,BOOK,0.0,-2212190.63,0.0,3040517.68,0.0,91298.14,0.0,2951759.71,-0.0,3871384.91,212809860.24,-6164518.85,40667901.06,-6780970.73,144698208.18,2742.0,E1_LME_CRASH
2022-06-07,True,BOOK,0.0,-717826.03,0.0,603474.73,0.0,472271.96,0.0,-331840.13,0.0,26080.53,212835940.77,3449094.02,40322991.66,3794003.42,148147302.2,2715.0,E1_LME_CRASH
2022-06-08,True,BOOK,3251747.41,1654274.02,0.0,615024.63,0.0,-217552.54,0.0,405132.07,-0.0,5708625.58,218544566.35,-7288818.62,41051873.52,-8017700.48,140858483.58,2765.5,E1_LME_CRASH
2022-06-09,True,BOOK,0.0,-511767.82,0.0,1157026.06,0.0,310596.69,0.0,175145.88,0.0,1131000.82,219675567.17,1591081.89,40892765.33,1750190.08,142449565.47,2752.5,E1_LME_CRASH
2022-06-10,True,BOOK,0.0,-2630364.35,0.0,1134613.37,0.0,366390.98,0.0,-3274886.95,-0.0,-4404246.95,215271320.22,8149260.36,40077839.3,8964186.39,150598825.83,2695.0,E1_LME_CRASH
2022-06-13,True,BOOK,0.0,-5500654.15,0.0,3252490.59,0.0,846821.32,0.0,56234.4,0.0,-1345107.84,213926212.38,14773275.41,38600511.75,16250602.95,165372101.24,2589.5,E1_LME_CRASH
2022-06-14,True,BOOK,-467305.84,-89229.06,0.0,1086805.76,0.0,-87774.17,0.0,1133527.56,-0.0,1576024.26,215502236.64,388994.27,38561612.33,427893.7,165761095.51,2588.0,E1_LME_CRASH
2022-06-15,True,BOOK,0.0,-525093.55,0.0,1085797.06,0.0,446973.21,0.0,-1522335.19,-0.0,-514658.47,214987578.17,684001.95,38493212.13,752402.15,166445097.47,2580.0,E1_LME_CRASH
2022-06-16,True,BOOK,-228432.67,-5746412.66,0.0,217135.93,0.0,-327277.14,0.0,1869196.19,-0.0,-4215790.35,210771787.82,12269329.76,66924451.24,-16390342.01,178714427.23,2500.5,E1_LME_CRASH
2022-06-17,True,BOOK,0.0,1070340.57,0.0,215537.06,0.0,-47544.4,0.0,627109.22,-0.0,1865442.46,212637230.27,7143931.4,66210058.1,7858324.54,185858358.63,2474.0,E1_LME_CRASH
2022-06-20,True,BOOK,0.0,411703.22,0.0,644529.3,0.0,-65447.15,0.0,-1836880.72,0.0,-846095.35,211791134.92,4443774.93,65765680.61,4888152.43,190302133.56,2462.0,E1_LME_CRASH
2022-06-21,True,BOOK,0.0,-1609578.49,0.0,218718.8,0.0,88039.34,0.0,-1944755.22,-0.0,-3247575.57,208543559.35,-16670253.63,67585883.61,-19068211.65,173631879.93,2519.5,E1_LME_CRASH
2022-06-22,True,BOOK,-153230.0,10992293.03,0.0,213062.9,0.0,-834108.27,0.0,-8232232.02,0.0,1985785.65,210529344.99,15569309.32,66028952.68,17126240.25,189201189.25,2455.5,E1_LME_CRASH
2022-06-23,True,BOOK,0.0,-408787.52,0.0,215904.2,0.0,-77452.38,0.0,-219010.18,-0.0,-489345.89,210039999.11,-6175432.93,66646495.97,-6792976.22,183025756.32,2480.0,E1_LME_CRASH
2022-06-24,True,BOOK,0.0,467483.97,0.0,211950.45,0.0,13721.99,0.0,12864.04,0.0,706020.45,210746019.56,11860936.73,65460402.3,13047030.4,194886693.05,2436.0,E1_LME_CRASH
2022-06-27,True,BOOK,0.0,-77860.09,0.0,640409.9,0.0,312252.57,0.0,2402242.73,-0.0,3277045.11,214023064.67,-5550047.21,66015407.02,-6105051.93,189336645.84,2453.0,E1_LME_CRASH
2022-06-28,True,BOOK,0.0,79150.93,0.0,219008.19,0.0,1129861.62,0.0,-1523830.78,0.0,-95810.03,213927254.65,-17116520.45,67727059.06,-18828172.5,172220125.39,2500.0,E1_LME_CRASH
2022-06-29,True,BOOK,-153010.0,-373233.72,0.0,215655.41,0.0,-47183.13,0.0,-379321.22,0.0,-737092.66,213190161.99,13285124.94,66398546.57,14613637.44,185505250.33,2452.0,E1_LME_CRASH
2022-06-30,True,BOOK,0.0,369534.0,0.0,210671.58,0.0,296369.16,0.0,1114034.04,-0.0,1990608.78,215180770.77,14174195.41,64981127.03,15591614.96,199679445.75,2397.0,E1_LME_CRASH
2022-07-01,True,BOOK,0.0,275549.9,0.0,210284.5,0.0,-89332.41,0.0,-1724942.69,0.0,-1328440.71,213852330.06,3833690.95,64597757.93,4217060.05,203513136.7,2384.0,E1_LME_CRASH
2022-07-04,True,BOOK,-312136.58,-1738661.92,0.0,641057.82,0.0,-175813.66,0.0,767940.04,0.0,-817614.29,213034715.77,-11746674.75,25746099.96,26792846.64,191766461.95,2431.5,E1_LME_CRASH
2022-07-05,True,BOOK,0.0,2976431.49,0.0,208799.81,0.0,441745.54,0.0,-8899705.23,-0.0,-5272728.39,207761987.38,4675129.95,25278586.97,5142642.95,196441591.9,2374.0,E1_LME_CRASH
2022-07-06,True,BOOK,0.0,-1567928.27,0.0,207920.86,0.0,-1322212.86,0.0,1734454.99,-0.0,-947765.28,206814222.1,2498264.66,25028760.5,2748091.13,198939856.56,2358.0,E1_LME_CRASH
2022-07-07,True,BOOK,0.0,4893858.95,0.0,213255.74,0.0,216368.55,0.0,-1200771.5,0.0,4122711.74,210936933.84,-6419064.04,25670666.9,-7060970.44,192520792.52,2417.5,E1_LME_CRASH
2022-07-08,True,BOOK,0.0,-1202769.74,0.0,211392.9,0.0,257590.65,0.0,-747340.28,0.0,-1481126.47,209455807.37,1750439.66,25495622.94,1925483.63,194271232.19,2399.5,E1_LME_CRASH
2022-07-11,True,BOOK,0.0,900267.59,0.0,638790.74,0.0,828544.35,0.0,-2651642.78,-0.0,-284040.1,209171767.27,-2487286.91,25744351.63,-2736015.6,191783945.28,2417.0,E1_LME_CRASH
2022-07-12,True,BOOK,0.0,-3363005.57,0.0,207519.24,0.0,348255.53,0.0,1258216.29,0.0,-1549014.51,207622752.76,6012329.14,25143118.71,6613562.05,197796274.42,2358.0,E1_LME_CRASH
2022-07-13,True,BOOK,0.0,-934436.51,0.0,207015.1,0.0,118068.08,0.0,-330093.74,0.0,-939447.07,206683305.69,1532410.84,24989877.63,1685651.92,199328685.25,2343.0,E1_LME_CRASH
2022-07-14,True,BOOK,0.0,-945400.71,0.0,205836.95,0.0,1578769.82,0.0,-596198.52,-0.0,243007.54,206926313.23,156294.51,24974248.18,171923.96,199484979.76,2329.0,E1_LME_CRASH
2022-07-15,True,BOOK,-184633.97,-621682.72,0.0,206060.51,0.0,-681215.79,0.0,815562.51,-0.0,-465909.45,206460403.78,1539163.99,48043154.55,-21714376.34,201024143.76,2320.5,E1_LME_CRASH
