sample,period,method,n,exceptions,expected,std_pnl_over_var_sigma,mean_var_inr,note
unit_lme_long_1000mt,2019,garch,253,4,12.65,0.78751068,2350371.15,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_lme_long_1000mt,2020,garch,254,11,12.7,0.97256348,2325990.34,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_lme_long_1000mt,2021,garch,253,16,12.65,1.11369564,4238036.7,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_lme_long_1000mt,2022,garch,251,14,12.55,1.11599303,7154736.54,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_lme_long_1000mt,ALL,garch,1011,45,50.55,1.00648918,4009404.16,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_lme_long_1000mt,2019,hist250,253,3,12.65,0.71472768,2638893.84,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_lme_long_1000mt,2020,hist250,254,19,12.7,1.16395191,1967722.52,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_lme_long_1000mt,2021,hist250,253,22,12.65,1.20946257,3705565.46,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_lme_long_1000mt,2022,hist250,251,13,12.55,1.163903,6862493.88,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_lme_long_1000mt,ALL,hist250,1011,57,50.55,1.08169781,3785791.97,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_lme_long_1000mt,2019,hist60,253,11,12.65,1.02173279,1879463.01,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_lme_long_1000mt,2020,hist60,254,13,12.7,1.08083588,2144507.62,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_lme_long_1000mt,2021,hist60,253,16,12.65,1.08198524,4232036.21,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_lme_long_1000mt,2022,hist60,251,12,12.55,1.09046043,7698271.09,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_lme_long_1000mt,ALL,hist60,1011,52,50.55,1.06868375,3979406.81,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_lme_long_1000mt,2019,garch_t,253,7,12.65,0.83543309,2222459.79,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_lme_long_1000mt,2020,garch_t,254,14,12.7,1.01090089,2239090.63,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_lme_long_1000mt,2021,garch_t,253,16,12.65,1.14661653,4123662.3,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_lme_long_1000mt,2022,garch_t,251,15,12.55,1.15532373,6886987.57,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_lme_long_1000mt,ALL,garch_t,1011,52,50.55,1.04518889,3860466.66,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_usd_long_1m,2019,garch,253,2,12.65,0.80696643,497936.74,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_usd_long_1m,2020,garch,254,10,12.7,0.97869707,460376.68,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_usd_long_1m,2021,garch,253,4,12.65,0.92453437,409974.89,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_usd_long_1m,2022,garch,251,6,12.55,0.95333614,443659.6,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_usd_long_1m,ALL,garch,1011,22,50.55,0.91793863,453012.74,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_usd_long_1m,2019,hist250,253,5,12.65,0.78858025,497652.36,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_usd_long_1m,2020,hist250,254,11,12.7,1.04707652,443578.18,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_usd_long_1m,2021,hist250,253,4,12.65,0.9110822,409642.69,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_usd_long_1m,2022,hist250,251,9,12.55,1.09287422,386795.52,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_usd_long_1m,ALL,hist250,1011,29,50.55,0.96704918,434520.46,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_usd_long_1m,2019,hist60,253,5,12.65,0.93423353,455518.8,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_usd_long_1m,2020,hist60,254,11,12.7,1.11452569,437750.14,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_usd_long_1m,2021,hist60,253,9,12.65,1.09274864,366086.21,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_usd_long_1m,2022,hist60,251,9,12.55,1.06869489,405409.65,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_usd_long_1m,ALL,hist60,1011,34,50.55,1.05438902,416233.85,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_usd_long_1m,2019,garch_t,253,8,12.65,0.9030313,455086.64,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_usd_long_1m,2020,garch_t,254,12,12.7,1.03570771,438923.98,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_usd_long_1m,2021,garch_t,253,4,12.65,1.02646703,375859.2,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_usd_long_1m,2022,garch_t,251,7,12.55,1.02063791,418441.34,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
unit_usd_long_1m,ALL,garch_t,1011,31,50.55,0.99765922,422101.65,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
