date,lme_cash_usd_t,lme_3m_usd_t,lme_cash_3m_spread_usd_t,lme_stock_mt
2018-10-31,1946.0,1966.5,-20.5,1047950
2018-11-01,1961.0,1978.0,-17.0,1047325
2018-11-02,1967.0,1985.0,-18.0,1051425
2018-11-05,1959.0,1971.0,-12.0,1050475
2018-11-06,1950.0,1969.0,-19.0,1049700
2018-11-07,1951.5,1963.0,-11.5,1053675
2018-11-08,1977.0,1982.0,-5.0,1055025
2018-11-09,1964.5,1971.5,-7.0,1055550
2018-11-12,1934.0,1942.5,-8.5,1056450
2018-11-13,1925.0,1938.0,-13.0,1056150
2018-11-14,1931.0,1944.5,-13.5,1057450
2018-11-15,1917.0,1940.5,-23.5,1058125
2018-11-16,1914.0,1931.5,-17.5,1066350
2018-11-19,1918.0,1941.0,-23.0,1070925
2018-11-20,1927.0,1940.5,-13.5,1073050
2018-11-21,1945.0,1953.5,-8.5,1072525
2018-11-22,1941.5,1953.5,-12.0,1070400
2018-11-23,1922.5,1934.5,-12.0,1067000
2018-11-26,1920.0,1930.0,-10.0,1064975
2018-11-27,1925.0,1935.5,-10.5,1061700
2018-11-28,1912.5,1924.0,-11.5,1057875
2018-11-29,1933.0,1933.0,0.0,1055275
2018-11-30,1935.0,1938.5,-3.5,1052450
2018-12-03,1982.5,1979.5,3.0,1048025
2018-12-04,1985.0,1980.5,4.5,1046275
2018-12-05,1966.5,1970.5,-4.0,1045250
2018-12-06,1945.0,1941.5,3.5,1043775
2018-12-07,1962.0,1958.5,3.5,1042900
2018-12-10,1951.0,1951.0,0.0,1040975
2018-12-11,1949.5,1957.5,-8.0,1072450
2018-12-12,1928.0,1937.0,-9.0,1071425
2018-12-13,1924.0,1932.0,-8.0,1094925
2018-12-14,1908.0,1921.0,-13.0,1150100
2018-12-17,1937.5,1925.0,12.5,1169625
2018-12-18,1940.0,1942.0,-2.0,1227325
2018-12-19,1928.0,1929.0,-1.0,1255925
2018-12-20,1923.5,1923.5,0.0,1254125
2018-12-21,1920.0,1912.0,8.0,1265250
2018-12-24,1898.5,1899.0,-0.5,1266575
2018-12-27,1898.0,1881.5,16.5,1266550
2018-12-28,1881.0,1857.0,24.0,1267125
2018-12-31,1869.5,1846.0,23.5,1271200
2019-01-02,1858.0,1846.5,11.5,1273125
2019-01-03,1825.5,1820.5,5.0,1272925
2019-01-04,1879.0,1862.0,17.0,1278500
2019-01-07,1858.0,1874.0,-16.0,1276050
2019-01-08,1837.0,1859.0,-22.0,1283500
2019-01-09,1842.0,1862.5,-20.5,1281400
2019-01-10,1844.0,1857.0,-13.0,1286050
2019-01-11,1816.0,1840.5,-24.5,1284725
2019-01-14,1775.5,1814.0,-38.5,1294050
2019-01-15,1810.5,1836.5,-26.0,1295750
2019-01-16,1839.5,1867.0,-27.5,1303150
2019-01-17,1804.0,1828.0,-24.0,1304000
2019-01-18,1851.0,1858.0,-7.0,1303475
2019-01-21,1842.5,1856.0,-13.5,1301650
2019-01-22,1867.5,1868.0,-0.5,1301625
2019-01-23,1877.5,1892.0,-14.5,1301825
2019-01-24,1851.0,1871.0,-20.0,1301350
2019-01-25,1866.5,1887.0,-20.5,1301100
2019-01-28,1860.0,1885.0,-25.0,1300000
2019-01-29,1853.0,1875.5,-22.5,1296125
2019-01-30,1871.0,1890.0,-19.0,1289775
2019-01-31,1880.5,1904.0,-23.5,1287425
2019-02-01,1872.5,1893.0,-20.5,1284125
2019-02-04,1840.0,1868.5,-28.5,1297150
2019-02-05,1896.5,1923.0,-26.5,1298150
2019-02-06,1886.5,1912.5,-26.0,1292175
2019-02-07,1862.5,1891.0,-28.5,1291800
2019-02-08,1865.0,1889.5,-24.5,1296800
2019-02-11,1848.0,1869.5,-21.5,1292175
2019-02-12,1840.5,1866.0,-25.5,1286025
2019-02-13,1840.0,1865.0,-25.0,1280875
2019-02-14,1829.0,1851.0,-22.0,1273500
2019-02-15,1828.5,1863.0,-34.5,1266600
2019-02-18,1822.5,1854.0,-31.5,1260325
2019-02-19,1833.5,1862.0,-28.5,1255725
2019-02-20,1829.5,1856.0,-26.5,1250000
2019-02-21,1858.5,1877.0,-18.5,1244050
2019-02-22,1890.5,1911.5,-21.0,1239800
2019-02-25,1886.0,1912.0,-26.0,1235100
2019-02-26,1870.0,1899.0,-29.0,1228475
2019-02-27,1898.5,1921.5,-23.0,1224075
2019-02-28,1893.0,1916.0,-23.0,1219700
2019-03-01,1890.5,1910.5,-20.0,1232950
2019-03-04,1859.5,1878.5,-19.0,1230225
2019-03-05,1868.5,1890.0,-21.5,1233150
2019-03-06,1846.0,1868.5,-22.5,1234900
2019-03-07,1841.0,1864.0,-23.0,1229000
2019-03-08,1848.0,1872.0,-24.0,1221375
2019-03-11,1830.0,1858.0,-28.0,1213125
2019-03-12,1851.0,1878.0,-27.0,1205725
2019-03-13,1873.0,1897.0,-24.0,1198375
2019-03-14,1873.5,1898.0,-24.5,1189025
2019-03-15,1868.0,1892.0,-24.0,1182850
2019-03-18,1879.0,1899.0,-20.0,1175650
2019-03-19,1907.5,1935.0,-27.5,1178375
2019-03-20,1923.0,1944.5,-21.5,1172100
2019-03-21,1891.0,1920.0,-29.0,1166100
2019-03-22,1867.0,1893.5,-26.5,1160275
2019-03-25,1856.0,1887.0,-31.0,1155450
2019-03-26,1849.5,1876.0,-26.5,1149725
2019-03-27,1898.5,1914.5,-16.0,1142725
2019-03-28,1896.5,1912.0,-15.5,1134950
2019-03-29,1900.0,1914.0,-14.0,1129175
2019-04-01,1888.0,1913.0,-25.0,1122825
2019-04-02,1858.0,1884.0,-26.0,1115000
2019-04-03,1865.0,1894.0,-29.0,1108825
2019-04-04,1872.0,1892.5,-20.5,1110275
2019-04-05,1864.0,1886.5,-22.5,1104525
2019-04-08,1858.5,1883.0,-24.5,1098925
2019-04-09,1851.0,1876.5,-25.5,1094600
2019-04-10,1852.0,1876.0,-24.0,1090625
2019-04-11,1847.5,1863.5,-16.0,1086075
2019-04-12,1843.5,1865.0,-21.5,1081975
2019-04-15,1843.5,1860.0,-16.5,1074450
2019-04-16,1839.0,1856.0,-17.0,1068325
2019-04-17,1840.5,1858.0,-17.5,1060800
2019-04-18,1839.0,1854.5,-15.5,1053925
2019-04-23,1855.0,1871.0,-16.0,1047100
2019-04-24,1854.0,1872.0,-18.0,1032925
2019-04-25,1852.0,1862.0,-10.0,1027800
2019-04-26,1832.0,1849.0,-17.0,1020875
2019-04-29,1816.0,1831.5,-15.5,1069075
2019-04-30,1809.0,1817.5,-8.5,1074650
2019-05-01,1775.5,1789.0,-13.5,1135300
2019-05-02,1800.5,1817.5,-17.0,1227650
2019-05-03,1783.5,1811.0,-27.5,1250250
2019-05-07,1767.0,1798.5,-31.5,1263400
2019-05-08,1761.0,1800.0,-39.0,1275200
2019-05-09,1766.5,1799.0,-32.5,1274450
2019-05-10,1765.0,1800.5,-35.5,1266575
2019-05-13,1765.5,1801.0,-35.5,1261450
2019-05-14,1792.0,1823.0,-31.0,1255450
2019-05-15,1802.0,1832.0,-30.0,1250250
2019-05-16,1832.0,1862.0,-30.0,1244850
2019-05-17,1805.0,1835.0,-30.0,1239975
2019-05-20,1786.0,1819.5,-33.5,1231200
2019-05-21,1766.0,1805.0,-39.0,1225400
2019-05-22,1747.0,1781.5,-34.5,1222625
2019-05-23,1740.0,1770.5,-30.5,1214025
2019-05-24,1761.5,1795.0,-33.5,1208900
2019-05-28,1773.0,1804.0,-31.0,1200800
2019-05-29,1770.0,1797.0,-27.0,1177250
2019-05-30,1762.0,1787.0,-25.0,1164975
2019-05-31,1761.0,1788.5,-27.5,1155025
2019-06-03,1763.5,1788.5,-25.0,1141100
2019-06-04,1751.5,1776.0,-24.5,1131900
2019-06-05,1766.0,1794.0,-28.0,1119350
2019-06-06,1742.5,1774.0,-31.5,1114125
2019-06-07,1733.0,1765.5,-32.5,1111475
2019-06-10,1720.5,1753.0,-32.5,1105750
2019-06-11,1754.5,1784.0,-29.5,1096300
2019-06-12,1753.5,1786.0,-32.5,1085475
2019-06-13,1756.0,1788.0,-32.0,1075750
2019-06-14,1737.5,1771.0,-33.5,1064625
2019-06-17,1719.5,1754.5,-35.0,1055075
2019-06-18,1733.0,1763.0,-30.0,1046850
2019-06-19,1746.5,1776.5,-30.0,1038700
2019-06-20,1778.0,1803.0,-25.0,1031625
2019-06-21,1743.5,1767.5,-24.0,1023450
2019-06-24,1747.5,1773.0,-25.5,1016025
2019-06-25,1776.5,1801.0,-24.5,1007300
2019-06-26,1803.0,1825.0,-22.0,998600
2019-06-27,1782.0,1804.0,-22.0,1003750
2019-06-28,1773.5,1793.5,-20.0,996725
2019-07-01,1778.0,1803.5,-25.5,989125
2019-07-02,1755.5,1780.0,-24.5,984450
2019-07-03,1754.5,1779.0,-24.5,977750
2019-07-04,1771.5,1794.5,-23.0,971500
2019-07-05,1779.5,1802.0,-22.5,964400
2019-07-08,1783.0,1800.0,-17.0,956575
2019-07-09,1783.0,1803.0,-20.0,948650
2019-07-10,1811.5,1832.0,-20.5,941750
2019-07-11,1807.0,1828.0,-21.0,934500
2019-07-12,1799.5,1819.5,-20.0,926875
2019-07-15,1810.0,1830.0,-20.0,945375
2019-07-16,1818.0,1837.0,-19.0,994125
2019-07-17,1819.0,1839.0,-20.0,987275
2019-07-18,1827.5,1846.0,-18.5,980200
2019-07-19,1833.0,1856.0,-23.0,974000
2019-07-22,1808.0,1836.0,-28.0,966600
2019-07-23,1795.0,1821.0,-26.0,960175
2019-07-24,1795.5,1827.0,-31.5,953500
2019-07-25,1795.5,1825.0,-29.5,987975
2019-07-26,1778.0,1804.5,-26.5,1021325
2019-07-29,1774.5,1799.0,-24.5,1016800
2019-07-30,1781.5,1806.5,-25.0,1023875
2019-07-31,1776.5,1807.0,-30.5,1028875
2019-08-01,1757.0,1785.0,-28.0,1027950
2019-08-02,1749.0,1777.5,-28.5,1024200
2019-08-05,1739.5,1772.0,-32.5,1020000
2019-08-06,1740.5,1766.5,-26.0,1017700
2019-08-07,1728.0,1756.5,-28.5,1009925
2019-08-08,1737.5,1768.5,-31.0,1004225
2019-08-09,1746.0,1776.5,-30.5,998250
2019-08-12,1743.0,1776.5,-33.5,991525
2019-08-13,1731.0,1761.5,-30.5,984300
2019-08-14,1741.0,1773.0,-32.0,984250
2019-08-15,1742.5,1777.0,-34.5,976700
2019-08-16,1755.5,1784.0,-28.5,969250
2019-08-19,1762.5,1795.0,-32.5,962350
2019-08-20,1756.5,1786.0,-29.5,955025
2019-08-21,1751.0,1781.0,-30.0,947925
2019-08-22,1739.0,1766.5,-27.5,941350
2019-08-23,1746.0,1770.0,-24.0,935200
2019-08-27,1744.0,1778.0,-34.0,929125
2019-08-28,1724.0,1758.5,-34.5,936225
2019-08-29,1713.5,1742.5,-29.0,928275
2019-08-30,1712.5,1741.5,-29.0,927000
2019-09-02,1716.5,1745.5,-29.0,919050
2019-09-03,1714.5,1743.5,-29.0,913925
2019-09-04,1734.5,1764.5,-30.0,922375
2019-09-05,1754.5,1778.0,-23.5,918925
2019-09-06,1761.5,1787.5,-26.0,923225
2019-09-09,1769.0,1796.5,-27.5,920000
2019-09-10,1776.0,1804.0,-28.0,916825
2019-09-11,1792.5,1823.0,-30.5,916000
2019-09-12,1774.0,1809.0,-35.0,913625
2019-09-13,1768.0,1802.0,-34.0,910950
2019-09-16,1770.5,1805.0,-34.5,908425
2019-09-17,1746.5,1779.0,-32.5,905725
2019-09-18,1751.0,1782.0,-31.0,904175
2019-09-19,1762.5,1792.0,-29.5,900725
2019-09-20,1766.0,1792.0,-26.0,897900
2019-09-23,1756.0,1778.0,-22.0,895625
2019-09-24,1751.5,1772.0,-20.5,899925
2019-09-25,1736.0,1758.5,-22.5,907400
2019-09-26,1724.0,1744.0,-20.0,910575
2019-09-27,1713.0,1733.5,-20.5,914725
2019-09-30,1703.5,1722.5,-19.0,927475
2019-10-01,1705.5,1719.5,-14.0,936025
2019-10-02,1697.0,1719.0,-22.0,962350
2019-10-03,1697.0,1711.0,-14.0,964275
2019-10-04,1701.5,1715.5,-14.0,966525
2019-10-07,1713.0,1720.0,-7.0,964225
2019-10-08,1732.0,1738.5,-6.5,965575
2019-10-09,1729.0,1738.5,-9.5,966125
2019-10-10,1738.0,1743.0,-5.0,968450
2019-10-11,1721.0,1726.0,-5.0,974200
2019-10-14,1704.5,1716.0,-11.5,983600
2019-10-15,1702.0,1716.0,-14.0,985900
2019-10-16,1703.5,1715.0,-11.5,983525
2019-10-17,1726.0,1730.0,-4.0,979575
2019-10-18,1729.0,1731.0,-2.0,977125
2019-10-21,1735.5,1742.0,-6.5,974625
2019-10-22,1707.5,1717.0,-9.5,972475
2019-10-23,1712.0,1720.0,-8.0,970425
2019-10-24,1715.0,1724.0,-9.0,968525
2019-10-25,1710.5,1720.0,-9.5,966200
2019-10-28,1727.0,1732.0,-5.0,963825
2019-10-29,1737.5,1742.0,-4.5,961650
2019-10-30,1746.5,1751.0,-4.5,961375
2019-10-31,1742.5,1747.0,-4.5,959050
2019-11-01,1766.0,1764.0,2.0,956200
2019-11-04,1787.0,1782.0,5.0,953900
2019-11-05,1813.5,1811.5,2.0,951275
2019-11-06,1817.5,1809.5,8.0,948600
2019-11-07,1817.5,1808.0,9.5,945475
2019-11-08,1827.5,1820.0,7.5,943175
2019-11-11,1805.0,1805.0,0.0,940500
2019-11-12,1765.5,1768.0,-2.5,942125
2019-11-13,1768.0,1769.0,-1.0,945900
2019-11-14,1756.0,1759.0,-3.0,1020975
2019-11-15,1741.0,1745.0,-4.0,1065175
2019-11-18,1744.0,1746.0,-2.0,1156250
2019-11-19,1734.5,1734.0,0.5,1158975
2019-11-20,1748.0,1740.5,7.5,1169525
2019-11-21,1753.0,1736.0,17.0,1170675
2019-11-22,1750.0,1738.5,11.5,1180400
2019-11-25,1753.0,1736.5,16.5,1230025
2019-11-26,1750.5,1742.5,8.0,1229475
2019-11-27,1770.5,1761.0,9.5,1228325
2019-11-28,1765.0,1756.5,8.5,1230300
2019-11-29,1785.5,1761.0,24.5,1271650
2019-12-02,1789.5,1769.0,20.5,1273300
2019-12-03,1802.0,1788.0,14.0,1277300
2019-12-04,1771.0,1763.5,7.5,1274850
2019-12-05,1756.0,1748.0,8.0,1285275
2019-12-06,1750.5,1741.0,9.5,1284300
2019-12-09,1766.0,1762.0,4.0,1288150
2019-12-10,1750.0,1752.5,-2.5,1303975
2019-12-11,1751.5,1758.0,-6.5,1330825
2019-12-12,1755.0,1767.0,-12.0,1343800
2019-12-13,1763.5,1774.5,-11.0,1375675
2019-12-16,1763.0,1771.0,-8.0,1403075
2019-12-17,1754.0,1767.0,-13.0,1444300
2019-12-18,1758.0,1777.0,-19.0,1487775
2019-12-19,1765.5,1788.0,-22.5,1487300
2019-12-20,1770.5,1803.0,-32.5,1486550
2019-12-23,1771.5,1802.0,-30.5,1485625
2019-12-24,1790.5,1816.0,-25.5,1484525
2019-12-27,1789.0,1816.5,-27.5,1483625
2019-12-30,1791.0,1822.0,-31.0,1477725
2019-12-31,1800.0,1830.0,-30.0,1475025
2020-01-02,1772.0,1803.5,-31.5,1473025
2020-01-03,1758.0,1794.0,-36.0,1470925
2020-01-06,1791.0,1822.0,-31.0,1463200
2020-01-07,1794.0,1826.5,-32.5,1451575
2020-01-08,1771.5,1806.0,-34.5,1439300
2020-01-09,1771.0,1799.5,-28.5,1425575
2020-01-10,1771.5,1798.0,-26.5,1410675
2020-01-13,1766.5,1793.0,-26.5,1396550
2020-01-14,1767.5,1797.0,-29.5,1381175
2020-01-15,1778.5,1805.5,-27.0,1367875
2020-01-16,1794.0,1814.0,-20.0,1353875
2020-01-17,1796.0,1808.0,-12.0,1340725
2020-01-20,1807.0,1814.0,-7.0,1327675
2020-01-21,1810.5,1818.0,-7.5,1309050
2020-01-22,1807.5,1819.0,-11.5,1292500
2020-01-23,1781.5,1794.0,-12.5,1276850
2020-01-24,1775.5,1786.0,-10.5,1260150
2020-01-27,1755.5,1765.0,-9.5,1248025
2020-01-28,1744.5,1759.5,-15.0,1242425
2020-01-29,1732.5,1748.0,-15.5,1256350
2020-01-30,1722.5,1736.0,-13.5,1274325
2020-01-31,1709.5,1724.5,-15.0,1288350
2020-02-03,1694.5,1719.0,-24.5,1272525
2020-02-04,1687.0,1713.0,-26.0,1257950
2020-02-05,1688.0,1716.0,-28.0,1274550
2020-02-06,1698.0,1723.5,-25.5,1257750
2020-02-07,1693.5,1721.0,-27.5,1242950
2020-02-10,1676.0,1705.0,-29.0,1229700
2020-02-11,1689.5,1717.0,-27.5,1239800
2020-02-12,1707.0,1733.0,-26.0,1232200
2020-02-13,1701.5,1727.5,-26.0,1221000
2020-02-14,1704.5,1734.0,-29.5,1206450
2020-02-17,1678.5,1712.0,-33.5,1192375
2020-02-18,1681.0,1708.5,-27.5,1177425
2020-02-19,1686.0,1712.5,-26.5,1162300
2020-02-20,1687.0,1715.0,-28.0,1150775
