week_end,freight_jea_nsa_usd_t,freight_usec_mun_usd_t,index_name,index_value,freight_src,note
2021-03-05,13.11,58.13,DREWRY_WCI_COMPOSITE_USD_FEU,5068.84,WCI_INTERPOLATED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"linear interpolation between neighbouring WCI weeks; USEC 40ft 1,221 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 328 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+574 days vs week end; hindsight-calibrated)"
2021-03-12,13.0,57.66,DREWRY_WCI_COMPOSITE_USD_FEU,5028.2,WCI_DERIVED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"back-filled from 2021-03-19 WCI 4,942.72 and published change -1.7% (rounded pct => approx.); USEC 40ft 1,211 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 325 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+567 days vs week end; hindsight-calibrated)"
2021-03-19,12.78,56.68,DREWRY_WCI_COMPOSITE_USD_FEU,4942.72,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 1,190 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 320 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+560 days vs week end; hindsight-calibrated)"
2021-03-26,12.6,55.87,DREWRY_WCI_COMPOSITE_USD_FEU,4871.72,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 1,173 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 315 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+553 days vs week end; hindsight-calibrated)"
2021-04-02,12.65,56.09,DREWRY_WCI_COMPOSITE_USD_FEU,4891.23,WCI_INTERPOLATED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"linear interpolation between neighbouring WCI weeks; USEC 40ft 1,178 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 316 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+546 days vs week end; hindsight-calibrated)"
2021-04-09,12.7,56.31,DREWRY_WCI_COMPOSITE_USD_FEU,4910.75,WCI_DERIVED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"back-filled from 2021-04-16 WCI 4,904.75 and published change -6 USD; USEC 40ft 1,183 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 318 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+539 days vs week end; hindsight-calibrated)"
2021-04-16,12.69,56.25,DREWRY_WCI_COMPOSITE_USD_FEU,4904.75,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 1,181 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 317 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+532 days vs week end; hindsight-calibrated)"
2021-04-23,12.71,56.34,DREWRY_WCI_COMPOSITE_USD_FEU,4912.74,WCI_DERIVED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"back-filled from 2021-04-30 WCI 4,983.74 and published change +71 USD; USEC 40ft 1,183 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 318 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+525 days vs week end; hindsight-calibrated)"
2021-04-30,12.89,57.15,DREWRY_WCI_COMPOSITE_USD_FEU,4983.74,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 1,200 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 322 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+518 days vs week end; hindsight-calibrated)"
2021-05-07,14.15,62.75,DREWRY_WCI_COMPOSITE_USD_FEU,5472.33,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 1,318 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 354 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+511 days vs week end; hindsight-calibrated)"
2021-05-14,14.81,65.68,DREWRY_WCI_COMPOSITE_USD_FEU,5726.99,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 1,379 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 370 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+504 days vs week end; hindsight-calibrated)"
2021-05-21,15.87,70.36,DREWRY_WCI_COMPOSITE_USD_FEU,6135.44,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 1,478 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 397 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+497 days vs week end; hindsight-calibrated)"
2021-05-28,16.18,71.75,DREWRY_WCI_COMPOSITE_USD_FEU,6256.93,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 1,507 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 405 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+490 days vs week end; hindsight-calibrated)"
2021-06-04,16.72,74.13,DREWRY_WCI_COMPOSITE_USD_FEU,6463.87,WCI_DERIVED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"back-filled from 2021-06-11 WCI 6,726.87 and published change +263 USD; USEC 40ft 1,557 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 418 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+483 days vs week end; hindsight-calibrated)"
2021-06-11,17.4,77.14,DREWRY_WCI_COMPOSITE_USD_FEU,6726.87,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 1,620 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 435 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+476 days vs week end; hindsight-calibrated)"
2021-06-18,17.99,79.79,DREWRY_WCI_COMPOSITE_USD_FEU,6957.44,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 1,676 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 450 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+469 days vs week end; hindsight-calibrated)"
2021-06-25,20.85,92.45,DREWRY_WCI_COMPOSITE_USD_FEU,8061.65,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 1,941 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 521 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+462 days vs week end; hindsight-calibrated)"
2021-07-02,21.72,96.32,DREWRY_WCI_COMPOSITE_USD_FEU,8399.09,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 2,023 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 543 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+455 days vs week end; hindsight-calibrated)"
2021-07-09,22.75,100.87,DREWRY_WCI_COMPOSITE_USD_FEU,8795.77,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 2,118 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 569 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+448 days vs week end; hindsight-calibrated)"
2021-07-16,22.97,101.87,DREWRY_WCI_COMPOSITE_USD_FEU,8882.83,WCI_DERIVED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"back-filled from 2021-07-23 WCI 8,985.83 and published change +103 USD; USEC 40ft 2,139 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 574 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+441 days vs week end; hindsight-calibrated)"
2021-07-23,23.24,103.05,DREWRY_WCI_COMPOSITE_USD_FEU,8985.83,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 2,164 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 581 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+434 days vs week end; hindsight-calibrated)"
2021-07-30,24.13,107.0,DREWRY_WCI_COMPOSITE_USD_FEU,9330.28,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 2,247 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 603 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+427 days vs week end; hindsight-calibrated)"
2021-08-06,24.24,107.47,DREWRY_WCI_COMPOSITE_USD_FEU,9371.3,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 2,257 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 606 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+420 days vs week end; hindsight-calibrated)"
2021-08-13,24.37,108.04,DREWRY_WCI_COMPOSITE_USD_FEU,9421.48,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 2,269 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 609 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+413 days vs week end; hindsight-calibrated)"
2021-08-20,24.86,110.24,DREWRY_WCI_COMPOSITE_USD_FEU,9613.28,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 2,315 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 622 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+406 days vs week end; hindsight-calibrated)"
2021-08-27,25.39,112.59,DREWRY_WCI_COMPOSITE_USD_FEU,9817.72,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 2,364 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 635 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+399 days vs week end; hindsight-calibrated)"
2021-09-03,25.83,114.53,DREWRY_WCI_COMPOSITE_USD_FEU,9987.27,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 2,405 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 646 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+392 days vs week end; hindsight-calibrated)"
2021-09-10,26.08,115.64,DREWRY_WCI_COMPOSITE_USD_FEU,10083.84,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 2,428 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 652 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+385 days vs week end; hindsight-calibrated)"
2021-09-17,26.83,118.97,DREWRY_WCI_COMPOSITE_USD_FEU,10374.64,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 2,498 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 671 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+378 days vs week end; hindsight-calibrated)"
2021-09-24,26.85,119.05,DREWRY_WCI_COMPOSITE_USD_FEU,10381.63,WCI_DERIVED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"back-filled from 2021-10-01 WCI 10,360.87 and published change -0.2% (rounded pct => approx.); USEC 40ft 2,500 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 671 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+371 days vs week end; hindsight-calibrated)"
2021-10-01,26.8,118.82,DREWRY_WCI_COMPOSITE_USD_FEU,10360.87,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 2,495 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 670 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+364 days vs week end; hindsight-calibrated)"
2021-10-08,26.2,116.16,DREWRY_WCI_COMPOSITE_USD_FEU,10129.72,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 2,439 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 655 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+357 days vs week end; hindsight-calibrated)"
2021-10-15,25.61,113.53,DREWRY_WCI_COMPOSITE_USD_FEU,9900.25,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 2,384 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 640 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+350 days vs week end; hindsight-calibrated)"
2021-10-22,25.51,113.13,DREWRY_WCI_COMPOSITE_USD_FEU,9865.14,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 2,376 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 638 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+343 days vs week end; hindsight-calibrated)"
2021-10-29,25.01,110.89,DREWRY_WCI_COMPOSITE_USD_FEU,9669.47,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 2,329 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 625 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+336 days vs week end; hindsight-calibrated)"
2021-11-05,23.78,105.45,DREWRY_WCI_COMPOSITE_USD_FEU,9195.41,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 2,214 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 595 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+329 days vs week end; hindsight-calibrated)"
2021-11-12,23.78,105.42,DREWRY_WCI_COMPOSITE_USD_FEU,9192.5,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 2,214 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 594 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+322 days vs week end; hindsight-calibrated)"
2021-11-19,23.66,104.89,DREWRY_WCI_COMPOSITE_USD_FEU,9146.41,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 2,203 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 591 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+315 days vs week end; hindsight-calibrated)"
2021-11-26,23.76,105.35,DREWRY_WCI_COMPOSITE_USD_FEU,9186.39,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 2,212 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 594 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+308 days vs week end; hindsight-calibrated)"
2021-12-03,23.41,103.79,DREWRY_WCI_COMPOSITE_USD_FEU,9050.77,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 2,180 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 585 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+301 days vs week end; hindsight-calibrated)"
2021-12-10,23.95,106.21,DREWRY_WCI_COMPOSITE_USD_FEU,9262.02,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 2,230 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 599 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+294 days vs week end; hindsight-calibrated)"
2021-12-17,24.03,106.56,DREWRY_WCI_COMPOSITE_USD_FEU,9292.39,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 2,238 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 601 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+287 days vs week end; hindsight-calibrated)"
2021-12-24,24.06,106.7,DREWRY_WCI_COMPOSITE_USD_FEU,9304.05,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 2,241 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 602 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+280 days vs week end; hindsight-calibrated)"
2021-12-31,24.07,106.72,DREWRY_WCI_COMPOSITE_USD_FEU,9306.44,WCI_DERIVED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"back-filled from 2022-01-07 WCI 9,408.81 and published change +1.1% (rounded pct => approx.); USEC 40ft 2,241 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 602 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+273 days vs week end; hindsight-calibrated)"
2022-01-07,24.33,107.9,DREWRY_WCI_COMPOSITE_USD_FEU,9408.81,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 2,266 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 608 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+266 days vs week end; hindsight-calibrated)"
2022-01-14,24.69,109.46,DREWRY_WCI_COMPOSITE_USD_FEU,9544.66,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 2,299 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 617 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+259 days vs week end; hindsight-calibrated)"
2022-01-21,25.08,111.22,DREWRY_WCI_COMPOSITE_USD_FEU,9698.33,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 2,336 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 627 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+252 days vs week end; hindsight-calibrated)"
2022-01-28,24.36,108.02,DREWRY_WCI_COMPOSITE_USD_FEU,9419.5,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 2,268 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 609 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+245 days vs week end; hindsight-calibrated)"
2022-02-04,24.25,107.54,DREWRY_WCI_COMPOSITE_USD_FEU,9377.86,WCI_DERIVED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"back-filled from 2022-02-11 WCI 9,359.10 and published change -0.2% (rounded pct => approx.); USEC 40ft 2,258 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 606 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+238 days vs week end; hindsight-calibrated)"
2022-02-11,24.21,107.33,DREWRY_WCI_COMPOSITE_USD_FEU,9359.1,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 2,254 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 605 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+231 days vs week end; hindsight-calibrated)"
2022-02-18,24.26,107.55,DREWRY_WCI_COMPOSITE_USD_FEU,9378.51,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 2,259 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 606 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+224 days vs week end; hindsight-calibrated)"
2022-02-25,24.51,108.68,DREWRY_WCI_COMPOSITE_USD_FEU,9477.46,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 2,282 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 613 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+217 days vs week end; hindsight-calibrated)"
2022-03-04,24.0,106.41,DREWRY_WCI_COMPOSITE_USD_FEU,9279.46,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 2,235 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 600 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+210 days vs week end; hindsight-calibrated)"
2022-03-11,23.74,105.27,DREWRY_WCI_COMPOSITE_USD_FEU,9179.98,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 2,211 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 594 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+203 days vs week end; hindsight-calibrated)"
