week_end,published_utc,source,title,link,query
2022-02-25,2022-02-24T08:00:00Z,Business Standard,"Vedanta Aluminium launches low carbon aluminium, unveils two product lines",https://news.google.com/rss/articles/CBMi3gFBVV95cUxQOUZGXzg5Q2s2S0FUbElLRWdUVktIS1dGQnNuSzFZR191OFVWMTgtZ3lfQld4aHdQNXVtclVjeG95b1ZLbGtRdUFDcm9oaHhZNTJ1ZnlNbm1Jd2QzWVpUU2c2cWdzOFNmdkE3SklDcWo5WFd1T2pfaEQ1ZjFIUC00UHc4Q1VKdU9EaTIzREdMOVRQX1REdXNITHdlNV9PMlNWTkJBVkc3YTU3ZWowbFRqRmEyOFpKQnBmNWtjUEpXaWtFc2dkSHV5V3ZQel9pNUh6c2ZoNTRXX3FnV3Byb1HSAeMBQVVfeXFMTzdBUkVETlBPMmRucWJzM3dsdk5odW9uUm5tSkQ5UDJRNDY4b3RoRFh5S2E2bWY4dC13QkF0Zi1HZC1OWjAzdVNieldSOUxhcWdDUWZsR0p1WGlMdWxuc0t3NktLQTRZMHc2MUU4OUMxckt0RWF4dC1WOVpOeTZ5MjYwUE13VlVTRHV6TGdnMl9vTk00MjBrNlpRUDN3SjVYOVI1cXJ5cHp0bDl2TWhxTUhWS2JfVnpfYkdjMGtmam01WmV1Z21YdHJubHZiVGpoeHpwZnJSY3p0NDlWOHJzN3VSTTA?oc=5,en-IN:aluminium price
2022-02-25,2022-02-24T08:00:00Z,Bloomberg.com,Biden Team to Hold Off on Sanctions Hitting Aluminum From Russia,https://news.google.com/rss/articles/CBMisgFBVV95cUxQbkVYaklmbE0wMy1jcjJ6YkN2aFhlVUxtNnppQnJrUnIweTA0Q05lb1RmeXVOdkY5MVl0VFNJT05ibE5RRG1zaW1GVHAyVUthRmREN0k4Y29HUGJyXzVGeVFqUDlGT3RwZ19hc0xjZjYtLXZFS3laVXp6dDlBWE5EVDNUVE9XUVBHTUFYOWtuMWhjZHBXRWtxbFE0ZUJTd3BqXzRJSUZrdVJoZzBzOFZhYjhR?oc=5,en-IN:aluminium price
2022-02-25,2022-02-24T08:00:00Z,Reuters,"Oil tops $105, gas, grains, metals spike as Russia invades Ukraine",https://news.google.com/rss/articles/CBMisAFBVV95cUxQVEZSZ2Z2ZGJjeHduSVpTQXhiNDc2RExTTVZ3eXV5aDhGR2hQZUV2UGsxNHNnRG5Xekl2Mk5GVmNSX0FxTGlmeVEwTVVQMHRwUXpzdkltRGplNUswRkRsdlhPRnRRY3RnUjhpTldkc0owQWpTdmJjV3pkNk9xbGR0bHhYUWRfdmhhUVh2WjhqenNsUGRzejAzSlZIaF8xWHJseFhEZjRQZ09oVXo3Ylk2Sw?oc=5,en-IN:metal prices
2022-02-25,2022-02-25T08:00:00Z,Aluminium International Today,"Aluminium price surges to new record high, driven by Ukrainian-Russian conflict",https://news.google.com/rss/articles/CBMirwFBVV95cUxPelFtY0pUS01yend5alhCTlRRci1rZWpTVUJabk9NRjBLcThhMV9uNVRNZ0hwMjNKU1piWGNpU01OZzVvY2FWcC1qMUw1SjE2ai1BbWg2OTdQbUQ5T2JNMlhCRXdYUEpCQTdGMGJyV0hkamlQZm5zMjkxUmxzdTJhNndwVGRNWDlPZUxoN1ZuSGtmNHZJdlVOd0RWVFBGM3d3ek1sYUdFYmMxWVN5dDVV?oc=5,en-IN:aluminium LME
2022-02-25,2022-02-25T08:00:00Z,CSIS | Center for Strategic and International Studies,Decarbonizing Aluminum: Rolling Out a More Sustainable Sector,https://news.google.com/rss/articles/CBMikgFBVV95cUxPTGh5S3lmWjBXMHIxbkJxTHFxWFAtLUJpTUxWY3QyOTRBNFhxb1ZDZHNtdkRFMUg0UUNrZ253VTZncEF1N29OWmtHRERRYW1SMjlDeE9iUUs0SUdVa0lRaEJNWXQ4c0NidnprUzFPT0daQkUxZzhHV1M3WmRSR2ZyV18xazVhdm4wLWpoNUw4Y2lzdw?oc=5,en-IN:aluminium price
2022-02-25,2022-02-25T08:00:00Z,Hagerty,When a trip down memory lane ends at the scrapyard,https://news.google.com/rss/articles/CBMipAFBVV95cUxOOTltdEg3UFZmSmFzN1BSa3R5TEJmN0hRVFFvMWxnbVBZYk9mdW92ejJrRTc4WnNLQkdqZk1kNE9qbE94WkZhUGI4VXAzeFVwVnN5TkV1dlNHODB4YVQzcjFGM3JjbU5MSDY3R3pFRFlpX05NSlRUUlhKbXlZTGs1bXNQckE5ZnpXUnpDV1BaZGhNbkxOTlB1Mk5UbzIzX2VrblVtVg?oc=5,en-IN:aluminum scrap
2022-02-25,2022-02-25T08:00:00Z,ET Auto,"Nippon Steel says can find alternatives for raw material it buys from Ukraine, Russia",https://news.google.com/rss/articles/CBMi7AFBVV95cUxNd1dLbHZMRDVsMGV0VnVtX0ctMDEyZHhkblFLS005QTlxWGlLcEVCQmZHMlA1NmhzQmZ4b1RrWkFTZXFBNk5qeTB2QVl4NjlseC1OSVpyUlVJVlhxTnp3ZU9hTTRFWElia280RXJtb1RFa0w3bTRSMWVMTkZrVG1HX1F4c084SFZhMmZTZ0lsSkxuU1NoQm0xb0JRdDdsblVBRWhRbWxKYU9kT05jYzhLLU9USWxfcklFRXJlMDVEU2FnVWkyd1A3N2FYVjlralUtcVFDT0V3bXV5SndkRkxDVkRVQVhTOTJMRUZUeNIB8gFBVV95cUxOVTd6WXM1bUxJWkF3RFMtdXBPWE1UREtaUVFVaEttUExjOExjRmRXUG4xMDFLemNOcVNaMmFoVHBjekJnNGV2TjVSNlNnOUNpS3N5S2dKY0JNd05LYjRGcUJxXzVTQ2hHOHJrNl9yRnpLMlY0QjNhT283Y3ZGcGV6TmpybVFvYm1KYjB5a1Y0UVZwb2lReWtDZ1RvOGJqV1NsRG8yQ3FnbFZvV3VYQ2tZcjFkd0JqMHl1aWdnOVdValVrNm1DNEw1QWs0eFBkdnlFcTJudzdJTmpjc0s1MlFEVGdnLUM5dEEwa0d4TnRfcEdUdw?oc=5,en-IN:steel prices India
2022-03-04,2022-02-27T08:00:00Z,KSBY News,Aluminum shortage affecting local businesses,https://news.google.com/rss/articles/CBMiiAFBVV95cUxPOWNpNlEtaW0tcnhybkFCV2p4ZGI3ejBhTlBiWkhTelhtOXZCdUxSeFFIYzczYXYybVdGejhmeVdJN1hacVg3VVl2VjhDYkRRUlE1Q3JTODFQRFhoOHhrX1Rra1pUMlZEcExiMWk1QzVyZnlmQnlBc3ItUE5POGpYOU15Q01aZGhZ?oc=5,en-IN:aluminium price
2022-03-04,2022-02-27T08:00:00Z,gizchina.com,Russia - Ukraine war pushes up the prices of nickel and aluminum,https://news.google.com/rss/articles/CBMilwFBVV95cUxPT1hQVHZwendqZjA5Y19uZzdTZWg3Sl9ZYXhFaVc4U2JaN1pPRkg4T3IyNzR2NlNjX25GWXlPaDdDaTY5RUxkdlZkbGpMSXpZUU1CQ190eGRXdlNrd193THlFZHhYd2ZnYVp2X3B2MFNkMGt5dkhCZEVsVnQxTTNmeVpKSjdIU2VjTmFCRFJVWDNWREMtVVdZ?oc=5,en-IN:aluminium price
2022-03-04,2022-02-28T08:00:00Z,mining.com,Rusal halts alumina shipments from Ukraine,https://news.google.com/rss/articles/CBMidEFVX3lxTFBVSDN4RmFTeFZLUHVnVDB1bjV6QmpEeFVtWjNEeFZIbEU1Y0djT3I1TE5MdnJIZDNfN1pUaVNrTmtDVU1mU3k2eGhYeEp1QXQyV3NsX2pMT1BDaDZ5RXVsS0tsQVIxcTBXRm9RUE9yazZsV2FT?oc=5,en-IN:aluminum prices
2022-03-04,2022-02-28T08:00:00Z,Recycling Today,Aluminum scrap squeeze reshapes but continues,https://news.google.com/rss/articles/CBMijgFBVV95cUxQc1BxX2diYUt5M1R5VU1QWEt0eEZSQ3RsT21vTUpVXzdmZHRkU1FMcVRLZ05pSm8tMVFiOGU2VTJFMWMwczh2eFBIdVppTWFvNTU5TllNTk1hS3RqdEE5MzYwcmxRWlhXYTRaZTRXbnJBazBBRW5sX3BtaENRRndtcW92VnRPTGZNTm56Q2JB?oc=5,en-IN:aluminium scrap
2022-03-04,2022-02-28T08:00:00Z,HUB-4.COM,"Material handler instead of excavator in metal recycling: greater performance, efficiency and safety for metal recycler in Japan | Hub-4",https://news.google.com/rss/articles/CBMi4wFBVV95cUxOLUhISk5OaVAtYTRsNzFaNzlnWDZhSzFoX1hRT20tbTNDTWV3Tk9Fb285TmNTLS0wVFhxT19CTEhoXzQtSVpXcURNVkpVREszVWNsZi1Hb0JIRWVIemNERnFnOWhsVTltdkloWWJiYnhqa05aMGJkenI2ekVfeU1HTF9FTWNLVmxXdHAwQTFJWUdvTERUNEZrWVREZDMzSmxjR3NKZVI3c2xzRE5wRjlFT3Jub0xJVThHSE94bE1uZlpxb3NBZExmQ0daM09UVFJfeEVWWVRJM2VEQWEtbk56VmIxTQ?oc=5,en-IN:aluminum scrap
2022-03-04,2022-02-28T08:00:00Z,mining.com,Russian metal exports slide as sanctions hit commodity financing,https://news.google.com/rss/articles/CBMilwFBVV95cUxOak42XzNQZW4wRUNyTmhNbjNZNzA3M1pfS0NwT0NhQWN6QzJ3a3RVQWlfdkpSek9CZWlOYmxwc3JRTDFibmpJMS1DNk1VdVE5U2hzTENBdE1VdTZLS2plc0lPbVhDQVZyWWZwWFFrb0xyaDhHeVRET21EN2VLX1pHNXdYWXM2cUpOc29qclQwOXRvNWhWaldN?oc=5,en-IN:LME metals
2022-03-04,2022-03-01T08:00:00Z,Moneycontrol.com,Man of steel: Here’s how TV Narendran turned Tata Steel around,https://news.google.com/rss/articles/CBMitwFBVV95cUxNTlFTVGxJM3E3NE40M3JLYTNLbUdRR3ZHWGI4QnJXUHJZZDd1THVYcDJpYndPblZEd2Q0d2czTEJkZHEySk5BQW41Z2VaRjM1ZUVKb0RJVER6T2NYNGc4LVEzejZ1TC1HNlptWTBiN0k5QVZhTGU5WDkxaEZBV1kzOUlycEhDMnk0Wk94alNSSUJrYnluNnBHZU1XMS1kRFRmYUVORGlhRXRPYVpRamhlek5SUXE5TknSAbwBQVVfeXFMTVlxbjV2VmFTNHNtaGxmeGI1dm1ITFBvY1BJUVJlSVBpNHRrcDE5bFBDS3hZNkxlRnNQZ0ZRRGZVdmhocVFzd0lKRzhKM1ZPRHU1SE9CR1VSSFdHNnkzYkdyb1ZEcnlqVUc5cFhaWGVudF9fOGZzZnVBZnVWOHpMN0JHN2J5NktITWo5bXBocUNmUWxfVVljUVVJU0NwSWF4THd4VnhVUnd2RWswSnFhT1NwQWpvWVUzUVBkYzA?oc=5,en-IN:metal prices
2022-03-04,2022-03-02T08:00:00Z,Al Jazeera,"Heavy metal: Aluminum hits record, nickel jumps to 11-year high",https://news.google.com/rss/articles/CBMipwFBVV95cUxOYUhvc2hUOUtOcjd5WEx4VnJobmtJQmpXalByb0lEVWk5SXdlamZ0ejJtX1ZGQ3o3VWt0T2lVMXJnTDlPR3ZIbzRuSnpBa2JiLUVRT3pXTmtKWFNFT1UteU5SeWR4RGIwUHYzeE43ZVhIaUMxN0RiS19udTlsQ0ZuaVlwT2x0eVFuUjlKQXBQZ0F3aFUzbUZLamtka1RSdGdiaVFBWVZtTdIBrAFBVV95cUxNM0hCSWt5Z3EzS2EycXpDOHppcVhGdlJQVnhpMW9wZ3doQUR3QTFLUlBRVjlPWTZNSmhhc01DVEpuT0ZPM0N5X3JmanBoemdHa2VDTWU1bnBuS1piRXV2aFA5eERvVVlWby1XUDVMOGQyQ2pGQjJudldmTGxEbVk1REN0OGRDX04wU0hOS3pRZ25JclRBQnFFektmamFBOGRlVE96ZlhZNC10OHRy?oc=5,en-IN:aluminium LME
2022-03-04,2022-03-03T08:00:00Z,Moneycontrol.com,Nalco: Aluminium price rally a boon; what next for investors?,https://news.google.com/rss/articles/CBMiqAFBVV95cUxPQzhaQmtJSXlodmRMQTE1d3BWWS1VTTZpSjJiTXp6eE9QRjNuMXh1SGF1MmEtQndGc2hvcU5BbEpDS0x0eHlaSDdFMzNndW40VHdQU2l6M1V3TXEzTHdHVkh3eV9NdDZIdkFCZVZNRlJEckpjdVctcG9yMHBqSWZodXdDYnJXRFJpNVhSOS1OS1VzTHNFY21yakJWa0duUmhZUUFSd3pzN1fSAa4BQVVfeXFMTWZjYURzTnFzMDA0YjY4ZEVXSWJIZjFIVVEwX1p0MjVJN1ZaSVlwaUg5dGVjUS1TbngxVVFJMjdfSnVOVkRka2pWX1hRdkxHaHI5VzV4N2JWZ0kzNTNYcDMta1AwQ2cxMmY5VGQwVmpOVXpsRVZNM3p3dFVyS2RfTGp4bWw5RTZVRVE3VnY0YlJxVFJ6VXB1a1hoaEVkdDlaRDljcHItNGtkQ2hsYVJR?oc=5,en-IN:aluminium price
2022-03-04,2022-03-03T08:00:00Z,BikeRadar,"Orbea's latest mountain bike, the Onna, is a budget aluminium hardtail starting from £629 / $799",https://news.google.com/rss/articles/CBMiWkFVX3lxTE85bUFOUkhybXhsQVZFWmNWZEVDNUNjM3FvbjlBdERKRmx1Mk1IcEQzSEt5M0gwQ2M4NG9mN3g1OE9WMXR0V0hjeUpqSldISG0xYjllanV5Skp0Zw?oc=5,en-IN:aluminium price
2022-03-04,2022-03-03T08:00:00Z,thehitavada.com,"Steel prices hit all time high of Rs 66,500/tonne",https://news.google.com/rss/articles/CBMingFBVV95cUxNMWx6aW8tbC01NC0tcV9IQk1vb2xqSExYQl9fQjBpOGw1SG9PNmRCMVEwb1V0NUMzWS1iS2tINnZTVTN4YUFtQlRnaDk0MDlqQWpKNjFTTWdZNEhnYjBTU01JZEtVYmh1emNhS1pPM1ViTTF1ck9lVnRnczA3el9JN1NyY2h2RlI2MUZWQWZWNnk3c1lic21sQmVLYml5d9IBowFBVV95cUxNMXNXdVQ4UUxTZUFZX0tKR3k3MFJDYjI1TU9WTUQ0Yl9HT2pnaFN2R0lXR1dMdkFmUzNtX0w0aFZjYUwxTlp5VEF3X3MxRHg5NVVvYjVFbW5WVHg4N2RLR3RBbjFSOFdyUWsxbnF3aXY3QnZYNlJTYUxiUDB4d3hJdnFRY1BjMlJmTGcxYnpJRW1UX0pRMkdaakN5Rmt2YVc5b3NZ?oc=5,en-IN:metal prices
2022-03-04,2022-03-04T08:00:00Z,Packaging News,Ball starts construction of UK’s largest aluminium packaging plant,https://news.google.com/rss/articles/CBMixAFBVV95cUxPdzNsOGxIeGhHeWRJWFVPNW1IalRPbF9VUWZnZmVwNGw3QmpWT0NXVHotY1ZfRkVoZTN0MmRCZDFoTld0SXhBOVdRX25FRFdkS2oySWNFY2tNakJiTExweGRnbEc3a0p1OTJOcS1ReUNUdUVWVXRQMlI3QzNqMHRSTm0tTUt1QVhjN0dHWnYzWlozTFVyaHViT1VscGVEOHZ6SjVZZXlzM0dlcEIxejU2OHZnWHF4VUhzNGNjbTZQOW1zVVh2?oc=5,en-IN:aluminium price
2022-03-04,2022-03-04T08:00:00Z,Axios,Metal prices soar after Russia's invasion of Ukraine,https://news.google.com/rss/articles/CBMieEFVX3lxTFBhWVJCYUxibzg0TGh4UzdxSXlVRzhsSzBJVFhLczNCZFh3ZlQ0aE1PSVg4eVhhR3ZBUnA5MVZKZ282azRZODlOemNmaVZ4MlpYMjROb3B3NDM4T2dTQTlVdXozaEZ0bzRMNUFHallLc29vZmxTUlQ4Qg?oc=5,en-IN:aluminum prices
2022-03-04,2022-03-04T08:00:00Z,Mmegi Online,Rising prices anchor local base metal bounce-back,https://news.google.com/rss/articles/CBMijAFBVV95cUxQSVo4RmU1NkM2R0tsME1RUzFrbi1vN0szRXZwSnZRRE1PMlZwWDR0cDhHQWl2cEF4RURRelN2Vm9lMXpydzRvWC11T2Vwa3VOUkw4SklLemJLUDVvUEU1VVBtUlBDUnY5NDJwaVhjTjgzSEZlc2FFY2lPOEVDSTJncWxXQjJIMGVTVGNRS9IBT0FVX3lxTE5kTTh0dGEzeUh0cUdqQVRqakNkWnFGYzd0SFFQSDB1d2FwMFNvb1JHM3VVMEtLLVF2YkdYY3k1X0JCX1kxT05RTEhBOTBTYWs?oc=5,en-IN:base metals
2022-03-04,2022-03-04T08:00:00Z,Hindustan Times,Skyrocketing steel prices put Punjab industry in tight spot | Hindustan Times,https://news.google.com/rss/articles/CBMizwFBVV95cUxPWktIVllrWG9Wd1ZralI2VDIySmQ5SUhtRkxFX1kyWW9fSWZxNnJaVy1mTXdpbjFJQVNuZUp0Q0Ffc2JTZ1dlS2NFR0V6eDYtSG5CX3FsaU9IajBwSlpHbzNyNWloTllwT3ZBZEZvcnpmdktRcW5Cai11ODVvZjdMamlOOGVMazNfTzhKZThPaUt5WWhpdzFmZU5oUkxLNUtKUTdQMU9aOXZFQnNETUI2eEdJZlpIUS1oeC1hLVVYZ2pzVXFFdEZ4TTRXZ1ZwVmvSAdQBQVVfeXFMTXZvZWVnSERlWEFjV3oxa09WTVlIbEs1OFQwbmdqX052ZVE1NGpHZGFvRnNzdG1nczJYb3N4UkxVNDVnWUs4cGZQZWEtNDltM2c1blE2M3NnZDRjSFVuazNDTktvcGhvY21TTnhRNVBHdEZyYkZIZzh2RnlMN0JNeXc2TmNDb1pvUkhhc3RBclJ1X1E1clhpMXh6Skd6Vm9yeFdTM3otOEEtZVE0YU5LTWU4bGV3bktSX3NFeXdUcEZlWURSbHBpXy1mc25xSDAyWUxnZlc?oc=5,en-IN:metal prices
2022-03-04,2022-03-04T08:00:00Z,The Hindu,Steel prices jump as Russia-Ukraine conflict hits supply chains,https://news.google.com/rss/articles/CBMiwwFBVV95cUxOSFlRWFRWeTg0cEFrQlk5V2ZaMzVSb09SUFhKOTc5TmdVMTc1WWNKSFpKaXpnTU5KWlZudGFILVJyNTl2dzV2bVZMX3FwMUtkRzdJTlJ1WUZfZmZERVdtMGdQVUpBamdKUHRzdnRITklFZU1YT25NTzNyOTE1RC1nZFlJbml6VWZISkpUaEtzRU1NWmRPcS1GRHhUdkdPdWdzSVF2UmZxUmxhTE03bGxzZEdNa3g3XzN3ZTVvT3FuMVIxM3fSAcoBQVVfeXFMTU1hWDZBQjZQSVYwZ1VwRHZZQ3ZfS05DeXVKT0ZTY1FtVVd4QnNxUTM5YjY4RVlFNzN3TGFkd3F2d2pKaTM1a256SGZxdUc3bXVkU2lfTG4tdnRqcDY0Q0o1MzV4ZzZvNTIwMlRZLVdCdVVzUS02VXlsbjZRNjBwMnJTaU5YcXFmU1piNmttajJJbVR4SFNURnMxTDRLMlQzR2d5c1JLZjIxalpuV05HVGZleWlpU1BuVVFCb0k0MGpERHVxU2NRRmtTdw?oc=5,en-IN:metal prices
